step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,train_time_per_iter
4096,140.11451142883362,10,0.004939552396535873,1.1706712245941162,1,0.1,26.91504045443325,0.0,1.505178689956665,1333.4225254058838
45056,74.4860057144167,10,-0.0320323184132576,111.51203918457031,10,1.0,4.4626523102997115,0.0,1.3784478902816772,1398.4496128559113
86016,62.86625380923351,10,0.04723123088479042,97.35150146484375,8,0.8,8.29512196675232,0.0,1.4426581859588623,1414.732369184494
126976,76.72003904028236,10,-0.09758807718753815,92.4268798828125,6,0.6,8.450521567088193,0.0,1.3485513925552368,1332.5361866950989
167936,98.4376803200341,10,-0.0031338706612586975,55.933998107910156,6,0.6,23.611406149602526,0.0,1.2645336389541626,1311.3954002857208
208896,86.8093586000283,10,0.016269594430923462,62.61958694458008,10,1.0,7.235766075859877,0.0,1.2830393314361572,1375.7021825313568
249856,77.9245162074974,10,-0.023291360586881638,16.52303123474121,8,0.8,9.120352870862765,0.0,1.188159465789795,1377.598351240158
290816,73.35382668156024,10,0.09850801527500153,22.103252410888672,10,1.0,5.4210674830253245,0.0,1.1148650646209717,1373.6342782974243
331776,77.95826816477944,10,-0.06828271597623825,30.858806610107422,7,0.7,5.942652372609708,0.0,1.134468674659729,1390.9586663246155
372736,76.91771781313557,10,-0.04218276962637901,167.63421630859375,7,0.7,8.207166550293772,0.0,1.0639214515686035,1388.5960252285004
