step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,cbf_residual_mean,anchor_loss,bc_loss,distill_loss,distill_gap,train_time_per_iter
4096,155.46088401977062,10,-0.12581506371498108,1.224515438079834,4,0.4,194.12333553799607,0.0,1.4976286888122559,0.0,1.432276725769043,0.0,0.11751857399940491,0.11751857399940491,335.86545872688293
45056,61.07448760338469,10,-0.12884841859340668,76.05911254882812,10,1.0,4.386161289775908,0.0,1.3900845050811768,0.04593921825289726,101.0479507446289,0.0,22.89413070678711,22.89413070678711,323.8756790161133
86016,60.479637512834664,10,-0.009770829230546951,11.698235511779785,6,0.6,9.58752347957924,0.0,1.3654617071151733,0.0,18.574199676513672,0.0,8.71126937866211,8.71126937866211,348.2704713344574
126976,85.01394941279997,10,0.03217250481247902,77.15898132324219,6,0.6,7.670892216472448,0.0,1.3302392959594727,0.08013943582773209,103.18952941894531,0.0,16.521385192871094,16.521385192871094,342.8139898777008
167936,80.15700465764903,10,-0.06431214511394501,42.59836196899414,6,0.6,10.653954286391556,0.0,1.2473297119140625,0.007984450086951256,70.94596099853516,0.0,11.636266708374023,11.636266708374023,373.4266493320465
208896,72.61868685475041,10,-0.00930788367986679,17.277055740356445,9,0.9,5.400754377463616,0.0,1.300555944442749,0.12421584129333496,22.409326553344727,0.0,7.613274574279785,7.613274574279785,373.44325065612793
249856,85.65768430384512,10,0.07702849805355072,51.09184646606445,7,0.7,8.973699955268884,0.0,1.2612155675888062,0.7803916931152344,41.1933708190918,0.0,14.626738548278809,14.626738548278809,375.3134980201721
290816,101.89123178399896,10,0.14385592937469482,12.468430519104004,3,0.3,39.87490477796258,0.0,1.3290927410125732,97.81399536132812,21.288177490234375,0.0,15.594120025634766,15.594120025634766,379.090781211853
331776,118.80048859707692,10,0.29824602603912354,21.31094741821289,5,0.5,8.982640415100901,0.0,1.284891128540039,0.1595894694328308,22.43067169189453,101.76153564453125,9.671586036682129,9.671586036682129,365.52614068984985
372736,118.36197975645231,10,0.08883681893348694,24.37319564819336,8,0.8,7.104183738429021,0.0,1.2631077766418457,0.20874643325805664,41.473445892333984,5.93543815612793,37.89192581176758,37.89192581176758,376.8621506690979
