step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,eikonal_residual_mean,anchor_loss,bc_loss,distill_loss,distill_gap,train_time_per_iter
4096,-317.24359769719206,10,0.0077632274478673935,57.60038375854492,0,0.0,11.164486635204009,0.3180993136936958,1.5277881622314453,2.042351245880127,41.463539123535156,0.0,4.249724388122559,4.249724388122559,48.345099449157715
45056,-208.9016453085567,10,-0.09201881289482117,74.90448760986328,0,0.0,8.256432418982175,0.192079806762642,1.4066230058670044,2.5067646503448486,65.48367309570312,0.6728825569152832,16.403669357299805,16.403669357299805,45.69594740867615
86016,-159.7834645468723,10,0.11234355717897415,114.19391632080078,0,0.0,7.516188798660171,0.5497096060492995,1.1416524648666382,4.999841213226318,168.96426391601562,0.08502024412155151,62.31406021118164,62.31406021118164,64.47586607933044
126976,-123.80535868525781,10,-0.04150306060910225,84.16897583007812,0,0.0,10.151036450378461,0.47185277305940054,1.1502765417099,3.8814520835876465,123.96942901611328,0.0,23.09625244140625,23.09625244140625,61.529186725616455
167936,-109.7841219482062,10,0.10048453509807587,41.851707458496094,0,0.0,8.202105285138732,0.31799199390521316,1.0146300792694092,2.9450087547302246,56.86246109008789,1.087258219718933,16.16006088256836,16.16006088256836,61.84152269363403
208896,-96.94209908667933,10,0.05031215026974678,22.656511306762695,0,0.0,8.268189421848058,0.4156758774709486,0.9550755023956299,2.770345687866211,43.731178283691406,5.872706413269043,17.49882698059082,17.49882698059082,63.81241464614868
249856,-90.98859093283639,10,-0.009824246168136597,32.098201751708984,0,0.0,8.067090020204986,0.43250047009144427,0.9910104274749756,3.587205648422241,43.326438903808594,0.0,10.969264030456543,10.969264030456543,64.34862399101257
290816,-94.33348021678833,10,-0.08862179517745972,37.13822937011719,0,0.0,8.142929946897159,0.3890706498593794,0.8935363292694092,2.9274821281433105,50.6236457824707,0.5074737668037415,16.054832458496094,16.054832458496094,66.1014392375946
331776,-92.46655084006159,10,-0.13481923937797546,24.033836364746094,0,0.0,7.274103950470479,0.0,0.8885188102722168,2.5041847229003906,53.92024230957031,0.0,21.455730438232422,21.455730438232422,63.38659644126892
372736,-89.6785896815604,10,-0.11179421842098236,38.95389175415039,0,0.0,8.963378012218723,0.37448904655205945,0.9475342035293579,3.527052640914917,62.29746627807617,0.530889630317688,27.679325103759766,27.679325103759766,62.45615363121033
413696,-70.09289027213369,10,-0.024340908974409103,19.22239875793457,0,0.0,7.677205824677558,0.38597479005611335,0.8608427047729492,3.5824010372161865,39.222267150878906,0.0018791252514347434,20.40098762512207,20.40098762512207,64.89327716827393
454656,-69.15247034280188,10,-0.060555633157491684,28.594005584716797,0,0.0,8.152415472947604,0.37033689637620115,0.91277015209198,3.036581039428711,49.61659240722656,0.0,20.948657989501953,20.948657989501953,64.14137554168701
495616,-71.84283326034034,10,-0.09328782558441162,18.09445571899414,0,0.0,8.05294040516977,0.2679652172854423,0.9441379308700562,2.971524238586426,26.897716522216797,0.047892823815345764,12.663705825805664,12.663705825805664,58.08023476600647
