step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,soft_residual_mean,cbf_residual_mean,anchor_loss_optimality,anchor_loss_safety,bc_loss_optimality,bc_loss_safety,distill_loss,distill_gap,actor_align_kl,train_time_per_iter
4096,396.05240000000003,10,0.02988310158252716,1.2210129499435425,0,0.0,6.269356634862023,0.0,1.45648193359375,1.055101990699768,0.0,1.4244792461395264,1.3304944038391113,0.0,0.0,0.08589774370193481,0.08589774370193481,0.9276431202888489,902.9255568981171
45056,400.08115,10,0.01201828196644783,370.7138977050781,1,0.1,6.974568967389208,0.0,1.280368685722351,3.3224434852600098,0.0,159.07711791992188,37.90966796875,0.0,0.0,189.51515197753906,189.51515197753906,0.5049450397491455,1133.5004649162292
86016,392.5433666666666,10,0.22029992938041687,168.64248657226562,1,0.1,6.138752902380088,0.0,0.9904099702835083,2.5761561393737793,0.0,174.07183837890625,152.65780639648438,94.50274658203125,4.326344013214111,57.377479553222656,57.377479553222656,0.4196051359176636,1409.5785121917725
126976,399.4620249999999,10,0.058513302356004715,591.744873046875,0,0.0,5.831192140611457,0.0,0.8778658509254456,2.6025025844573975,0.0,69.17318725585938,76.76968383789062,2.7392988204956055,0.019726604223251343,404.2000732421875,404.2000732421875,0.3791138827800751,1283.8167054653168
167936,396.8604399999999,10,-0.0048189423978328705,165.5079803466797,1,0.1,6.195491758330219,0.0,0.8671298623085022,2.2327592372894287,0.0,151.74063110351562,144.20382690429688,1.6357380151748657,0.23412196338176727,43.90367889404297,43.90367889404297,0.20945635437965393,1296.0323991775513
208896,393.3885833333332,10,0.12683121860027313,70.14945983886719,2,0.2,6.68778281081845,0.0,0.8820056915283203,2.183434009552002,0.0,70.40961456298828,71.53355407714844,0.7345443964004517,0.07820291072130203,31.941543579101562,31.941543579101562,0.20742270350456238,1323.9961819648743
249856,401.46421428571415,10,0.15373028814792633,274.9945983886719,0,0.0,6.649138615115882,0.0,0.921961784362793,2.34206485748291,0.0,206.58721923828125,207.62408447265625,0.0,0.0,95.13792419433594,95.13792419433594,0.457002192735672,1208.7987940311432
290816,395.06049999999993,10,0.051022209227085114,239.88922119140625,2,0.2,5.844060875347032,0.0,0.8052169680595398,2.1292107105255127,0.0,169.11062622070312,286.1000061035156,1.1648883819580078,0.024043545126914978,75.91099548339844,75.91099548339844,0.3128077983856201,1274.4883332252502
331776,395.29904444444435,10,-0.20762906968593597,160.46798706054688,0,0.0,5.528191645812972,0.0,0.7935092449188232,1.896155595779419,0.0,164.9022674560547,150.74046325683594,2.583146095275879,0.4240029752254486,33.29779052734375,33.29779052734375,0.22725482285022736,1282.9884276390076
372736,395.00814999999994,10,0.047236375510692596,81.44416809082031,1,0.1,6.074337571682579,0.0,0.9301848411560059,2.0203890800476074,0.0,94.28661346435547,94.03401184082031,0.0,0.0,21.951339721679688,21.951339721679688,0.22326117753982544,1288.09538936615
