step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,eikonal_residual_mean,anchor_loss,bc_loss,distill_loss,distill_gap,train_time_per_iter
4096,-328.02266499843597,10,-0.06411269307136536,102.32611846923828,0,0.0,28.432329002798443,0.31772737205821977,1.532274603843689,3.7786126136779785,54.307342529296875,0.0,26.196239471435547,26.196239471435547,51.910595655441284
45056,-346.8691899210912,10,-0.014695912599563599,132.85244750976562,0,0.0,30.614067550711315,0.5087877003069847,1.462540626525879,3.434873580932617,157.12539672851562,0.0,58.6400260925293,58.6400260925293,60.95046353340149
86016,-349.15685357725715,10,0.10645141452550888,252.69053649902344,2,0.2,28.159284124065316,0.0,1.3735730648040771,3.3836891651153564,322.8874816894531,0.0,64.04176330566406,64.04176330566406,59.95067501068115
126976,-308.8222857145717,10,-0.08142304420471191,254.39207458496094,0,0.0,16.749839509194402,0.5477685536089415,1.3294403553009033,3.6143064498901367,264.0375671386719,0.0,55.189292907714844,55.189292907714844,57.24233412742615
167936,-287.28568160732726,10,0.12328772246837616,146.51373291015625,0,0.0,117.57200948132991,0.31204446078884124,1.3569300174713135,5.476198196411133,221.23574829101562,0.0,61.23426818847656,61.23426818847656,54.63889527320862
208896,-279.23707980580946,10,-0.05727070942521095,90.52052307128906,5,0.5,35.26629150301113,0.0,1.1722983121871948,4.465028285980225,163.4788360595703,0.0,69.1572265625,69.1572265625,58.27789044380188
249856,-271.4497980508282,10,-0.038536231964826584,149.99539184570312,2,0.2,106.72223729557714,0.0,1.1487772464752197,3.6154208183288574,228.91842651367188,0.0,77.99172973632812,77.99172973632812,59.22035241127014
290816,-268.26409566133793,10,0.07299184054136276,161.36221313476562,4,0.4,57.603899064904255,0.0,1.1554768085479736,4.8907389640808105,219.2582550048828,0.0,60.73667526245117,60.73667526245117,57.49546551704407
331776,-267.55404615072075,10,0.10801537334918976,112.04722595214844,5,0.5,10.602997295216651,0.0,1.2361315488815308,4.925698280334473,134.40606689453125,0.0,92.84138488769531,92.84138488769531,58.596545934677124
372736,-265.4491039941687,10,0.164994478225708,134.42779541015625,6,0.6,47.77126949266944,0.0,1.2949745655059814,6.634547710418701,150.02015686035156,0.0,63.55586242675781,63.55586242675781,58.22944521903992
413696,-257.19534689330834,10,-0.03586558997631073,100.88819885253906,1,0.1,70.27201822519963,0.0,1.2237697839736938,4.125207901000977,83.14700317382812,0.0,90.0799560546875,90.0799560546875,54.103140115737915
454656,-244.90388073161404,10,-0.020007915794849396,82.62246704101562,4,0.4,57.57428308677936,0.0,1.3271446228027344,4.973422050476074,79.4615707397461,0.0,37.7674674987793,37.7674674987793,57.18768072128296
495616,-236.5451895990106,10,-0.14885251224040985,45.2681999206543,4,0.4,68.79529220701178,0.0,1.240443229675293,5.067747116088867,72.9183120727539,0.0,51.39230728149414,51.39230728149414,55.425705432891846
