step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.06999999999994544,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.15000000000001876,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.3899999999999829,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.47000000000001363,54.8,4.519999999999999,1.2,10.0,0,45.480000000000004
6,3,GO,0.5500000000000017,54.8,4.659999999999998,1.4,10.0,0,45.34
7,3,GO,0.6300000000000324,54.8,4.8199999999999985,1.5999999999999999,10.0,0,45.18
8,3,GO,0.7099999999999778,54.8,4.999999999999998,1.7999999999999998,10.0,0,45.0
9,3,GO,0.7900000000000085,54.8,5.199999999999998,1.9999999999999998,10.0,0,44.800000000000004
10,3,GO,0.8699999999999966,54.8,5.419999999999998,2.1999999999999997,32.742881979556536,0,44.58
11,3,GO,0.9499999999999846,54.8,5.659999999999998,2.4,29.651865704546932,0,44.34
12,3,GO,1.0300000000000153,54.8,5.919999999999998,2.6,26.647595685810643,0,44.08
13,3,GO,1.1100000000000034,54.8,6.199999999999998,2.8000000000000003,23.942499685600847,0,43.800000000000004
14,3,GO,1.1899999999999915,54.8,6.499999999999998,3.0000000000000004,21.597694466426685,0,43.5
15,3,GO,1.2700000000000222,54.8,6.819999999999998,3.2000000000000006,19.718081470681607,0,43.18
16,3,GO,1.3499999999999677,54.8,7.159999999999998,3.400000000000001,17.949389657103602,0,42.84
17,3,GO,1.4299999999999984,54.8,7.519999999999999,3.600000000000001,16.537300996381322,0,42.480000000000004
18,3,GO,1.5099999999999865,54.8,7.899999999999999,3.800000000000001,15.260288649898127,0,42.1
19,3,GO,1.5900000000000172,54.8,8.299999999999999,4.000000000000001,14.19295774261309,0,41.7
20,3,GO,1.6700000000000053,54.8,8.719999999999999,4.200000000000001,13.110822802902831,0,41.28
21,3,GO,1.7499999999999933,54.8,9.159999999999998,4.400000000000001,12.21389072002382,0,40.84
22,2,YIELD,1.6900000000000002,54.8,9.597499999999998,4.375000000000002,11.813188763482959,0,40.4025
23,3,GO,1.7699999999999882,54.8,10.054999999999998,4.575000000000002,11.120946729274026,0,39.945
24,3,GO,1.900000000000019,54.8,10.532499999999999,4.775000000000002,10.39689482271011,0,39.4675
25,3,GO,1.980000000000007,54.8,11.03,4.975000000000002,9.762359319021398,0,38.97
26,3,GO,2.059999999999995,54.8,11.5475,5.1750000000000025,9.181369477521615,0,38.4525
27,3,GO,2.1399999999999832,54.8,12.084999999999999,5.375000000000003,8.616357345298045,0,37.915
28,3,GO,2.220000000000014,54.8,12.6425,5.575000000000003,8.21721785842263,0,37.3575
29,3,GO,2.300000000000002,54.8,13.22,5.775000000000003,7.724998730638014,0,36.78
30,2,YIELD,2.240000000000009,54.8,13.795000000000002,5.7500000000000036,7.519676899836278,0,36.205
31,3,GO,2.319999999999997,54.8,14.390000000000002,5.950000000000004,7.149621823033853,0,35.61
32,3,GO,2.4500000000000277,54.8,15.005000000000003,6.150000000000004,6.777800552512209,0,34.995
33,2,YIELD,2.3899999999999495,54.8,15.617500000000003,6.1250000000000036,6.585837123030409,0,34.38249999999999
34,3,GO,2.4700000000000655,54.8,16.250000000000004,6.325000000000004,6.263443443254641,0,33.75
35,3,GO,2.599999999999968,54.8,16.902500000000003,6.525000000000004,5.914277154990428,0,33.0975
36,3,GO,2.679999999999999,54.8,17.575000000000003,6.725000000000004,5.6392160078744835,0,32.425
37,3,GO,2.759999999999987,54.8,18.267500000000002,6.925000000000004,5.368265348542797,0,31.7325
38,3,GO,2.8400000000000176,54.8,18.980000000000004,7.125000000000004,5.083847456918589,0,31.019999999999996
39,1,CREEP,2.7700000000000315,54.8,19.687500000000004,7.075000000000005,4.897887553608717,0,30.3125
40,3,GO,2.8499999999999766,54.8,20.415000000000003,7.275000000000005,4.62779949844485,0,29.584999999999994
41,3,GO,2.9800000000000075,54.8,21.1625,7.475000000000005,4.386001265432547,0,28.8375
42,3,GO,3.059999999999995,54.8,21.930000000000003,7.675000000000005,4.168833003434378,0,28.069999999999993
43,3,GO,3.1400000000000263,54.8,22.717500000000005,7.875000000000005,3.967229672582898,0,27.2825
44,3,GO,3.2199999999999713,54.8,23.525000000000006,8.075000000000005,3.778320222681103,0,26.474999999999994
45,3,GO,3.300000000000002,54.8,24.352500000000006,8.275000000000004,3.5842782784396587,0,25.647499999999994
46,1,CREEP,3.230000000000016,54.8,25.175000000000008,8.225000000000005,3.4443261590277032,0,24.82499999999999
47,3,GO,3.310000000000004,54.8,26.017500000000013,8.425000000000004,3.2513455842378405,0,23.982499999999987
48,3,GO,3.439999999999992,54.8,26.88000000000001,8.625000000000004,3.069826888292586,0,23.11999999999999
49,1,CREEP,0.37000000000000527,54.8,27.73750000000001,8.575000000000003,2.933735022781822,0,22.26249999999999
