# scenario=1b, ego_maneuver=stem_right, seed=3528, episode_idx=72, terminal_step=296, collision_agent_id=unknown
step,ego_x,ego_y,ego_psi,ego_v,ego_a,action,reward,min_ttc,n_agents,collision_agent_id,terminal_flag
0,54.8,4.119999999999999,0.0,0.2,2.0,3,0.0700000000000307,10.0,0,none,0
1,54.8,4.159999999999999,0.0,0.4,2.0,3,0.14999999999997612,10.0,0,none,0
2,54.8,4.219999999999999,0.0,0.6000000000000001,2.0000000000000004,3,0.23000000000000684,10.0,0,none,0
3,54.8,4.299999999999999,0.0,0.8,1.9999999999999996,3,0.3099999999999949,10.0,0,none,0
4,54.8,4.399999999999999,0.0,1.0,1.9999999999999996,3,0.39000000000002555,10.0,0,none,0
5,54.8,4.519999999999999,0.0,1.2,1.9999999999999996,3,0.469999999999971,10.0,0,none,0
6,54.8,4.659999999999998,0.0,1.4,1.9999999999999996,3,0.5500000000000017,10.0,0,none,0
7,54.8,4.8199999999999985,0.0,1.5999999999999999,1.9999999999999996,3,0.6299999999999898,10.0,0,none,0
8,54.8,4.974999999999999,0.0,1.5499999999999998,-0.5000000000000004,1,0.5600000000000034,35.473509346989026,1,none,0
9,54.8,5.149999999999999,0.0,1.7499999999999998,1.9999999999999996,3,0.6400000000000341,25.600749983985345,1,none,0
10,54.8,5.344999999999999,0.0,1.9499999999999997,1.9999999999999996,3,0.7699999999999795,22.5863867143066,1,none,0
11,54.8,5.559999999999999,0.0,2.15,2.0000000000000018,3,0.8500000000000102,21.091217739865474,1,none,0
12,54.8,5.794999999999999,0.0,2.35,2.0000000000000018,3,0.9299999999999983,19.589660901107948,1,none,0
13,54.8,6.049999999999999,0.0,2.5500000000000003,2.0000000000000018,3,1.0099999999999865,17.442603758225346,1,none,0
14,54.8,6.325,0.0,2.7500000000000004,2.0000000000000018,3,1.0899999999999745,16.655470248609863,1,none,0
15,54.8,6.619999999999999,0.0,2.9500000000000006,2.0000000000000018,3,1.170000000000048,15.335059405217528,1,none,0
16,54.8,6.935,0.0,3.150000000000001,2.0000000000000018,3,1.2499999999999933,14.27282400663836,1,none,0
17,54.8,7.27,0.0,3.350000000000001,2.0000000000000018,3,1.330000000000024,13.37572202006684,1,none,0
18,54.8,7.580000000000001,0.0,3.100000000000001,-2.5,0,1.1799999999999642,14.195642265011298,1,none,0
19,54.8,7.91,0.0,3.300000000000001,2.0000000000000018,3,1.259999999999995,13.146833031696804,1,none,0
20,54.8,8.26,0.0,3.5000000000000013,2.0000000000000018,3,1.389999999999983,12.63727759962371,1,none,0
21,54.8,8.6075,0.0,3.4750000000000014,-0.2499999999999991,2,1.3300000000000325,12.403086372231387,1,none,0
22,54.8,8.975,0.0,3.6750000000000016,2.0000000000000018,3,1.409999999999978,11.749341821486482,1,none,0
23,54.8,9.3625,0.0,3.8750000000000018,2.0000000000000018,3,1.5400000000000513,10.799968519373211,1,none,0
24,54.8,9.770000000000001,0.0,4.075000000000002,2.0000000000000018,3,1.6199999999999968,10.2925737130856,1,none,0
25,54.8,10.197500000000002,0.0,4.275000000000002,2.0000000000000018,3,1.6999999999999422,9.623485725452916,1,none,0
26,54.8,10.645000000000001,0.0,4.475000000000002,2.0000000000000018,3,1.7800000000000582,9.146636385158036,1,none,0
27,54.8,11.1125,0.0,4.6750000000000025,2.0000000000000018,3,1.8600000000000037,8.692474462501712,1,none,0
28,54.8,11.600000000000001,0.0,4.875000000000003,2.0000000000000018,3,1.939999999999949,8.176938132009308,1,none,0
29,54.8,12.107500000000002,0.0,5.075000000000003,2.0000000000000018,3,2.0200000000000227,7.733723328440838,2,none,0
30,54.8,12.635,0.0,5.275000000000003,2.0000000000000018,3,2.0999999999999677,7.243610363295483,2,none,0
31,54.8,13.182500000000001,0.0,5.475000000000003,2.0000000000000018,3,2.1800000000000415,6.7565116119300725,2,none,0
32,54.8,13.75,0.0,5.675000000000003,2.0000000000000018,3,2.2599999999999865,6.512326689676178,2,none,0
33,54.8,14.292500000000004,0.0,5.425000000000003,-2.5,0,2.1100000000000123,6.7921237715558,2,none,0
34,54.8,14.81,0.0,5.175000000000003,-2.5,0,2.059999999999995,7.020368398949308,2,none,0
35,54.8,15.302500000000002,0.0,4.925000000000003,-2.5,0,1.9600000000000208,7.215322969206194,2,none,0
36,54.8,15.815000000000001,0.0,5.1250000000000036,2.0000000000000018,3,1.9899999999999662,6.854651898090465,2,none,0
37,54.8,16.302500000000002,0.0,4.8750000000000036,-2.5,0,1.8900000000000345,7.128448221966831,2,none,0
38,54.8,16.810000000000002,0.0,5.075000000000004,2.0000000000000018,3,1.96999999999998,6.693682178064399,2,none,0
39,54.8,17.337500000000002,0.0,5.275000000000004,2.0000000000000018,3,2.1000000000000107,6.319108317337828,2,none,0
40,54.8,17.885,0.0,5.475000000000004,2.0000000000000018,3,2.179999999999999,5.928748893279817,2,none,0
41,54.8,18.4525,0.0,5.675000000000004,2.0000000000000018,3,2.259999999999987,5.687852996948481,2,none,0
42,54.8,19.040000000000003,0.0,5.875000000000004,2.0000000000000018,3,2.3400000000000176,5.35872586508175,2,none,0
43,54.8,19.647500000000004,0.0,6.075000000000005,2.0000000000000018,3,2.4200000000000057,5.089739472928322,2,none,0
44,54.8,20.230000000000004,0.0,5.825000000000005,-2.5,0,2.269999999999989,5.186114880636552,2,none,0
45,54.8,20.832500000000003,0.0,6.025000000000005,2.0000000000000018,3,2.350000000000019,4.83576225983155,2,none,0
46,54.8,21.455000000000005,0.0,6.225000000000005,2.0000000000000018,3,2.4800000000000075,4.552548302366035,2,none,0
47,54.8,22.097500000000007,0.0,6.425000000000005,2.0000000000000018,3,2.559999999999995,4.278115291939649,2,none,0
48,54.8,22.76000000000001,0.0,6.625000000000005,2.0000000000000018,3,2.6400000000000263,4.037706015630374,2,none,0
49,54.8,23.397500000000008,0.0,6.375000000000005,-2.5,0,2.4899999999999665,4.221450264852925,2,none,0
50,54.8,24.01000000000001,0.0,6.125000000000005,-2.5,0,2.4400000000000346,4.239785634804855,2,none,0
51,54.8,24.61750000000001,0.0,6.0750000000000055,-0.4999999999999982,1,2.3699999999999632,4.205357131298293,2,none,0
52,54.8,25.20000000000001,0.0,5.8250000000000055,-2.5,0,2.2700000000000315,4.306089861925819,2,none,0
53,54.8,25.802500000000013,0.0,6.025000000000006,2.0000000000000018,3,2.349999999999977,4.044756179859946,2,none,0
54,54.8,26.42500000000001,0.0,6.225000000000006,2.0000000000000018,3,2.4800000000000075,3.760398040512238,2,none,0
55,54.8,27.067500000000013,0.0,6.425000000000006,2.0000000000000018,3,2.5600000000000382,3.595269376540008,2,none,0
56,54.8,27.730000000000015,0.0,6.625000000000006,2.0000000000000018,3,2.6399999999999837,3.3051561931624063,2,none,0
57,54.8,28.367500000000014,0.0,6.375000000000006,-2.5,0,2.489999999999988,3.430584569457713,2,none,0
58,54.8,29.000000000000014,0.0,6.325000000000006,-0.4999999999999982,1,2.4700000000000015,3.363566107227826,2,none,0
59,54.8,29.652500000000014,0.0,6.525000000000007,2.0000000000000018,3,2.5500000000000114,3.115627324336543,2,none,0
60,54.8,30.325000000000014,0.0,6.725000000000007,2.0000000000000018,3,-0.3200000000000012,2.900048187421916,2,none,0
61,54.8,31.017500000000016,0.0,6.925000000000007,2.0000000000000018,3,-0.24000000000001265,2.6627717546209597,2,none,0
62,54.8,31.685000000000013,0.0,6.675000000000007,-2.5,0,-0.3899999999999874,2.6716243768528893,2,none,0
63,54.8,32.34750000000001,0.0,6.625000000000007,-0.4999999999999982,1,-0.4100000000000163,2.6145948650890265,2,none,0
64,54.8,33.007500000000014,0.0,6.600000000000007,-0.25000000000000355,2,-0.4199999999999881,2.5924076799122466,2,none,0
65,54.8,33.64250000000001,0.0,6.350000000000007,-2.5,0,-0.5200000000000051,2.638692273307337,2,none,0
66,54.8,34.272500000000015,0.0,6.300000000000007,-0.4999999999999982,1,-0.5399999999999914,2.6027587206486515,2,none,0
67,54.8,34.90000000000001,0.0,6.2750000000000075,-0.24999999999999467,2,-0.5500000000000063,2.5450452976929228,2,none,0
68,54.8,35.48750000000001,0.0,5.875000000000007,-4.0000000000000036,4,-1.2100000000000037,2.746635866456972,2,none,0
69,54.8,36.09500000000001,0.0,6.075000000000007,2.0000000000000018,3,-0.6299999999999939,2.4486716336879275,2,none,0
70,54.8,36.677500000000016,0.0,5.825000000000007,-2.5,0,-0.72999999999999,2.5709027254965653,2,none,0
71,54.8,37.25500000000002,0.0,5.7750000000000075,-0.4999999999999982,1,-0.7499999999999976,2.494063442513521,2,none,0
72,54.8,37.827500000000015,0.0,5.725000000000008,-0.4999999999999982,1,-0.7200000000000051,2.4811420004723015,2,none,0
