step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,cbf_residual_mean,anchor_loss,bc_loss,distill_loss,distill_gap,train_time_per_iter
4096,-209.71388827625225,10,-0.25589102506637573,1.564709186553955,0,0.0,10.68061525108033,0.0,1.5254337787628174,0.0,1.846344232559204,0.0,0.0904502123594284,0.0904502123594284,238.51195168495178
45056,44.36928086187382,10,-0.07243845611810684,575.7197265625,2,0.2,5.0945030623634695,0.0,1.3203238248825073,0.11795297265052795,106.65100860595703,755.5477294921875,310.1827697753906,310.1827697753906,244.73022866249084
86016,143.11648056517484,10,-0.07126092910766602,359.31622314453125,2,0.2,6.052814206994356,0.0,1.1735129356384277,0.0,101.29109191894531,0.0,188.32383728027344,188.32383728027344,278.44227361679077
126976,192.45506494488149,10,-0.026550397276878357,295.6444091796875,2,0.2,5.498275485982373,0.0,0.9384979605674744,0.3100718855857849,46.50379943847656,0.44361746311187744,230.762451171875,230.762451171875,311.22058153152466
167936,229.65183195590515,10,-0.01591319777071476,150.84033203125,1,0.1,5.089250062775465,0.0,0.6351045370101929,0.0,146.39846801757812,7.222807884216309,120.00900268554688,120.00900268554688,327.6388006210327
208896,253.83125162992096,10,-0.05918842554092407,294.5544738769531,1,0.1,4.937811502836014,0.0,0.45767471194267273,0.0,146.85765075683594,0.0,156.91151428222656,156.91151428222656,337.98892164230347
249856,272.5853299685037,10,0.07641351222991943,169.09620666503906,0,0.0,4.802152499564047,0.0,0.49036917090415955,0.14504146575927734,167.4696044921875,10.616623878479004,97.51387023925781,97.51387023925781,329.5654067993164
290816,288.7972324724407,10,0.012057725340127945,183.39447021484375,0,0.0,5.100265684298159,0.0,0.47643035650253296,1.2447537183761597,152.7153778076172,2.95499324798584,84.72442626953125,84.72442626953125,336.43293595314026
331776,295.11040664216955,10,0.10187624394893646,212.3386688232422,2,0.2,5.267509849139572,0.0,0.32281965017318726,0.005851723253726959,148.3458251953125,15.916288375854492,98.37201690673828,98.37201690673828,338.0613434314728
372736,298.9048409779526,10,-0.09716183692216873,491.5244445800781,3,0.3,5.93126470952329,0.0,0.43905317783355713,0.0,559.6972045898438,0.0,162.1345977783203,162.1345977783203,335.1729381084442
