step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,train_time_per_iter
4096,-224.08090802010747,10,-0.0711088702082634,11.130724906921387,0,0.0,10.54250574423461,0.49476448112410143,1.5437039136886597,405.8214604854584
45056,44.62923966670405,10,-0.019971299916505814,434.511474609375,2,0.2,9.592130486119533,0.0,1.212719202041626,368.0055375099182
86016,179.62549311113597,10,0.08110702037811279,297.5581970214844,0,0.0,6.586639452833924,0.0,0.6151987314224243,417.80261182785034
126976,232.49861983335197,10,0.14639699459075928,286.5299987792969,0,0.0,5.358648232328996,0.0,0.365847647190094,420.38937520980835
167936,271.73113586668154,10,-0.019634094089269638,134.25225830078125,0,0.0,6.091432548134117,0.0,0.418459415435791,447.5731449127197
208896,290.25794655556797,10,-0.16133177280426025,148.60635375976562,1,0.1,6.240406777815698,0.0,0.4144836664199829,442.35112047195435
249856,309.07756133334397,10,-0.012747596949338913,68.93920135498047,0,0.0,5.92857287653613,0.0,0.5969738364219666,459.8538362979889
290816,322.17794116667596,10,0.1069122850894928,85.32810974121094,0,0.0,5.940879762876357,0.0,0.33812928199768066,463.67333912849426
331776,329.61565881482306,10,0.06535162031650543,120.4688491821289,1,0.1,6.194217700986987,0.0,0.3402807414531708,476.84238362312317
372736,334.58030293334076,10,-0.035833559930324554,88.70469665527344,1,0.1,6.049803907955776,0.0,0.42010241746902466,485.4775183200836
