# scenario=1b, ego_maneuver=stem_right, seed=3846, episode_idx=57, terminal_step=377, collision_agent_id=unknown
step,ego_x,ego_y,ego_psi,ego_v,ego_a,action,reward,min_ttc,n_agents,collision_agent_id,terminal_flag
0,54.8,4.119999999999999,0.0,0.2,2.0,3,0.0700000000000307,10.0,0,none,0
1,54.8,4.159999999999999,0.0,0.4,2.0,3,0.14999999999997612,10.0,0,none,0
2,54.8,4.219999999999999,0.0,0.6000000000000001,2.0000000000000004,3,0.23000000000000684,10.0,0,none,0
3,54.8,4.299999999999999,0.0,0.8,1.9999999999999996,3,0.3099999999999949,10.0,0,none,0
4,54.8,4.399999999999999,0.0,1.0,1.9999999999999996,3,0.39000000000002555,10.0,0,none,0
5,54.8,4.499999999999998,0.0,1.0,0.0,1,0.3399999999999829,10.0,0,none,0
6,54.8,4.619999999999998,0.0,1.2,1.9999999999999996,3,0.42000000000001364,10.0,0,none,0
7,54.8,4.699999999999998,0.0,0.7999999999999999,-4.0,4,-0.24000000000004773,10.0,0,none,0
8,54.8,4.799999999999998,0.0,1.0,2.0000000000000004,3,0.34000000000002556,10.0,0,none,0
9,54.8,4.919999999999998,0.0,1.2,1.9999999999999996,3,0.469999999999971,46.74579332126627,1,none,0
10,54.8,4.999999999999998,0.0,0.7999999999999999,-4.0,4,-0.23999999999996247,46.711543087680916,1,none,0
11,54.8,5.099999999999998,0.0,1.0,2.0000000000000004,3,0.3399999999999829,39.024928316354355,1,none,0
12,54.8,5.219999999999998,0.0,1.2,1.9999999999999996,3,0.47000000000001363,35.788758596076256,1,none,0
13,54.8,5.359999999999998,0.0,1.4,1.9999999999999996,3,0.5500000000000017,32.39954339002474,1,none,0
14,54.8,5.497499999999998,0.0,1.375,-0.2499999999999991,2,0.4900000000000085,30.944728520955753,1,none,0
15,54.8,5.654999999999998,0.0,1.575,1.9999999999999996,3,0.5699999999999965,29.15868650975026,1,none,0
16,54.8,5.832499999999998,0.0,1.775,1.9999999999999996,3,0.6999999999999846,25.970860010028193,1,none,0
17,54.8,6.029999999999998,0.0,1.9749999999999999,1.9999999999999996,3,0.7800000000000153,23.552575447487726,1,none,0
18,54.8,6.247499999999998,0.0,2.175,1.9999999999999996,3,0.8600000000000034,21.59081199219145,1,none,0
19,54.8,6.462499999999997,0.0,2.15,-0.2499999999999991,2,0.8000000000000101,21.439544758267925,1,none,0
20,54.8,6.697499999999998,0.0,2.35,2.0000000000000018,3,0.8799999999999556,19.492602344679845,1,none,0
21,54.8,6.952499999999998,0.0,2.5500000000000003,2.0000000000000018,3,1.010000000000029,18.479606704536927,1,none,0
22,54.8,7.182499999999997,0.0,2.3000000000000003,-2.5,0,0.8600000000000119,19.8953743699169,2,none,0
23,54.8,7.387499999999998,0.0,2.0500000000000003,-2.5,0,0.8099999999999523,21.716218568924834,2,none,0
24,54.8,7.567499999999998,0.0,1.8000000000000003,-2.5,0,0.7100000000000205,24.52697765961783,2,none,0
25,54.8,7.767499999999999,0.0,2.0000000000000004,2.0000000000000018,3,0.7400000000000085,22.95955933602071,2,none,0
26,54.8,7.987499999999998,0.0,2.2000000000000006,2.0000000000000018,3,0.8699999999999967,20.85325176870667,2,none,0
27,54.8,8.227499999999997,0.0,2.400000000000001,2.0000000000000018,3,0.9499999999999847,18.839477549772916,2,none,0
28,54.8,8.487499999999997,0.0,2.600000000000001,2.0000000000000018,3,1.0300000000000153,17.021856334062964,2,none,0
29,54.8,8.707499999999998,0.0,2.200000000000001,-3.999999999999999,4,0.3199999999999967,20.430393901946736,2,none,0
30,54.8,8.947499999999998,0.0,2.4000000000000012,2.0000000000000018,3,0.8999999999999847,18.830603166937635,2,none,0
31,54.8,9.147499999999997,0.0,2.0000000000000013,-3.999999999999999,4,0.24000000000005134,22.033937363736484,2,none,0
32,54.8,9.367499999999998,0.0,2.2000000000000015,2.0000000000000018,3,0.8199999999999967,19.59593846301302,2,none,0
33,54.8,9.607499999999998,0.0,2.4000000000000017,2.0000000000000018,3,0.9499999999999422,18.178923847323343,2,none,0
34,54.8,9.844999999999999,0.0,2.3750000000000018,-0.2499999999999991,2,0.8900000000000342,18.157161483434283,2,none,0
35,54.8,10.1025,0.0,2.575000000000002,2.0000000000000018,3,0.9699999999999798,16.646422718656048,2,none,0
36,54.8,10.379999999999999,0.0,2.775000000000002,2.0000000000000018,3,1.1000000000000105,15.412584476940753,2,none,0
37,54.8,10.677499999999998,0.0,2.9750000000000023,2.0000000000000018,3,1.1800000000000412,14.209394863167928,2,none,0
38,54.8,10.995,0.0,3.1750000000000025,2.0000000000000018,3,1.2599999999999867,13.444235587753697,2,none,0
39,54.8,11.2875,0.0,2.9250000000000025,-2.5,0,1.1099999999999695,14.526091129037368,2,none,0
40,54.8,11.5775,0.0,2.9000000000000026,-0.2499999999999991,2,1.100000000000019,14.675925548948362,2,none,0
41,54.8,11.8625,0.0,2.8500000000000023,-0.5000000000000027,1,1.0800000000000327,14.630523867620775,2,none,0
42,54.8,12.1675,0.0,3.0500000000000025,2.0000000000000018,3,1.1599999999999355,13.42140263927272,2,none,0
43,54.8,12.492500000000001,0.0,3.2500000000000027,2.0000000000000018,3,1.2900000000000515,12.480966935577781,2,none,0
44,54.8,12.837500000000004,0.0,3.450000000000003,2.0000000000000018,3,1.369999999999997,11.618561067118652,2,none,0
45,54.8,13.157500000000002,0.0,3.200000000000003,-2.5,0,1.2199999999999798,12.518636553474451,2,none,0
46,54.8,13.497500000000002,0.0,3.400000000000003,2.0000000000000018,3,1.3000000000000105,11.857799288619162,2,none,0
47,54.8,13.857500000000003,0.0,3.600000000000003,2.0000000000000018,3,1.4299999999999986,10.841617192492807,2,none,0
48,54.8,14.237500000000004,0.0,3.8000000000000034,2.0000000000000018,3,1.5100000000000293,10.168426391336489,2,none,0
49,54.8,14.637500000000001,0.0,4.0000000000000036,2.0000000000000018,3,1.5899999999999748,9.464970666358957,2,none,0
50,54.8,15.057500000000003,0.0,4.200000000000004,2.0000000000000018,3,1.6700000000000055,8.900603121638817,2,none,0
51,54.8,15.475000000000001,0.0,4.175000000000004,-0.24999999999999467,2,1.6099999999999697,8.82859080944306,2,none,0
52,54.8,15.912500000000005,0.0,4.375000000000004,2.0000000000000018,3,1.6900000000000004,8.417628506062467,2,none,0
53,54.8,16.370000000000005,0.0,4.575000000000005,2.0000000000000018,3,1.8200000000000311,7.8282840446238735,2,none,0
54,54.8,16.847500000000004,0.0,4.775000000000005,2.0000000000000018,3,1.8999999999999766,7.425277674227028,2,none,0
55,54.8,17.320000000000004,0.0,4.725000000000005,-0.4999999999999982,1,1.830000000000033,7.409328122341392,2,none,0
56,54.8,17.767500000000005,0.0,4.475000000000005,-2.5,0,1.7300000000000157,7.771699561982004,2,none,0
57,54.8,18.190000000000005,0.0,4.225000000000005,-2.5,0,1.6799999999999562,8.216729950493802,2,none,0
58,54.8,18.607500000000005,0.0,4.175000000000005,-0.4999999999999982,1,1.6100000000000552,8.188642923524304,2,none,0
59,54.8,19.000000000000007,0.0,3.925000000000005,-2.5,0,1.5099999999999527,8.605627023645162,2,none,0
60,54.8,19.41250000000001,0.0,4.125000000000005,2.0000000000000018,3,1.590000000000026,8.05989070626527,2,none,0
61,54.8,19.84500000000001,0.0,4.3250000000000055,2.0000000000000018,3,1.7200000000000142,7.6406743865679605,2,none,0
62,54.8,20.25250000000001,0.0,4.0750000000000055,-2.5,0,1.5699999999999972,8.059934749508292,2,none,0
63,54.8,20.68000000000001,0.0,4.275000000000006,2.0000000000000018,3,1.6499999999999853,7.574885496976501,2,none,0
64,54.8,21.127500000000012,0.0,4.475000000000006,2.0000000000000018,3,1.780000000000016,7.115632783414558,2,none,0
65,54.8,21.53500000000001,0.0,4.075000000000006,-3.9999999999999947,4,1.0699999999999972,7.863029718649835,2,none,0
66,54.8,21.962500000000013,0.0,4.275000000000007,2.0000000000000018,3,1.6499999999999853,7.238043118389719,2,none,0
67,54.8,22.385000000000012,0.0,4.225000000000007,-0.4999999999999982,1,1.6300000000000416,7.298871766490187,2,none,0
68,54.8,22.82750000000001,0.0,4.425000000000007,2.0000000000000018,3,1.709999999999987,6.776796322720819,2,none,0
69,54.8,23.290000000000013,0.0,4.625000000000007,2.0000000000000018,3,1.8400000000000178,6.385536634906174,2,none,0
70,54.8,23.747500000000013,0.0,4.575000000000007,-0.4999999999999982,1,1.7699999999999887,6.365095626002145,2,none,0
71,54.8,24.180000000000014,0.0,4.325000000000007,-2.5,0,1.6699999999999717,6.717062379110192,2,none,0
72,54.8,24.63250000000001,0.0,4.5250000000000075,2.0000000000000018,3,1.750000000000045,6.29502353650778,2,none,0
