scenario,maneuver,metric,method_a,method_b,raw_p_paired,corrected_p_paired,significant_paired,marker_paired,cohens_d
1a,right_stem,mean_return,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_return,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_return,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_return,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_return,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_return,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_return,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_return,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_return,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_return,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_return,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_return,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_return,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_return,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_return,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_return,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_return,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_return,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_return,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_return,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_return,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_return,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_return,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_return,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_return,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_return,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_return,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_return,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_return,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_return,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_return,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_return,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_return,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_return,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_return,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_return,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_return,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_return,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_return,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_return,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_return,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_return,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_return,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_return,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_return,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_return,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_return,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_return,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_return,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_return,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_return,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_return,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_return,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_return,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_return,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_return,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_return,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_return,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_return,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_return,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,right_stem,collision_rate,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,collision_rate,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,collision_rate,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
