step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,cbf_residual_mean,anchor_loss,bc_loss,distill_loss,distill_gap,train_time_per_iter
4096,8.297988707022707,10,-0.0972483903169632,0.6205029487609863,1,0.1,37.417834229059345,0.0,1.4950876235961914,0.12475879490375519,0.7009932994842529,0.0,0.0830899178981781,0.0830899178981781,816.9235398769379
45056,66.50564435351129,10,-0.03100733831524849,146.1753692626953,9,0.9,5.549678074419481,0.0,1.387037754058838,1.7308080196380615,175.60333251953125,8.521844863891602,89.06011199951172,89.06011199951172,860.8029391765594
86016,75.80330568622202,10,0.03179740533232689,19.49538230895996,5,0.5,42.27071670024325,0.0,1.3305199146270752,0.27986642718315125,13.155189514160156,0.0,11.595085144042969,11.595085144042969,937.9568493366241
126976,111.09179411582643,10,-0.035284820944070816,188.1951446533203,2,0.2,12.146662672335534,0.0,1.2799413204193115,0.8032078742980957,59.92379379272461,0.0,80.72071838378906,80.72071838378906,921.5857775211334
167936,95.77778978779313,10,-0.0215802863240242,60.28630447387695,9,0.9,4.716813390403882,0.0,1.373936414718628,0.21408160030841827,52.60585021972656,160.18336486816406,18.58047866821289,18.58047866821289,910.0495858192444
208896,91.16951654475936,10,-0.07204321026802063,68.25830078125,9,0.9,5.825791965615724,0.0,1.246456503868103,0.18787169456481934,72.02359008789062,0.16345442831516266,16.698007583618164,16.698007583618164,1076.48335313797
249856,83.8872016812223,10,0.009178970009088516,100.85478973388672,8,0.8,6.856830744622193,0.0,1.2400362491607666,0.4695284366607666,97.98368835449219,0.0,13.20407485961914,13.20407485961914,1306.24938082695
290816,93.20825350912014,10,0.10593973845243454,33.878387451171875,5,0.5,8.209702160232933,0.0,1.2645715475082397,0.07087038457393646,39.051025390625,0.0,36.99087905883789,36.99087905883789,1309.9325408935547
331776,97.9258499550537,10,-0.12082956731319427,200.0271759033203,7,0.7,6.985949886086457,0.0,1.1665074825286865,0.0,174.46328735351562,0.0,26.307350158691406,26.307350158691406,1324.105987071991
372736,104.52124345075924,10,-0.05042006075382233,196.3464813232422,6,0.6,6.951238518742619,0.0,1.2230799198150635,0.44069528579711914,127.89466857910156,2.0642571449279785,53.91057205200195,53.91057205200195,1327.09365940094
