step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,cbf_residual_mean,anchor_loss,bc_loss,distill_loss,distill_gap,train_time_per_iter
4096,158.08654999999993,10,-0.060107000172138214,3.024550199508667,0,0.0,9.49902170831841,0.0,1.4751477241516113,0.0,2.9704294204711914,0.0,0.22205670177936554,0.22205670177936554,442.4669518470764
45056,259.43444062499987,10,-0.20914529263973236,735.5636596679688,0,0.0,7.283304784355758,0.0,1.2046904563903809,0.13603021204471588,45.92124938964844,10.840829849243164,541.729736328125,541.729736328125,569.8303792476654
86016,319.7988437499999,10,-0.11582403630018234,230.3889923095703,0,0.0,7.725320730800888,0.0,0.96285080909729,0.0,78.15510559082031,44.317039489746094,118.57598114013672,118.57598114013672,636.1272354125977
126976,337.62863281249986,10,-0.08286803960800171,163.9641876220703,0,0.0,5.358648232328996,0.0,0.5708851218223572,0.0,106.4613037109375,0.4775995910167694,74.6282958984375,74.6282958984375,825.8024823665619
167936,356.12650624999986,10,0.14102694392204285,271.447021484375,0,0.0,6.110451068043511,0.0,0.33873796463012695,0.0,219.7837371826172,0.0,114.21665954589844,114.21665954589844,836.815838098526
208896,360.58742187499985,10,0.02447342500090599,480.99322509765625,1,0.1,6.240406777815698,0.0,0.4379219114780426,0.0,119.70489501953125,0.0,289.67706298828125,289.67706298828125,810.8363239765167
249856,369.3632187499999,10,-0.09593398869037628,308.6810607910156,0,0.0,5.928555221986499,0.0,0.45059633255004883,0.0,351.9937744140625,0.0,77.5460205078125,77.5460205078125,870.4539816379547
290816,372.2652289062499,10,0.045649681240320206,164.94119262695312,1,0.1,6.180069750052152,0.0,0.4241417646408081,0.0,172.00137329101562,0.0,60.73426818847656,60.73426818847656,944.0768730640411
331776,370.5961534722221,10,-0.12268323451280594,202.95306396484375,2,0.2,6.266618053544429,0.0,0.3390304446220398,0.0,116.78378295898438,0.005088659003376961,111.9460678100586,111.9460678100586,1168.788053035736
372736,371.5506331249999,10,0.053709641098976135,231.11219787597656,1,0.1,6.201656101933616,0.0,0.5035477876663208,0.0,265.03973388671875,0.05129600316286087,33.49066162109375,33.49066162109375,1162.617538690567
