step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,cbf_residual_mean,anchor_loss,bc_loss,distill_loss,distill_gap,train_time_per_iter
4096,347.88989311839106,10,0.015400931239128113,6.168556213378906,0,0.0,12.05329706099887,0.0,1.4855693578720093,0.02714262530207634,4.312849998474121,0.0,0.900547981262207,0.900547981262207,239.12247490882874
45056,395.7580504501867,10,0.02354896068572998,357.5284423828125,1,0.1,11.879491024008281,0.0,1.2041634321212769,0.22474147379398346,49.93001174926758,0.0,238.07659912109375,238.07659912109375,253.948224067688
86016,404.88461696679116,10,-0.009989116340875626,304.6776123046875,0,0.0,5.863307268779136,0.0,0.7732465267181396,0.0,196.99485778808594,2369.236572265625,78.22784423828125,78.22784423828125,298.17682433128357
126976,389.9032752250934,10,-0.02712707221508026,161.77101135253906,2,0.2,5.327381566745247,0.0,0.5046488046646118,0.0,91.38027954101562,0.0,73.42325592041016,73.42325592041016,320.6299533843994
167936,385.40043018007475,10,0.02813398838043213,210.2864227294922,1,0.1,5.310409807408064,0.0,0.36096248030662537,0.0,93.36190795898438,0.08619316667318344,133.8245849609375,133.8245849609375,323.119832277298
208896,388.9765001500623,10,0.07088670134544373,108.0712890625,0,0.0,5.160528576859626,0.0,0.4398394525051117,0.3005794286727905,52.51013946533203,0.0,58.819766998291016,58.819766998291016,326.81091594696045
249856,389.5364429857677,10,0.1351126730442047,46.09385681152344,1,0.1,6.185557626216064,0.0,0.39302217960357666,0.0,40.366798400878906,9.521451950073242,20.600570678710938,20.600570678710938,333.56843757629395
290816,392.5759063625468,10,-0.12051226943731308,60.641780853271484,0,0.0,6.3063221976686705,0.0,0.47236573696136475,0.0,70.43106079101562,1.1403486728668213,33.55569076538086,33.55569076538086,349.6326639652252
331776,391.36837232226384,10,0.08799493312835693,55.22964859008789,1,0.1,5.588620580583714,0.0,0.44620460271835327,0.0,75.93498229980469,0.0,31.60996437072754,31.60996437072754,337.7363369464874
372736,385.9268000900375,10,0.022945445030927658,165.04705810546875,2,0.2,5.119250967724925,0.0,0.3334827721118927,0.0,212.7047119140625,8.537649154663086,60.06159210205078,60.06159210205078,350.3508026599884
