step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,L_eik,L_bc_raw,L_bc_normalized,L_ground_raw,L_ground_normalized,L_distill,mean_rho,mean_T_succ,mean_T_coll,n_grounding_points,sigma_eik,sigma_bc,sigma_ground,alm_lambda,alm_mu,L_eik_alm_contribution,n_success_buffer,n_collision_buffer,n_intermediate_buffer,train_time_per_iter
4096,8.284597001369027,10,-0.02089335396885872,0.9645530581474304,3,0.3,152.20416312103882,0.0,1.5021649599075317,10.428964614868164,0.0,0.0,0.0,0.0,0.08465545624494553,2.9341025352478027,0.0,0.0,0,0.0,0.9834855794906616,0.9834855794906616,0.0,1.0,54.38165283203125,0,0,0,649.4089822769165
45056,0.607587706587732,10,-0.07488200813531876,22.561237335205078,10,1.0,7.179353342497847,0.0,1.4939558506011963,8.124853134155273,23.83565902709961,16.370908737182617,24.431846618652344,16.77692985534668,0.05967562273144722,2.2878475189208984,0.0,96.22348022460938,128,0.0,1.2066388130187988,1.2067631483078003,1060.7621073601767,625.0,29247.671875,0,1000,0,702.5488600730896
86016,18.66177424946751,10,0.027567237615585327,22.33066749572754,9,0.9,11.846591554682062,0.0,1.4982044696807861,7.011922836303711,1097.33740234375,750.4177856445312,1127.88134765625,771.1487426757812,0.05190959572792053,2.0638766288757324,0.0,67.48192596435547,128,0.0,1.2092576026916504,1.2093803882598877,224949.19313233066,10000.0,1823161.625,0,1000,0,676.879620552063
126976,37.08363298900558,10,0.009850259870290756,11.823322296142578,8,0.8,10.142845901754518,0.0,1.4790880680084229,6.5204973220825195,2526.434326171875,1708.9833984375,2517.623046875,1702.7135009765625,0.0636177584528923,1.9034663438796997,0.0,49.89051818847656,128,0.0,1.215867280960083,1.2159779071807861,553032.7700369405,10000.0,3818633.0,0,1000,0,583.8326961994171
167936,39.55170566846872,10,-0.06514989584684372,48.15702819824219,4,0.4,10.118057145702608,0.0,1.453171968460083,6.2513346672058105,3398.53759765625,2224.001953125,3383.11572265625,2213.590087890625,0.05499047040939331,1.9591343402862549,0.0,41.775634765625,128,0.0,1.2361819744110107,1.2362712621688843,897947.232472931,10000.0,5808765.0,0,1000,0,586.9425141811371
208896,44.86296088508038,10,0.11683453619480133,24.537113189697266,8,0.8,7.716961436462563,0.0,1.4266619682312012,5.8006463050842285,4167.1904296875,2486.845703125,4121.79150390625,2459.453857421875,0.04753628745675087,1.7486627101898193,0.0,35.50658416748047,128,0.0,1.2945328950881958,1.2946113348007202,1251594.5559192793,10000.0,7428294.5,0,1000,0,635.7877790927887
249856,56.28817672144532,10,0.07231495529413223,13.89346981048584,7,0.7,10.878514617509763,0.0,1.4363784790039062,5.559138298034668,5978.037109375,2483.542724609375,3175.14453125,1564.0042724609375,0.04346460476517677,1.6496264934539795,31.02932357788086,29.223865509033203,256,0.0,1.5515819787979126,1.4248919486999512,1557555.210191046,10000.0,8813185.0,8,1000,589,584.3230838775635
290816,60.10595082762998,10,0.03800440952181816,34.859130859375,8,0.8,6.64837007912144,0.0,1.46071457862854,4.856460094451904,5719.7646484375,1241.53857421875,2878.366455078125,903.8049926757812,0.044998202472925186,1.690983772277832,34.439537048339844,32.7037239074707,256,0.0,2.146669387817383,1.7847474813461304,1843369.853781757,10000.0,9070178.0,16,1000,1000,593.941460609436
331776,61.15157904540677,10,-0.043236665427684784,40.98508071899414,9,0.9,4.954955951860609,0.0,1.4406144618988037,4.367860794067383,6118.88623046875,518.6713256835938,3126.27587890625,448.7256774902344,0.048089634627103806,1.428511142730713,35.185272216796875,30.27752113342285,256,0.0,3.4354231357574463,2.640012264251709,2119919.679822621,10000.0,9354905.0,40,1000,1000,607.1247642040253
372736,62.801141897629385,10,-0.041493527591228485,19.40259552001953,8,0.8,8.616547783326444,0.0,1.47635018825531,5.780634880065918,5719.44482421875,170.2899169921875,2546.252685546875,139.81654357910156,0.034578483551740646,1.7277672290802002,43.641170501708984,38.302452087402344,256,0.0,5.796571731567383,4.268238067626953,2361717.198441026,10000.0,13819304.0,40,1000,1000,631.2589821815491
