step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,train_time_per_iter
4096,90.84677904052771,10,0.012168001383543015,0.6631561517715454,1,0.1,27.548312797581353,0.0,1.5009582042694092,476.0745131969452
45056,42.02414385761592,10,0.059323880821466446,134.9644775390625,9,0.9,208.90444629699454,0.0,1.4363610744476318,483.4764473438263
86016,62.498710430869856,10,0.056178174912929535,28.359237670898438,7,0.7,7.634962625872355,0.0,1.388336420059204,467.592586517334
126976,78.18973216397258,10,0.012168850749731064,14.518540382385254,2,0.2,16.224163303173068,0.0,1.3204240798950195,448.95666456222534
167936,105.31368573117834,10,0.019950170069932938,23.082088470458984,2,0.2,11.546459913327858,0.0,1.28239905834198,476.6741862297058
208896,120.7255218512092,10,-0.02701466716825962,51.793312072753906,5,0.5,9.142748434501932,0.0,1.3342328071594238,454.67440152168274
249856,117.80267051499877,10,-0.03156810253858566,35.03324508666992,8,0.8,7.993621730431652,0.0,1.1467455625534058,454.93628764152527
290816,120.08523817299749,10,-0.03149934485554695,27.29993438720703,0,0.0,26.76423511636563,0.0,1.182124137878418,453.926305770874
331776,125.40515715577082,10,-0.11748391389846802,50.75382614135742,5,0.5,12.427933179427349,0.0,1.1635501384735107,447.59426069259644
372736,126.636816440194,10,-0.08932613581418991,44.332801818847656,1,0.1,9.967091639551864,0.0,1.1536846160888672,475.13868737220764
