step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,soft_residual_mean,cbf_residual_mean,anchor_loss_optimality,anchor_loss_safety,bc_loss_optimality,bc_loss_safety,distill_loss,distill_gap,actor_align_kl,train_time_per_iter
4096,189.7025615223991,10,0.10078242421150208,64.09112548828125,0,0.0,8.136267169398543,0.0,1.5261011123657227,1.9147261381149292,0.3505028486251831,99.61698150634766,18.91830062866211,0.0,0.0,8.306615829467773,8.306615829467773,0.6158695220947266,662.8762838840485
45056,173.8415058593961,10,0.08070026338100433,13.521764755249023,0,0.0,5.456073858792843,0.0,1.4887155294418335,2.0833611488342285,0.43168944120407104,36.331398010253906,11.034578323364258,0.0,0.0,5.147634506225586,5.147634506225586,0.5375126004219055,723.3511910438538
86016,162.76136505875445,10,0.04482138901948929,24.525226593017578,0,0.0,6.811741507445457,0.0,1.4933489561080933,3326.60888671875,0.0683024600148201,136.559326171875,17.3870849609375,0.0,0.0,24.727340698242188,24.727340698242188,0.6030873656272888,678.0711119174957
126976,134.4997886264041,10,0.04976540431380272,23.256698608398438,0,0.0,8.052934294095035,0.0,1.487622618675232,100.36790466308594,0.0,248.7138671875,16.777175903320312,0.0,0.0,37.26795959472656,37.26795959472656,0.604661226272583,697.2019407749176
167936,113.35624081325093,10,-0.02863501012325287,25.780517578125,0,0.0,14.33884623278415,0.0,1.4547836780548096,24.181669235229492,0.6755359172821045,168.70751953125,25.387104034423828,0.0,0.0,32.9309196472168,32.9309196472168,0.6366766691207886,702.8823459148407
208896,91.2071469748431,10,-0.002264082431793213,17.063554763793945,0,0.0,62.396147373238186,0.0,1.4453551769256592,2.026852607727051,0.10402901470661163,158.92764282226562,16.985225677490234,0.0,0.0,28.89497184753418,28.89497184753418,0.6866380572319031,735.8687386512756
249856,76.61437093075658,10,0.05174550041556358,16.88286018371582,0,0.0,9.30988785039545,0.0,1.461977481842041,2.535203456878662,0.0,119.004150390625,5.3605499267578125,0.0,0.0,24.546571731567383,24.546571731567383,0.5796985626220703,754.2353322505951
290816,66.15458545553439,10,0.04801935702562332,20.634828567504883,0,0.0,8.660302772658817,0.0,1.4804131984710693,2.6025242805480957,0.16996565461158752,184.35842895507812,19.882299423217773,0.0,0.0,33.08622741699219,33.08622741699219,0.5926223993301392,714.844379901886
331776,62.42678414949634,10,-0.11144779622554779,26.38399314880371,0,0.0,8.288955517898762,0.0,1.4618847370147705,2.118140935897827,0.0,149.98471069335938,17.066566467285156,0.0,0.0,35.043426513671875,35.043426513671875,0.5927705764770508,670.9247610569
372736,66.18695579604042,10,0.19581671059131622,16.159191131591797,0,0.0,7.543669464428386,0.0,1.485227108001709,37.16127014160156,0.12161421030759811,168.35208129882812,17.888641357421875,0.0,0.0,30.515472412109375,30.515472412109375,0.5274996161460876,792.3821668624878
