step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,train_time_per_iter
4096,-5.404211773844537,10,0.11390504240989685,35.574588775634766,0,0.0,24.66719522726361,0.6065377678181633,1.4652118682861328,2050.7241716384888
45056,-6.793544363484832,10,-0.2233879268169403,599.3914184570312,0,0.0,16.175139903049207,0.0,1.3285088539123535,1974.429836511612
86016,8.055482830062106,10,0.17962992191314697,34.2891845703125,0,0.0,11.309670157169892,0.0,1.3716806173324585,1966.7935440540314
126976,9.509664315591248,10,-0.0066895801573991776,54.80650329589844,0,0.0,17.20971716610805,0.1556994646956898,1.2866039276123047,1855.7148931026459
167936,12.76478880284188,10,-0.17613360285758972,28.30170440673828,0,0.0,14.797782588236153,0.15591897482871478,1.223164677619934,2027.9992311000824
208896,16.592939174828974,10,-0.01690984144806862,14.576478004455566,0,0.0,10.699327970028063,0.0,1.191190481185913,2206.895187854767
249856,15.800376435312215,10,-0.11400029063224792,16.345794677734375,0,0.0,14.628666001092544,0.07666693580701506,1.137495994567871,2018.6905567646027
290816,17.420890645163006,10,-0.09163806587457657,32.78971862792969,0,0.0,12.959978017248416,0.0,1.1658356189727783,1981.7687578201294
331776,17.16872649280417,10,-0.08937318623065948,14.115865707397461,0,0.0,18.83985843805226,0.0,1.2774131298065186,1901.2189133167267
372736,16.621696562570538,10,-0.06003142148256302,10.304169654846191,0,0.0,13.141002708930994,0.0,1.2908401489257812,1766.1579568386078
