iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,117.13984203338623,117.12657761573792,49.763426780700684,22.282336950302124,22.22228741645813,4.152625605463982,0.043327994644641876,1.5459240674972534,1.482744812965393,0.0,2.4978175163269043,0.06555602699518204,-785.588623046875,500.0,8,0,0,8,0,0.1982421875,0.3232421875,0.13525390625,0.183837890625,0.159423828125
2,8192,342.08522486686707,116.18654775619507,50.3097186088562,20.77768874168396,20.729216814041138,5.190047133713961,0.011555898934602737,2.228395700454712,1.4586155414581299,0.0,2.8500266075134277,0.10006892681121826,-1175.5936279296875,500.0,8,0,0,8,0,0.22216796875,0.291748046875,0.16162109375,0.2021484375,0.122314453125
3,12288,450.36844205856323,108.27952313423157,48.363696575164795,13.148637771606445,13.106019973754883,9.501010589301586,0.032298579812049866,7.013305187225342,1.4104554653167725,0.0,2.35490083694458,0.10050598531961441,-1414.4259033203125,500.0,8,0,0,8,0,0.181640625,0.338134765625,0.15234375,0.260009765625,0.06787109375
4,16384,543.8551065921783,93.47600364685059,42.24060559272766,11.306410789489746,11.264999151229858,32.62156195938587,-0.06524483859539032,30.533788681030273,1.3717939853668213,0.0,2.068469524383545,0.08454859256744385,-456.22821044921875,500.0,8,0,0,8,0,0.16357421875,0.31005859375,0.15966796875,0.3076171875,0.05908203125
5,20480,666.8142764568329,122.94852805137634,43.31775450706482,43.029109716415405,42.96071934700012,8.239670351147652,-0.0942188948392868,6.336333751678467,1.3768404722213745,0.0,1.891165018081665,0.10639047622680664,227.98056030273438,500.0,8,0,0,8,0,0.168701171875,0.35693359375,0.15478515625,0.27783203125,0.041748046875
6,24576,773.7013411521912,106.85902953147888,43.86118817329407,19.721298456192017,19.666684865951538,10.6424297131598,0.028363030403852463,8.539612770080566,1.414684534072876,0.0,1.9799304008483887,0.09452351182699203,751.3746337890625,500.0,8,0,0,8,0,0.146728515625,0.325927734375,0.18798828125,0.278076171875,0.061279296875
7,28672,886.1298129558563,112.40323281288147,45.72034049034119,24.557872533798218,24.511558771133423,8.914090346544981,-0.014891352504491806,6.7235426902771,1.3640062808990479,0.0,2.1046066284179688,0.10083238035440445,849.553955078125,500.0,8,0,0,8,0,0.119384765625,0.3642578125,0.153076171875,0.283203125,0.080078125
8,32768,991.6255440711975,105.48086094856262,47.464704275131226,12.669439792633057,12.629767417907715,9.46148033440113,0.09428955614566803,7.170778751373291,1.3770941495895386,0.0,2.0921523571014404,0.1042596697807312,1332.748046875,500.0,8,0,0,8,0,0.1240234375,0.361572265625,0.1767578125,0.267822265625,0.06982421875
9,36864,1104.5470888614655,112.90106105804443,46.3955078125,21.556463956832886,21.511780261993408,10.602162405848503,0.1390334814786911,8.013765335083008,1.3799108266830444,0.0,2.339189291000366,0.11017429828643799,1448.8369140625,500.0,8,0,0,8,0,0.116943359375,0.35205078125,0.2197265625,0.25146484375,0.059814453125
10,40960,1221.9361345767975,117.37063980102539,51.21810555458069,21.353102445602417,21.307371854782104,16.84553375095129,-0.01245114952325821,15.001457214355469,1.384004831314087,0.0,1.7594225406646729,0.09710514545440674,1332.548828125,500.0,8,0,0,8,0,0.109375,0.3544921875,0.21875,0.2646484375,0.052734375
