scenario,variant,pinn_placement,use_l_ego,use_safety_filter,use_intent,lambda_phys,seed,eval_mode,mean_return,std_return,collision_rate,pothole_hits_mean,mean_ttc,min_ttc
2,nopinn,none,False,False,False,0.0,42,deterministic,12.152520000000493,58.866623912788015,0.0,0.0,95.26786174288394,0.2623223118344935
2,nopinn,none,False,False,False,0.0,42,stochastic,20.120000000000047,105.61316261432573,0.0,0.0,179.9921672414869,1.220965856588807
2,nopinn,none,False,False,False,0.0,123,deterministic,62.854280000000145,52.30584128490428,0.0,0.0,449.2795740614053,0.0
2,nopinn,none,False,False,False,0.0,123,stochastic,-4.393980000000028,111.30449946834854,0.0,0.0,398.5804221525772,5.184198798341278
2,nopinn,none,False,False,False,0.0,456,deterministic,98.64536000000003,44.34755052255318,0.04,0.0,103.5601785698181,0.3556227703003774
2,nopinn,none,False,False,False,0.0,456,stochastic,-2.322980000000106,123.36099377623212,0.0,0.0,191.03456424055236,0.8667158651753458
2,nopinn,none,False,False,False,0.0,789,deterministic,71.65141999999983,112.1309717402092,0.04,0.0,53.40836253189459,0.32897366439146075
2,nopinn,none,False,False,False,0.0,789,stochastic,9.18087999999986,115.19783480858301,0.0,0.0,167.96338317544075,0.7662751124836069
2,nopinn,none,False,False,False,0.0,999,deterministic,-76.18995999999949,83.2272125591045,0.0,0.0,123.39960422465779,0.2472392610050978
2,nopinn,none,False,False,False,0.0,999,stochastic,-9.043940000000086,119.58234054163842,0.0,0.0,394.1009447263222,4.5205409895896045
2,pinn_critic,critic,False,False,False,0.001,42,deterministic,-29.084559999998884,94.11983717923866,0.0,0.0,88.63502857443738,0.33558300649738804
2,pinn_critic,critic,False,False,False,0.001,42,stochastic,-20.799480000000084,107.29603205603455,0.0,0.0,323.2226482445639,3.9121292334578635
2,pinn_critic,critic,False,False,False,0.001,123,deterministic,12.442040000000208,89.38624780400177,0.02,0.0,41.29203529401459,0.3345485546706915
2,pinn_critic,critic,False,False,False,0.001,123,stochastic,34.36631999999995,112.65896434308989,0.0,0.0,199.90457375768318,3.111602074000749
2,pinn_critic,critic,False,False,False,0.001,456,deterministic,53.13709999999956,146.12362502514765,0.02,0.0,182.10961911638026,0.7117464591116257
2,pinn_critic,critic,False,False,False,0.001,456,stochastic,28.300779999999968,131.99704472317399,0.0,0.0,379.257018572325,1.9193384885310385
2,pinn_critic,critic,False,False,False,0.001,789,deterministic,97.79971999999992,42.40562399212633,0.02,0.0,71.5627476532187,0.4187679240184296
2,pinn_critic,critic,False,False,False,0.001,789,stochastic,-57.320560000000114,170.20428823706635,0.0,0.0,151.76615693569238,0.4488691685530853
2,pinn_critic,critic,False,False,False,0.001,999,deterministic,-1.3922999999994914,106.72615836846155,0.0,0.0,175.44196040351625,0.2284542512044451
2,pinn_critic,critic,False,False,False,0.001,999,stochastic,-41.91709999999999,93.88266495264178,0.0,0.0,704.884945902003,4.773376031391663
2,pinn_critic,critic,False,False,False,0.01,42,deterministic,-28.49769999999894,61.48162946970383,0.0,0.0,75.5771729578519,0.26234173683608364
2,pinn_critic,critic,False,False,False,0.01,42,stochastic,-10.781480000000096,113.81114317785224,0.0,0.0,253.7545388435397,3.369578748956266
2,pinn_critic,critic,False,False,False,0.01,123,deterministic,-26.544319999999043,123.07193889111197,0.04,0.0,45.174620782413086,0.2081606468648106
2,pinn_critic,critic,False,False,False,0.01,123,stochastic,16.48599999999999,117.45328390590022,0.0,0.0,253.56243802519683,3.378872665839128
2,pinn_critic,critic,False,False,False,0.01,456,deterministic,57.608940000000196,111.86796426026723,0.02,0.0,689.5306706594972,0.2937166842940799
2,pinn_critic,critic,False,False,False,0.01,456,stochastic,-14.836820000000097,154.1562431262113,0.0,0.0,305.94541954731346,2.2368453365488405
2,pinn_critic,critic,False,False,False,0.01,789,deterministic,98.42507999999998,42.97501905239372,0.04,0.0,232.30930296072685,0.36768583411192984
2,pinn_critic,critic,False,False,False,0.01,789,stochastic,-28.28560000000013,118.16139085978969,0.0,0.0,149.73814879276767,0.8042617102153632
2,pinn_critic,critic,False,False,False,0.01,999,deterministic,-44.7153599999995,76.45469020688253,0.0,0.0,97.72459807426132,0.24484593104560282
2,pinn_critic,critic,False,False,False,0.01,999,stochastic,-31.902520000000028,101.55937916829537,0.0,0.0,533.7176826307965,4.757333553826624
