job_id,scenario,variant,pinn_placement,use_l_ego,use_safety_filter,use_ttc,use_stop,use_fric,lambda_phys,seed,use_intent
100,2,pinn_both,both,False,False,True,True,True,0.5,42,False
101,2,pinn_both,both,False,False,True,True,True,0.5,123,False
102,2,pinn_both,both,False,False,True,True,True,0.5,456,False
103,2,pinn_both,both,False,False,True,True,True,0.5,789,False
104,2,pinn_both,both,False,False,True,True,True,0.5,999,False
105,2,pinn_both,both,False,False,True,True,True,1.0,42,False
106,2,pinn_both,both,False,False,True,True,True,1.0,123,False
107,2,pinn_both,both,False,False,True,True,True,1.0,456,False
108,2,pinn_both,both,False,False,True,True,True,1.0,789,False
109,2,pinn_both,both,False,False,True,True,True,1.0,999,False
110,2,pinn_ego,critic,True,False,True,True,True,0.001,42,False
111,2,pinn_ego,critic,True,False,True,True,True,0.001,123,False
112,2,pinn_ego,critic,True,False,True,True,True,0.001,456,False
113,2,pinn_ego,critic,True,False,True,True,True,0.001,789,False
114,2,pinn_ego,critic,True,False,True,True,True,0.001,999,False
115,2,pinn_ego,critic,True,False,True,True,True,0.01,42,False
116,2,pinn_ego,critic,True,False,True,True,True,0.01,123,False
117,2,pinn_ego,critic,True,False,True,True,True,0.01,456,False
118,2,pinn_ego,critic,True,False,True,True,True,0.01,789,False
119,2,pinn_ego,critic,True,False,True,True,True,0.01,999,False
120,2,pinn_ego,critic,True,False,True,True,True,0.05,42,False
121,2,pinn_ego,critic,True,False,True,True,True,0.05,123,False
122,2,pinn_ego,critic,True,False,True,True,True,0.05,456,False
123,2,pinn_ego,critic,True,False,True,True,True,0.05,789,False
124,2,pinn_ego,critic,True,False,True,True,True,0.05,999,False
125,2,pinn_ego,critic,True,False,True,True,True,0.1,42,False
126,2,pinn_ego,critic,True,False,True,True,True,0.1,123,False
127,2,pinn_ego,critic,True,False,True,True,True,0.1,456,False
128,2,pinn_ego,critic,True,False,True,True,True,0.1,789,False
129,2,pinn_ego,critic,True,False,True,True,True,0.1,999,False
130,2,pinn_ego,critic,True,False,True,True,True,0.2,42,False
131,2,pinn_ego,critic,True,False,True,True,True,0.2,123,False
132,2,pinn_ego,critic,True,False,True,True,True,0.2,456,False
133,2,pinn_ego,critic,True,False,True,True,True,0.2,789,False
134,2,pinn_ego,critic,True,False,True,True,True,0.2,999,False
135,2,pinn_ego,critic,True,False,True,True,True,0.5,42,False
