step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,train_time_per_iter
4096,188.28336581180793,10,0.09174250066280365,56.896854400634766,0,0.0,11.05532117044657,0.0,1.480201244354248,465.45255732536316
45056,103.98675490800053,10,0.021012969315052032,23.523448944091797,0,0.0,7.971651967384751,0.0,1.4247655868530273,459.3132436275482
86016,98.953338868647,10,-0.04946977645158768,10.499826431274414,0,0.0,6.690798280765368,0.0,1.4054970741271973,465.0837211608887
126976,87.26088416252144,10,0.09909321367740631,16.642263412475586,0,0.0,10.28036208739932,0.0,1.4455204010009766,470.15958309173584
167936,74.32580224526903,10,0.02176843211054802,14.863227844238281,0,0.0,45.55236351013028,0.0,1.323695182800293,468.3944134712219
208896,72.58835151476022,10,-0.003030255436897278,9.717418670654297,0,0.0,7.057919510339421,0.0,1.3237745761871338,481.0756621360779
249856,69.69423007018604,10,0.05859294533729553,11.1802339553833,0,0.0,60.35716154554481,0.0,1.2690292596817017,463.5930211544037
290816,69.67862236030817,10,-0.003338690847158432,13.148195266723633,0,0.0,8.650697448137802,0.0,1.3175880908966064,469.8400981426239
331776,70.99570529969739,10,0.08027670532464981,19.68807601928711,0,0.0,10.32595832298018,0.0,1.1623024940490723,476.8818941116333
372736,65.91526666859407,10,0.13499340415000916,43.34986114501953,0,0.0,7.197307317646395,0.0,1.0463635921478271,480.5847625732422
