job_id,scenario,variant,pinn_placement,use_l_ego,use_safety_filter,use_ttc,use_stop,use_fric,lambda_phys,seed,use_intent
96,1a,pinn_both,both,False,False,True,True,True,0.2,123,False
97,1a,pinn_both,both,False,False,True,True,True,0.2,456,False
98,1a,pinn_both,both,False,False,True,True,True,0.2,789,False
99,1a,pinn_both,both,False,False,True,True,True,0.2,999,False
100,1a,pinn_both,both,False,False,True,True,True,0.5,42,False
101,1a,pinn_both,both,False,False,True,True,True,0.5,123,False
102,1a,pinn_both,both,False,False,True,True,True,0.5,456,False
103,1a,pinn_both,both,False,False,True,True,True,0.5,789,False
104,1a,pinn_both,both,False,False,True,True,True,0.5,999,False
105,1a,pinn_both,both,False,False,True,True,True,1.0,42,False
106,1a,pinn_both,both,False,False,True,True,True,1.0,123,False
107,1a,pinn_both,both,False,False,True,True,True,1.0,456,False
108,1a,pinn_both,both,False,False,True,True,True,1.0,789,False
109,1a,pinn_both,both,False,False,True,True,True,1.0,999,False
110,1a,pinn_ego,critic,True,False,True,True,True,0.001,42,False
111,1a,pinn_ego,critic,True,False,True,True,True,0.001,123,False
112,1a,pinn_ego,critic,True,False,True,True,True,0.001,456,False
113,1a,pinn_ego,critic,True,False,True,True,True,0.001,789,False
114,1a,pinn_ego,critic,True,False,True,True,True,0.001,999,False
115,1a,pinn_ego,critic,True,False,True,True,True,0.01,42,False
116,1a,pinn_ego,critic,True,False,True,True,True,0.01,123,False
117,1a,pinn_ego,critic,True,False,True,True,True,0.01,456,False
118,1a,pinn_ego,critic,True,False,True,True,True,0.01,789,False
119,1a,pinn_ego,critic,True,False,True,True,True,0.01,999,False
120,1a,pinn_ego,critic,True,False,True,True,True,0.05,42,False
121,1a,pinn_ego,critic,True,False,True,True,True,0.05,123,False
122,1a,pinn_ego,critic,True,False,True,True,True,0.05,456,False
123,1a,pinn_ego,critic,True,False,True,True,True,0.05,789,False
124,1a,pinn_ego,critic,True,False,True,True,True,0.05,999,False
125,1a,pinn_ego,critic,True,False,True,True,True,0.1,42,False
126,1a,pinn_ego,critic,True,False,True,True,True,0.1,123,False
127,1a,pinn_ego,critic,True,False,True,True,True,0.1,456,False
128,1a,pinn_ego,critic,True,False,True,True,True,0.1,789,False
129,1a,pinn_ego,critic,True,False,True,True,True,0.1,999,False
130,1a,pinn_ego,critic,True,False,True,True,True,0.2,42,False
131,1a,pinn_ego,critic,True,False,True,True,True,0.2,123,False
132,1a,pinn_ego,critic,True,False,True,True,True,0.2,456,False
133,1a,pinn_ego,critic,True,False,True,True,True,0.2,789,False
134,1a,pinn_ego,critic,True,False,True,True,True,0.2,999,False
135,1a,pinn_ego,critic,True,False,True,True,True,0.5,42,False
136,1a,pinn_ego,critic,True,False,True,True,True,0.5,123,False
137,1a,pinn_ego,critic,True,False,True,True,True,0.5,456,False
138,1a,pinn_ego,critic,True,False,True,True,True,0.5,789,False
139,1a,pinn_ego,critic,True,False,True,True,True,0.5,999,False
140,1a,pinn_ego,critic,True,False,True,True,True,1.0,42,False
141,1a,pinn_ego,critic,True,False,True,True,True,1.0,123,False
142,1a,pinn_ego,critic,True,False,True,True,True,1.0,456,False
143,1a,pinn_ego,critic,True,False,True,True,True,1.0,789,False
144,1a,pinn_ego,critic,True,False,True,True,True,1.0,999,False
145,1a,pinn_no_ttc,critic,False,False,False,True,True,0.001,42,False
146,1a,pinn_no_ttc,critic,False,False,False,True,True,0.001,123,False
147,1a,pinn_no_ttc,critic,False,False,False,True,True,0.001,456,False
148,1a,pinn_no_ttc,critic,False,False,False,True,True,0.001,789,False
149,1a,pinn_no_ttc,critic,False,False,False,True,True,0.001,999,False
150,1a,pinn_no_ttc,critic,False,False,False,True,True,0.01,42,False
151,1a,pinn_no_ttc,critic,False,False,False,True,True,0.01,123,False
152,1a,pinn_no_ttc,critic,False,False,False,True,True,0.01,456,False
153,1a,pinn_no_ttc,critic,False,False,False,True,True,0.01,789,False
154,1a,pinn_no_ttc,critic,False,False,False,True,True,0.01,999,False
155,1a,pinn_no_ttc,critic,False,False,False,True,True,0.05,42,False
156,1a,pinn_no_ttc,critic,False,False,False,True,True,0.05,123,False
157,1a,pinn_no_ttc,critic,False,False,False,True,True,0.05,456,False
158,1a,pinn_no_ttc,critic,False,False,False,True,True,0.05,789,False
159,1a,pinn_no_ttc,critic,False,False,False,True,True,0.05,999,False
160,1a,pinn_no_ttc,critic,False,False,False,True,True,0.1,42,False
161,1a,pinn_no_ttc,critic,False,False,False,True,True,0.1,123,False
162,1a,pinn_no_ttc,critic,False,False,False,True,True,0.1,456,False
163,1a,pinn_no_ttc,critic,False,False,False,True,True,0.1,789,False
164,1a,pinn_no_ttc,critic,False,False,False,True,True,0.1,999,False
165,1a,pinn_no_ttc,critic,False,False,False,True,True,0.2,42,False
166,1a,pinn_no_ttc,critic,False,False,False,True,True,0.2,123,False
167,1a,pinn_no_ttc,critic,False,False,False,True,True,0.2,456,False
168,1a,pinn_no_ttc,critic,False,False,False,True,True,0.2,789,False
169,1a,pinn_no_ttc,critic,False,False,False,True,True,0.2,999,False
170,1a,pinn_no_ttc,critic,False,False,False,True,True,0.5,42,False
171,1a,pinn_no_ttc,critic,False,False,False,True,True,0.5,123,False
172,1a,pinn_no_ttc,critic,False,False,False,True,True,0.5,456,False
173,1a,pinn_no_ttc,critic,False,False,False,True,True,0.5,789,False
174,1a,pinn_no_ttc,critic,False,False,False,True,True,0.5,999,False
175,1a,pinn_no_ttc,critic,False,False,False,True,True,1.0,42,False
176,1a,pinn_no_ttc,critic,False,False,False,True,True,1.0,123,False
177,1a,pinn_no_ttc,critic,False,False,False,True,True,1.0,456,False
178,1a,pinn_no_ttc,critic,False,False,False,True,True,1.0,789,False
179,1a,pinn_no_ttc,critic,False,False,False,True,True,1.0,999,False
180,1a,pinn_no_stop,critic,False,False,True,False,True,0.001,42,False
181,1a,pinn_no_stop,critic,False,False,True,False,True,0.001,123,False
182,1a,pinn_no_stop,critic,False,False,True,False,True,0.001,456,False
183,1a,pinn_no_stop,critic,False,False,True,False,True,0.001,789,False
184,1a,pinn_no_stop,critic,False,False,True,False,True,0.001,999,False
185,1a,pinn_no_stop,critic,False,False,True,False,True,0.01,42,False
186,1a,pinn_no_stop,critic,False,False,True,False,True,0.01,123,False
187,1a,pinn_no_stop,critic,False,False,True,False,True,0.01,456,False
188,1a,pinn_no_stop,critic,False,False,True,False,True,0.01,789,False
189,1a,pinn_no_stop,critic,False,False,True,False,True,0.01,999,False
190,1a,pinn_no_stop,critic,False,False,True,False,True,0.05,42,False
191,1a,pinn_no_stop,critic,False,False,True,False,True,0.05,123,False
192,1a,pinn_no_stop,critic,False,False,True,False,True,0.05,456,False
193,1a,pinn_no_stop,critic,False,False,True,False,True,0.05,789,False
194,1a,pinn_no_stop,critic,False,False,True,False,True,0.05,999,False
195,1a,pinn_no_stop,critic,False,False,True,False,True,0.1,42,False
196,1a,pinn_no_stop,critic,False,False,True,False,True,0.1,123,False
197,1a,pinn_no_stop,critic,False,False,True,False,True,0.1,456,False
198,1a,pinn_no_stop,critic,False,False,True,False,True,0.1,789,False
199,1a,pinn_no_stop,critic,False,False,True,False,True,0.1,999,False
200,1a,pinn_no_stop,critic,False,False,True,False,True,0.2,42,False
201,1a,pinn_no_stop,critic,False,False,True,False,True,0.2,123,False
202,1a,pinn_no_stop,critic,False,False,True,False,True,0.2,456,False
203,1a,pinn_no_stop,critic,False,False,True,False,True,0.2,789,False
204,1a,pinn_no_stop,critic,False,False,True,False,True,0.2,999,False
205,1a,pinn_no_stop,critic,False,False,True,False,True,0.5,42,False
206,1a,pinn_no_stop,critic,False,False,True,False,True,0.5,123,False
207,1a,pinn_no_stop,critic,False,False,True,False,True,0.5,456,False
208,1a,pinn_no_stop,critic,False,False,True,False,True,0.5,789,False
209,1a,pinn_no_stop,critic,False,False,True,False,True,0.5,999,False
210,1a,pinn_no_stop,critic,False,False,True,False,True,1.0,42,False
211,1a,pinn_no_stop,critic,False,False,True,False,True,1.0,123,False
212,1a,pinn_no_stop,critic,False,False,True,False,True,1.0,456,False
213,1a,pinn_no_stop,critic,False,False,True,False,True,1.0,789,False
214,1a,pinn_no_stop,critic,False,False,True,False,True,1.0,999,False
215,1a,pinn_no_fric,critic,False,False,True,True,False,0.001,42,False
216,1a,pinn_no_fric,critic,False,False,True,True,False,0.001,123,False
217,1a,pinn_no_fric,critic,False,False,True,True,False,0.001,456,False
218,1a,pinn_no_fric,critic,False,False,True,True,False,0.001,789,False
219,1a,pinn_no_fric,critic,False,False,True,True,False,0.001,999,False
220,1a,pinn_no_fric,critic,False,False,True,True,False,0.01,42,False
221,1a,pinn_no_fric,critic,False,False,True,True,False,0.01,123,False
222,1a,pinn_no_fric,critic,False,False,True,True,False,0.01,456,False
223,1a,pinn_no_fric,critic,False,False,True,True,False,0.01,789,False
224,1a,pinn_no_fric,critic,False,False,True,True,False,0.01,999,False
225,1a,pinn_no_fric,critic,False,False,True,True,False,0.05,42,False
226,1a,pinn_no_fric,critic,False,False,True,True,False,0.05,123,False
227,1a,pinn_no_fric,critic,False,False,True,True,False,0.05,456,False
228,1a,pinn_no_fric,critic,False,False,True,True,False,0.05,789,False
229,1a,pinn_no_fric,critic,False,False,True,True,False,0.05,999,False
230,1a,pinn_no_fric,critic,False,False,True,True,False,0.1,42,False
231,1a,pinn_no_fric,critic,False,False,True,True,False,0.1,123,False
232,1a,pinn_no_fric,critic,False,False,True,True,False,0.1,456,False
233,1a,pinn_no_fric,critic,False,False,True,True,False,0.1,789,False
234,1a,pinn_no_fric,critic,False,False,True,True,False,0.1,999,False
235,1a,pinn_no_fric,critic,False,False,True,True,False,0.2,42,False
236,1a,pinn_no_fric,critic,False,False,True,True,False,0.2,123,False
237,1a,pinn_no_fric,critic,False,False,True,True,False,0.2,456,False
238,1a,pinn_no_fric,critic,False,False,True,True,False,0.2,789,False
239,1a,pinn_no_fric,critic,False,False,True,True,False,0.2,999,False
240,1a,pinn_no_fric,critic,False,False,True,True,False,0.5,42,False
241,1a,pinn_no_fric,critic,False,False,True,True,False,0.5,123,False
242,1a,pinn_no_fric,critic,False,False,True,True,False,0.5,456,False
243,1a,pinn_no_fric,critic,False,False,True,True,False,0.5,789,False
244,1a,pinn_no_fric,critic,False,False,True,True,False,0.5,999,False
245,1a,pinn_no_fric,critic,False,False,True,True,False,1.0,42,False
246,1a,pinn_no_fric,critic,False,False,True,True,False,1.0,123,False
247,1a,pinn_no_fric,critic,False,False,True,True,False,1.0,456,False
248,1a,pinn_no_fric,critic,False,False,True,True,False,1.0,789,False
249,1a,pinn_no_fric,critic,False,False,True,True,False,1.0,999,False
250,1a,safety_filter,none,False,True,True,True,True,0.0,42,False
251,1a,safety_filter,none,False,True,True,True,True,0.0,123,False
252,1a,safety_filter,none,False,True,True,True,True,0.0,456,False
253,1a,safety_filter,none,False,True,True,True,True,0.0,789,False
254,1a,safety_filter,none,False,True,True,True,True,0.0,999,False
255,1a,pinn_critic_sf,critic,False,True,True,True,True,0.001,42,False
256,1a,pinn_critic_sf,critic,False,True,True,True,True,0.001,123,False
257,1a,pinn_critic_sf,critic,False,True,True,True,True,0.001,456,False
258,1a,pinn_critic_sf,critic,False,True,True,True,True,0.001,789,False
259,1a,pinn_critic_sf,critic,False,True,True,True,True,0.001,999,False
260,1a,pinn_critic_sf,critic,False,True,True,True,True,0.01,42,False
261,1a,pinn_critic_sf,critic,False,True,True,True,True,0.01,123,False
262,1a,pinn_critic_sf,critic,False,True,True,True,True,0.01,456,False
263,1a,pinn_critic_sf,critic,False,True,True,True,True,0.01,789,False
264,1a,pinn_critic_sf,critic,False,True,True,True,True,0.01,999,False
265,1a,pinn_critic_sf,critic,False,True,True,True,True,0.05,42,False
266,1a,pinn_critic_sf,critic,False,True,True,True,True,0.05,123,False
267,1a,pinn_critic_sf,critic,False,True,True,True,True,0.05,456,False
268,1a,pinn_critic_sf,critic,False,True,True,True,True,0.05,789,False
269,1a,pinn_critic_sf,critic,False,True,True,True,True,0.05,999,False
270,1a,pinn_critic_sf,critic,False,True,True,True,True,0.1,42,False
271,1a,pinn_critic_sf,critic,False,True,True,True,True,0.1,123,False
272,1a,pinn_critic_sf,critic,False,True,True,True,True,0.1,456,False
273,1a,pinn_critic_sf,critic,False,True,True,True,True,0.1,789,False
274,1a,pinn_critic_sf,critic,False,True,True,True,True,0.1,999,False
275,1a,pinn_critic_sf,critic,False,True,True,True,True,0.2,42,False
276,1a,pinn_critic_sf,critic,False,True,True,True,True,0.2,123,False
277,1a,pinn_critic_sf,critic,False,True,True,True,True,0.2,456,False
278,1a,pinn_critic_sf,critic,False,True,True,True,True,0.2,789,False
279,1a,pinn_critic_sf,critic,False,True,True,True,True,0.2,999,False
280,1a,pinn_critic_sf,critic,False,True,True,True,True,0.5,42,False
281,1a,pinn_critic_sf,critic,False,True,True,True,True,0.5,123,False
282,1a,pinn_critic_sf,critic,False,True,True,True,True,0.5,456,False
283,1a,pinn_critic_sf,critic,False,True,True,True,True,0.5,789,False
284,1a,pinn_critic_sf,critic,False,True,True,True,True,0.5,999,False
285,1a,pinn_critic_sf,critic,False,True,True,True,True,1.0,42,False
286,1a,pinn_critic_sf,critic,False,True,True,True,True,1.0,123,False
287,1a,pinn_critic_sf,critic,False,True,True,True,True,1.0,456,False
288,1a,pinn_critic_sf,critic,False,True,True,True,True,1.0,789,False
289,1a,pinn_critic_sf,critic,False,True,True,True,True,1.0,999,False
290,1b,nopinn,none,False,False,True,True,True,0.0,42,False
291,1b,nopinn,none,False,False,True,True,True,0.0,123,False
292,1b,nopinn,none,False,False,True,True,True,0.0,456,False
293,1b,nopinn,none,False,False,True,True,True,0.0,789,False
294,1b,nopinn,none,False,False,True,True,True,0.0,999,False
295,1b,pinn_critic,critic,False,False,True,True,True,0.001,42,False
296,1b,pinn_critic,critic,False,False,True,True,True,0.001,123,False
297,1b,pinn_critic,critic,False,False,True,True,True,0.001,456,False
298,1b,pinn_critic,critic,False,False,True,True,True,0.001,789,False
299,1b,pinn_critic,critic,False,False,True,True,True,0.001,999,False
300,1b,pinn_critic,critic,False,False,True,True,True,0.01,42,False
301,1b,pinn_critic,critic,False,False,True,True,True,0.01,123,False
302,1b,pinn_critic,critic,False,False,True,True,True,0.01,456,False
303,1b,pinn_critic,critic,False,False,True,True,True,0.01,789,False
304,1b,pinn_critic,critic,False,False,True,True,True,0.01,999,False
305,1b,pinn_critic,critic,False,False,True,True,True,0.05,42,False
306,1b,pinn_critic,critic,False,False,True,True,True,0.05,123,False
307,1b,pinn_critic,critic,False,False,True,True,True,0.05,456,False
308,1b,pinn_critic,critic,False,False,True,True,True,0.05,789,False
309,1b,pinn_critic,critic,False,False,True,True,True,0.05,999,False
310,1b,pinn_critic,critic,False,False,True,True,True,0.1,42,False
311,1b,pinn_critic,critic,False,False,True,True,True,0.1,123,False
312,1b,pinn_critic,critic,False,False,True,True,True,0.1,456,False
313,1b,pinn_critic,critic,False,False,True,True,True,0.1,789,False
314,1b,pinn_critic,critic,False,False,True,True,True,0.1,999,False
315,1b,pinn_critic,critic,False,False,True,True,True,0.2,42,False
316,1b,pinn_critic,critic,False,False,True,True,True,0.2,123,False
317,1b,pinn_critic,critic,False,False,True,True,True,0.2,456,False
318,1b,pinn_critic,critic,False,False,True,True,True,0.2,789,False
319,1b,pinn_critic,critic,False,False,True,True,True,0.2,999,False
320,1b,pinn_critic,critic,False,False,True,True,True,0.5,42,False
321,1b,pinn_critic,critic,False,False,True,True,True,0.5,123,False
322,1b,pinn_critic,critic,False,False,True,True,True,0.5,456,False
323,1b,pinn_critic,critic,False,False,True,True,True,0.5,789,False
324,1b,pinn_critic,critic,False,False,True,True,True,0.5,999,False
325,1b,pinn_critic,critic,False,False,True,True,True,1.0,42,False
326,1b,pinn_critic,critic,False,False,True,True,True,1.0,123,False
327,1b,pinn_critic,critic,False,False,True,True,True,1.0,456,False
328,1b,pinn_critic,critic,False,False,True,True,True,1.0,789,False
329,1b,pinn_critic,critic,False,False,True,True,True,1.0,999,False
330,1b,pinn_actor,actor,False,False,True,True,True,0.001,42,False
331,1b,pinn_actor,actor,False,False,True,True,True,0.001,123,False
332,1b,pinn_actor,actor,False,False,True,True,True,0.001,456,False
333,1b,pinn_actor,actor,False,False,True,True,True,0.001,789,False
334,1b,pinn_actor,actor,False,False,True,True,True,0.001,999,False
335,1b,pinn_actor,actor,False,False,True,True,True,0.01,42,False
336,1b,pinn_actor,actor,False,False,True,True,True,0.01,123,False
337,1b,pinn_actor,actor,False,False,True,True,True,0.01,456,False
338,1b,pinn_actor,actor,False,False,True,True,True,0.01,789,False
339,1b,pinn_actor,actor,False,False,True,True,True,0.01,999,False
340,1b,pinn_actor,actor,False,False,True,True,True,0.05,42,False
341,1b,pinn_actor,actor,False,False,True,True,True,0.05,123,False
342,1b,pinn_actor,actor,False,False,True,True,True,0.05,456,False
343,1b,pinn_actor,actor,False,False,True,True,True,0.05,789,False
344,1b,pinn_actor,actor,False,False,True,True,True,0.05,999,False
345,1b,pinn_actor,actor,False,False,True,True,True,0.1,42,False
346,1b,pinn_actor,actor,False,False,True,True,True,0.1,123,False
347,1b,pinn_actor,actor,False,False,True,True,True,0.1,456,False
348,1b,pinn_actor,actor,False,False,True,True,True,0.1,789,False
349,1b,pinn_actor,actor,False,False,True,True,True,0.1,999,False
350,1b,pinn_actor,actor,False,False,True,True,True,0.2,42,False
351,1b,pinn_actor,actor,False,False,True,True,True,0.2,123,False
352,1b,pinn_actor,actor,False,False,True,True,True,0.2,456,False
353,1b,pinn_actor,actor,False,False,True,True,True,0.2,789,False
354,1b,pinn_actor,actor,False,False,True,True,True,0.2,999,False
355,1b,pinn_actor,actor,False,False,True,True,True,0.5,42,False
356,1b,pinn_actor,actor,False,False,True,True,True,0.5,123,False
357,1b,pinn_actor,actor,False,False,True,True,True,0.5,456,False
358,1b,pinn_actor,actor,False,False,True,True,True,0.5,789,False
359,1b,pinn_actor,actor,False,False,True,True,True,0.5,999,False
360,1b,pinn_actor,actor,False,False,True,True,True,1.0,42,False
361,1b,pinn_actor,actor,False,False,True,True,True,1.0,123,False
362,1b,pinn_actor,actor,False,False,True,True,True,1.0,456,False
363,1b,pinn_actor,actor,False,False,True,True,True,1.0,789,False
