step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,cbf_residual_mean,anchor_loss,bc_loss,distill_loss,distill_gap,train_time_per_iter
4096,299.328916962718,10,0.08720195293426514,1.7219382524490356,0,0.0,8.494981660273739,0.0,1.5066213607788086,0.0,1.51409912109375,0.0,0.16309988498687744,0.16309988498687744,327.1103217601776
45056,371.33450535635893,10,-0.06622783839702606,612.9296264648438,1,0.1,9.149000631640453,0.0,1.2243179082870483,0.06871645152568817,54.65106964111328,0.0,437.3076171875,437.3076171875,330.0510838031769
86016,392.0212202375726,10,-0.027433238923549652,338.451171875,1,0.1,7.2205240492577705,0.0,1.0334546566009521,0.018024474382400513,176.29638671875,86.390380859375,162.45143127441406,162.45143127441406,357.28500604629517
126976,397.68097767817943,10,-0.010580496862530708,118.32161712646484,0,0.0,6.507732452374711,0.0,0.8351402878761292,0.0,116.31854248046875,0.0,98.65608978271484,98.65608978271484,378.597909450531
167936,400.42390214254357,10,-0.09140178561210632,266.4818420410156,0,0.0,5.907503546332697,0.0,0.251120001077652,0.0,141.7889862060547,2.487813949584961,138.9100799560547,138.9100799560547,388.5487115383148
208896,400.7001684521196,10,-0.028860334306955338,184.39300537109375,0,0.0,5.642609081263998,0.0,0.29512155055999756,0.0,177.79367065429688,6.665152072906494,54.5803337097168,54.5803337097168,377.9204740524292
249856,403.27414438753107,10,-0.09539950639009476,159.7723846435547,0,0.0,6.338996056174295,0.0,0.26410362124443054,0.0,176.1246337890625,0.042893536388874054,56.92936325073242,56.92936325073242,402.3226671218872
290816,404.56712633908967,10,0.02740335650742054,167.78785705566406,0,0.0,5.792765623075158,0.0,0.2299855649471283,0.016789749264717102,139.8553466796875,0.0,64.97967529296875,64.97967529296875,413.24316930770874
331776,402.6398011903019,10,0.0796525776386261,132.83592224121094,1,0.1,6.305447169840791,0.0,0.15891769528388977,0.0,125.26262664794922,3.5864737033843994,40.2769660949707,40.2769660949707,412.94784665107727
372736,406.5976210712717,10,0.010794922709465027,164.50680541992188,0,0.0,6.620885402940801,0.0,0.2988896369934082,0.0,219.59310913085938,0.022879701107740402,35.33594512939453,35.33594512939453,403.1146969795227
