scenario,maneuver,method,lambda,metric,n,mean,ci_low,ci_high
1a,right_left,fusion_aux,0.2,SR,5,0.9866666666666667,0.9683333333333334,0.9996666666666666
1a,right_left,fusion_aux,0.2,CR,5,0.0,0.0,0.0
1a,right_left,fusion_aux,0.2,mean_return,5,513.4471966666667,498.1198043333334,529.9562720000001
1a,right_left,fusion_aux,0.2,mean_ttc,5,8.928032648426946,7.816974867840952,10.160067076976974
1a,right_left,fusion_aux,0.5,SR,5,0.9993333333333332,0.998,1.0
1a,right_left,fusion_aux,0.5,CR,5,0.0006666666666666668,0.0,0.002
1a,right_left,fusion_aux,0.5,mean_return,5,492.291535,429.051914,528.5402610000001
1a,right_left,fusion_aux,0.5,mean_ttc,5,7.770419478082817,7.089880955131886,8.700898027802438
1a,right_left,fusion_aux,1.0,SR,5,0.9960000000000001,0.99,1.0
1a,right_left,fusion_aux,1.0,CR,5,0.001,0.0,0.003
1a,right_left,fusion_aux,1.0,mean_return,5,451.7188406666666,393.18986366666667,510.24781766666655
1a,right_left,fusion_aux,1.0,mean_ttc,5,6.731399990702409,5.567402848137389,7.895397133267427
1a,right_left,hjb_aux,0.01,SR,5,0.9976666666666667,0.9949999999999999,1.0
1a,right_left,hjb_aux,0.01,CR,5,0.0023333333333333335,0.0,0.005
1a,right_left,hjb_aux,0.01,mean_return,5,383.10027,377.63074066666667,386.39645400000006
1a,right_left,hjb_aux,0.01,mean_ttc,5,4.757570440728802,4.336760457305048,5.495249338070116
1a,right_left,hjb_aux,0.05,SR,5,0.9973333333333333,0.9946666666666666,1.0
1a,right_left,hjb_aux,0.05,CR,5,0.002666666666666667,0.0,0.005333333333333334
1a,right_left,hjb_aux,0.05,mean_return,5,414.69262266666664,382.8910113333334,476.4431632333333
1a,right_left,hjb_aux,0.05,mean_ttc,5,4.7874900323191385,4.362037918275423,5.508166971797112
1a,right_left,hjb_aux,0.1,SR,5,0.9960000000000001,0.991,1.0
1a,right_left,hjb_aux,0.1,CR,5,0.002,0.0,0.004
1a,right_left,hjb_aux,0.1,mean_return,5,386.82357133333335,377.7790626666667,394.98696673333336
1a,right_left,hjb_aux,0.1,mean_ttc,5,5.22707227324752,4.495931376647437,6.2976538848475
1a,right_left,hjb_aux,0.2,SR,5,0.9973333333333333,0.9946666666666666,1.0
1a,right_left,hjb_aux,0.2,CR,5,0.002666666666666667,0.0,0.005333333333333334
1a,right_left,hjb_aux,0.2,mean_return,5,401.33499100000006,382.04056533333335,437.359683
1a,right_left,hjb_aux,0.2,mean_ttc,5,4.72766341714061,4.490693610349181,5.029649001858432
1a,right_left,hjb_aux,0.5,SR,5,0.9986666666666666,0.9969999999999999,1.0
1a,right_left,hjb_aux,0.5,CR,5,0.0013333333333333335,0.0,0.003
1a,right_left,hjb_aux,0.5,mean_return,5,401.51871800000004,385.03650300000004,428.5334273333333
1a,right_left,hjb_aux,0.5,mean_ttc,5,5.369867196346607,4.3904419746816625,6.818570563269086
