method,scenario,maneuver,seed,machine,intent,n_iters,window_iters,residual_early,residual_late,residual_ratio,distill_early,distill_late
hjb_aux,2,stem_right,1111,cmu6_p2,False,98,10,169.35013776,11014.46744285,65.039613,10.17935277,105.51270485
hjb_aux,2,stem_right,2222,babel-w5-32,True,98,10,1657.91766421,21277.33111544,12.833768,11.90500288,122.88248138
hjb_aux,2,stem_right,2222,cmu6_p2,False,98,10,330.64996653,2930.30206351,8.862248,6.07544631,120.85448799
hjb_aux,2,stem_right,3333,babel-w5-32,True,98,10,67.00876835,477.6465299,7.12812,2.53899356,110.73749504
hjb_aux,2,stem_right,3333,cmu6_p2,False,98,10,469.82830059,7319.3643692,15.578807,10.02338972,114.91809692
hjb_aux,2,stem_right,4444,babel-w5-32,True,98,10,1185.47481406,5097.87989804,4.300285,20.6288155,104.27891235
hjb_aux,2,stem_right,4444,cmu6_p2,False,98,10,11.17905805,65.4925035,5.858499,8.69858888,88.27950859
hjb_aux,2,stem_right,5555,babel-w5-32,True,98,10,287.96386293,2747.47416794,9.541038,7.79669596,94.85006142
hjb_aux,2,stem_right,5555,cmu6_p2,False,98,10,159.50376599,3511.1517071,22.012971,12.66575795,84.54483719
hjb_aux,2_dense,right_left,42,cmu2,True,98,10,250.82329087,1625.32838719,6.479974,7.93277946,99.8138073
hjb_aux,2_dense,right_left,42,cmu2,False,98,10,73.01929142,6.6202296,0.090664,4.70359717,52.14084129
hjb_aux,2_dense,right_left,123,cmu2,True,98,10,123.18929271,2744.03684981,22.274962,5.3681662,30.8979475
hjb_aux,2_dense,right_left,123,cmu2,False,98,10,188.07911885,573.94666902,3.051624,14.6712225,51.40702496
hjb_aux,2_dense,right_left,456,cmu2,True,98,10,36.62108634,426.94447126,11.658433,6.7348428,64.32957096
hjb_aux,2_dense,right_left,456,cmu2,False,98,10,65.83562534,15.53686912,0.235995,10.47572163,90.78311996
hjb_aux,2_dense,right_left,789,cmu2,True,98,10,36.98732855,305.0822801,8.248292,6.65818027,85.55725822
hjb_aux,2_dense,right_left,789,cmu2,False,98,10,38.10595744,549.12450105,14.410463,14.77649918,62.87037563
hjb_aux,2_dense,right_left,999,cmu2,True,98,10,28.11741832,206.3778715,7.339858,5.79542223,144.44729767
hjb_aux,2_dense,right_left,999,cmu2,False,98,10,42.04793912,98.08204149,2.332624,10.44911413,76.10040817
hjb_aux,2_dense,right_left,1111,babel-w5-32,True,98,10,106.62734725,87.8585261,0.823977,2.71473717,100.69504662
hjb_aux,2_dense,right_left,1111,cmu7,False,98,10,343.73156086,1.52529941,0.004437,14.77859139,26.93201103
hjb_aux,2_dense,right_left,2222,babel-w5-32,True,98,10,10.87022906,35.2704555,3.244684,5.26454562,74.22801514
