scenario,maneuver,method,weights,metric,n,mean,ci_low,ci_high
2_dense,right_left,fusion_aux,w1.0_0.0,CR,5,0.0,0.0,0.0
2_dense,right_left,fusion_aux,w1.0_0.0,mean_return,5,67.54862033333336,47.329835,91.32398466666669
2_dense,right_left,fusion_aux,w1.0_1.0,SR,5,0.15999999999999998,0.101,0.22200000000000003
2_dense,right_left,fusion_aux,w1.0_1.0,CR,5,0.001,0.0003333333333333334,0.0016666666666666666
2_dense,right_left,fusion_aux,w1.0_1.0,mean_return,5,36.54490133333333,18.94950833333333,48.06881033333334
2_dense,right_left,fusion_aux,w1.0_2.0,SR,5,0.142,0.07733333333333334,0.20433333333333334
2_dense,right_left,fusion_aux,w1.0_2.0,CR,5,0.0,0.0,0.0
2_dense,right_left,fusion_aux,w1.0_2.0,mean_return,5,24.10002333333332,10.668366333333278,37.17462433333332
2_dense,right_left,fusion_aux,w1.0_3.0,SR,5,0.16399999999999998,0.044,0.32
2_dense,right_left,fusion_aux,w1.0_3.0,CR,5,0.0003333333333333334,0.0,0.001
2_dense,right_left,fusion_aux,w1.0_3.0,mean_return,5,39.610464000000015,15.640341666666677,68.71369166666668
2_dense,right_left,fusion_aux,w2.0_1.0,SR,5,0.21000000000000002,0.11366666666666667,0.29766666666666663
2_dense,right_left,fusion_aux,w2.0_1.0,CR,5,0.0003333333333333334,0.0,0.001
2_dense,right_left,fusion_aux,w2.0_1.0,mean_return,5,42.28562833333333,21.43854166666666,64.3761216666667
2_dense,right_left,fusion_aux,w3.0_1.0,SR,5,0.301,0.19266666666666668,0.39269166666666655
2_dense,right_left,fusion_aux,w3.0_1.0,CR,5,0.0003333333333333334,0.0,0.001
2_dense,right_left,fusion_aux,w3.0_1.0,mean_return,5,62.140722666666704,47.0749546666667,77.2064906666667
2_dense,stem_right,fusion_aux,w0.0_1.0,SR,5,0.05600000000000001,0.035666666666666666,0.074
2_dense,stem_right,fusion_aux,w0.0_1.0,CR,5,0.43566666666666676,0.35233333333333333,0.5213333333333333
2_dense,stem_right,fusion_aux,w0.0_1.0,mean_return,5,65.88694433333329,59.34156266666664,73.41702999999994
2_dense,stem_right,fusion_aux,w0.5_0.5,SR,5,0.027666666666666673,0.014333333333333333,0.04533333333333334
2_dense,stem_right,fusion_aux,w0.5_0.5,CR,5,0.281,0.22566666666666668,0.33799999999999997
2_dense,stem_right,fusion_aux,w0.5_0.5,mean_return,5,47.273802999999965,29.41396366666667,60.48522566666661
2_dense,stem_right,fusion_aux,w1.0_0.0,SR,5,0.06466666666666668,0.04066666666666667,0.09166666666666666
2_dense,stem_right,fusion_aux,w1.0_0.0,CR,5,0.31633333333333336,0.278,0.35933333333333334
2_dense,stem_right,fusion_aux,w1.0_0.0,mean_return,5,44.45580966666653,32.17925099999994,51.99348833333316
