scenario,maneuver,method,kl_setting,seed,SR,CR,mean_return,n_episodes,run_dir
2_dense,right_left,soft_hjb_aux,on,123,0.265,0.0,50.40934333333347,600,T2a_2_dense_right_left_soft_hjb_aux_lam0.2_s123
2_dense,right_left,soft_hjb_aux,on,456,0.44666666666666666,0.0,77.46719833333333,600,T2a_2_dense_right_left_soft_hjb_aux_lam0.2_s456
2_dense,right_left,soft_hjb_aux,on,789,0.25166666666666665,0.0,37.24250666666671,600,T2a_2_dense_right_left_soft_hjb_aux_lam0.2_s789
2_dense,stem_right,eikonal_aux,off,42,0.17333333333333334,0.525,82.48709249999997,1200,T2d_2_dense_stem_right_eikonal_aux_nokl_s42
2_dense,stem_right,eikonal_aux,off,123,0.08333333333333333,0.1875,100.02258416666663,1200,T2d_2_dense_stem_right_eikonal_aux_nokl_s123
2_dense,stem_right,eikonal_aux,off,456,0.07583333333333334,0.33666666666666667,55.81887333333327,1200,T2d_2_dense_stem_right_eikonal_aux_nokl_s456
2_dense,stem_right,eikonal_aux,off,789,0.0575,0.23166666666666666,66.43437166666664,1200,T2d_2_dense_stem_right_eikonal_aux_nokl_s789
2_dense,stem_right,eikonal_aux,off,999,0.034166666666666665,0.15166666666666667,80.54215999999971,1200,T2d_2_dense_stem_right_eikonal_aux_nokl_s999
2_dense,stem_right,eikonal_aux,on,7,0.03333333333333333,0.3383333333333333,74.97649666666666,600,T2a_2_dense_stem_right_eikonal_aux_lam0.2_s7
2_dense,stem_right,eikonal_aux,on,42,0.16,0.49666666666666665,105.26899666666651,600,T2a_2_dense_stem_right_eikonal_aux_lam0.2_s42
2_dense,stem_right,eikonal_aux,on,123,0.035,0.34833333333333333,66.72503500000002,600,T2a_2_dense_stem_right_eikonal_aux_lam0.2_s123
2_dense,stem_right,eikonal_aux,on,456,0.021666666666666667,0.3016666666666667,66.35578333333324,600,T2a_2_dense_stem_right_eikonal_aux_lam0.2_s456
2_dense,stem_right,eikonal_aux,on,789,0.025,0.3233333333333333,55.51517000000012,600,T2a_2_dense_stem_right_eikonal_aux_lam0.2_s789
2_dense,stem_right,soft_hjb_aux,off,42,0.20333333333333334,0.6108333333333333,98.55626333333319,1200,T2d_2_dense_stem_right_soft_hjb_aux_nokl_s42
2_dense,stem_right,soft_hjb_aux,off,123,0.24,0.285,108.27190249999998,1200,T2d_2_dense_stem_right_soft_hjb_aux_nokl_s123
2_dense,stem_right,soft_hjb_aux,off,456,0.0775,0.3466666666666667,69.58960833333329,1200,T2d_2_dense_stem_right_soft_hjb_aux_nokl_s456
2_dense,stem_right,soft_hjb_aux,off,789,0.2175,0.405,120.80206749999975,1200,T2d_2_dense_stem_right_soft_hjb_aux_nokl_s789
2_dense,stem_right,soft_hjb_aux,off,999,0.12416666666666666,0.4241666666666667,81.0050749999999,1200,T2d_2_dense_stem_right_soft_hjb_aux_nokl_s999
2_dense,stem_right,soft_hjb_aux,on,7,0.065,0.6,28.851031666666636,600,T2a_2_dense_stem_right_soft_hjb_aux_lam0.2_s7
2_dense,stem_right,soft_hjb_aux,on,42,0.041666666666666664,0.44166666666666665,24.280774999999984,600,T2a_2_dense_stem_right_soft_hjb_aux_lam0.2_s42
2_dense,stem_right,soft_hjb_aux,on,123,0.04833333333333333,0.555,33.503981666666604,600,T2a_2_dense_stem_right_soft_hjb_aux_lam0.2_s123
2_dense,stem_right,soft_hjb_aux,on,456,0.075,0.315,46.643078333333285,600,T2a_2_dense_stem_right_soft_hjb_aux_lam0.2_s456
2_dense,stem_right,soft_hjb_aux,on,789,0.03666666666666667,0.42833333333333334,47.35362499999992,600,T2a_2_dense_stem_right_soft_hjb_aux_lam0.2_s789
