scenario,maneuver,method,occ_setting,metric,n,mean,ci_low,ci_high,raw_p_welch_on_vs_off,corrected_p_welch,marker
1a,right_left,cbf_aux,occON,SR,5,0.9976666666666667,0.9949999999999999,1.0,0.8826197163619525,1.0,ns
1a,right_left,cbf_aux,occOFF,SR,5,0.9973333333333333,0.9946666666666666,1.0,0.8826197163619525,1.0,ns
1a,right_left,cbf_aux,occON,CR,5,0.0023333333333333335,0.0,0.005,0.8826197163619777,1.0,ns
1a,right_left,cbf_aux,occOFF,CR,5,0.002666666666666667,0.0,0.005333333333333334,0.8826197163619777,1.0,ns
1a,right_left,cbf_aux,occON,mean_return,5,412.2493306666667,382.7311496666667,467.5082236666667,0.9176840084453564,1.0,ns
1a,right_left,cbf_aux,occOFF,mean_return,5,416.728358,384.04121933333334,480.50281233333334,0.9176840084453564,1.0,ns
1a,right_left,eikonal_aux,occON,SR,5,0.9853333333333334,0.9566666666666667,1.0,0.35479104875678197,1.0,ns
1a,right_left,eikonal_aux,occOFF,SR,5,0.8733333333333334,0.6546666666666667,0.9963333333333333,0.35479104875678197,1.0,ns
1a,right_left,eikonal_aux,occON,CR,5,0.0003333333333333334,0.0,0.001,0.5555416034298251,1.0,ns
1a,right_left,eikonal_aux,occOFF,CR,5,0.001,0.0,0.003,0.5555416034298251,1.0,ns
1a,right_left,eikonal_aux,occON,mean_return,5,500.2257746666667,487.28697666666676,518.0339006666667,0.20230731034894894,1.0,ns
1a,right_left,eikonal_aux,occOFF,mean_return,5,417.26248233333337,307.48077666666666,499.7089963333334,0.20230731034894894,1.0,ns
1a,right_left,fusion_aux,occON,SR,5,1.0,1.0,1.0,0.1806420199814569,1.0,ns
1a,right_left,fusion_aux,occOFF,SR,5,0.9933333333333334,0.986,1.0,0.1806420199814569,1.0,ns
1a,right_left,fusion_aux,occON,CR,5,0.0,0.0,0.0,0.373900966300059,1.0,ns
1a,right_left,fusion_aux,occOFF,CR,5,0.0003333333333333334,0.0,0.001,0.373900966300059,1.0,ns
1a,right_left,fusion_aux,occON,mean_return,5,509.54855666666674,472.61753033333343,534.174666225,0.9260411806492397,1.0,ns
1a,right_left,fusion_aux,occOFF,mean_return,5,507.39094400000005,484.86995945833337,526.8708053333334,0.9260411806492397,1.0,ns
1a,right_left,hjb_aux,occON,SR,5,0.9973333333333333,0.9926666666666666,1.0,0.9052353664469219,1.0,ns
1a,right_left,hjb_aux,occOFF,SR,5,0.9976666666666667,0.9949999999999999,1.0,0.9052353664469219,1.0,ns
1a,right_left,hjb_aux,occON,CR,5,0.0003333333333333334,0.0,0.001,0.24450388598338707,1.0,ns
1a,right_left,hjb_aux,occOFF,CR,5,0.0023333333333333335,0.0,0.005,0.24450388598338707,1.0,ns
1a,right_left,hjb_aux,occON,mean_return,5,448.9701203333333,401.3803996666667,496.6946923333333,0.5113545745488102,1.0,ns
1a,right_left,hjb_aux,occOFF,mean_return,5,419.0793223333333,386.10761600000006,484.09097199999997,0.5113545745488102,1.0,ns
1a,right_left,soft_hjb_aux,occON,SR,5,0.9986666666666666,0.9959999999999999,1.0,1.0,1.0,ns
1a,right_left,soft_hjb_aux,occOFF,SR,5,0.9986666666666666,0.9959999999999999,1.0,1.0,1.0,ns
1a,right_left,soft_hjb_aux,occON,CR,5,0.0013333333333333335,0.0,0.004,1.0,1.0,ns
1a,right_left,soft_hjb_aux,occOFF,CR,5,0.0013333333333333335,0.0,0.004,1.0,1.0,ns
1a,right_left,soft_hjb_aux,occON,mean_return,5,432.66379499999994,380.2839093333334,496.12782699999997,0.5983282259052145,1.0,ns
1a,right_left,soft_hjb_aux,occOFF,mean_return,5,458.5923436666666,400.22993033333336,517.424869,0.5983282259052145,1.0,ns
1a,stem_right,cbf_aux,occON,SR,5,0.9556666666666667,0.9383333333333332,0.9773333333333334,0.6280653422314914,1.0,ns
1a,stem_right,cbf_aux,occOFF,SR,5,0.9626666666666667,0.9469833333333332,0.9743333333333334,0.6280653422314914,1.0,ns
1a,stem_right,cbf_aux,occON,CR,5,0.04433333333333333,0.02266666666666667,0.06166666666666667,0.6280653422314919,1.0,ns
1a,stem_right,cbf_aux,occOFF,CR,5,0.03733333333333333,0.02566666666666667,0.05301666666666658,0.6280653422314919,1.0,ns
1a,stem_right,cbf_aux,occON,mean_return,5,417.04480299999994,391.7440343333333,462.05627533333325,0.6697203374516826,1.0,ns
1a,stem_right,cbf_aux,occOFF,mean_return,5,406.4241489999999,397.904768,415.41317889999993,0.6697203374516826,1.0,ns
1a,stem_right,eikonal_aux,occON,SR,5,1.0,1.0,1.0,0.3739009662999589,1.0,ns
1a,stem_right,eikonal_aux,occOFF,SR,5,0.9993333333333332,0.998,1.0,0.3739009662999589,1.0,ns
1a,stem_right,eikonal_aux,occON,CR,5,0.0,0.0,0.0,0.373900966300059,1.0,ns
1a,stem_right,eikonal_aux,occOFF,CR,5,0.0006666666666666668,0.0,0.002,0.373900966300059,1.0,ns
1a,stem_right,eikonal_aux,occON,mean_return,5,495.00153100000006,473.70811700000013,516.0597339999999,0.06474094818092056,1.0,ns
1a,stem_right,eikonal_aux,occOFF,mean_return,5,527.1655256666667,515.9031238583334,541.9738676666668,0.06474094818092056,1.0,ns
1a,stem_right,fusion_aux,occON,SR,5,0.9496666666666667,0.9336666666666666,0.9706666666666667,0.8683926595531845,1.0,ns
1a,stem_right,fusion_aux,occOFF,SR,5,0.9516666666666668,0.9456666666666667,0.9586666666666666,0.8683926595531845,1.0,ns
1a,stem_right,fusion_aux,occON,CR,5,0.05033333333333333,0.029333333333333333,0.06633333333333333,0.8683926595531921,1.0,ns
1a,stem_right,fusion_aux,occOFF,CR,5,0.04833333333333333,0.04133333333333333,0.05433333333333333,0.8683926595531921,1.0,ns
1a,stem_right,fusion_aux,occON,mean_return,5,386.0914333333333,368.640563,410.3757896666666,0.7581899698471811,1.0,ns
1a,stem_right,fusion_aux,occOFF,mean_return,5,390.8977329999999,378.4304606666666,405.3544393333333,0.7581899698471811,1.0,ns
1a,stem_right,hjb_aux,occON,SR,5,0.9716666666666667,0.9553333333333333,0.9866666666666667,0.7653932944062268,1.0,ns
1a,stem_right,hjb_aux,occOFF,SR,5,0.9686666666666666,0.9626666666666667,0.9746666666666666,0.7653932944062268,1.0,ns
1a,stem_right,hjb_aux,occON,CR,5,0.028333333333333332,0.013333333333333332,0.04466666666666667,0.7653932944062347,1.0,ns
1a,stem_right,hjb_aux,occOFF,CR,5,0.03133333333333334,0.025333333333333336,0.037333333333333336,0.7653932944062347,1.0,ns
1a,stem_right,hjb_aux,occON,mean_return,5,407.08020866666664,397.11954699999995,417.69069199999996,0.526537472533666,1.0,ns
1a,stem_right,hjb_aux,occOFF,mean_return,5,402.34656699999994,395.21009033333326,408.8212053333333,0.526537472533666,1.0,ns
1a,stem_right,soft_hjb_aux,occON,SR,5,0.9546666666666667,0.9423333333333334,0.9713333333333333,0.9165383837565362,1.0,ns
1a,stem_right,soft_hjb_aux,occOFF,SR,5,0.9536666666666667,0.9459916666666667,0.9603333333333334,0.9165383837565362,1.0,ns
1a,stem_right,soft_hjb_aux,occON,CR,5,0.04533333333333334,0.028666666666666667,0.057666666666666665,0.9165383837565368,1.0,ns
1a,stem_right,soft_hjb_aux,occOFF,CR,5,0.04633333333333333,0.03966666666666667,0.0540083333333333,0.9165383837565368,1.0,ns
1a,stem_right,soft_hjb_aux,occON,mean_return,5,396.04976566666664,383.58262999999994,416.50508166666657,0.39010826538908594,1.0,ns
1a,stem_right,soft_hjb_aux,occOFF,mean_return,5,386.2672883333333,381.9111543333333,390.0878766666666,0.39010826538908594,1.0,ns
1b,right_left,cbf_aux,occON,SR,5,0.73,0.6522499999999999,0.8109999999999999,0.060285949687639166,1.0,ns
1b,right_left,cbf_aux,occOFF,SR,5,0.8806666666666667,0.7906666666666666,0.9653333333333333,0.060285949687639166,1.0,ns
1b,right_left,cbf_aux,occON,CR,5,0.0,0.0,0.0,nan,nan,n/a
1b,right_left,cbf_aux,occOFF,CR,5,0.0,0.0,0.0,nan,nan,n/a
1b,right_left,cbf_aux,occON,mean_return,5,302.7683180000002,286.4888740000001,320.0397360000003,0.012094416559987699,0.48377666239950795,ns
1b,right_left,cbf_aux,occOFF,mean_return,5,339.42846133333353,330.9516410000001,348.62103300000024,0.012094416559987699,0.48377666239950795,ns
1b,right_left,eikonal_aux,occON,SR,5,0.46699999999999997,0.38933333333333336,0.5406666666666666,0.19120734273537227,1.0,ns
1b,right_left,eikonal_aux,occOFF,SR,5,0.32899999999999996,0.17600000000000002,0.45966666666666667,0.19120734273537227,1.0,ns
1b,right_left,eikonal_aux,occON,CR,5,0.0,0.0,0.0,nan,nan,n/a
1b,right_left,eikonal_aux,occOFF,CR,5,0.0,0.0,0.0,nan,nan,n/a
1b,right_left,eikonal_aux,occON,mean_return,5,183.43648366666665,157.4722823333333,209.29864466666663,0.4040459883441239,1.0,ns
1b,right_left,eikonal_aux,occOFF,mean_return,5,158.20532266666663,110.99661133333329,195.7731443333333,0.4040459883441239,1.0,ns
1b,right_left,fusion_aux,occON,SR,5,0.38666666666666666,0.3303083333333333,0.44866666666666666,0.600217578679834,1.0,ns
1b,right_left,fusion_aux,occOFF,SR,5,0.356,0.2726666666666667,0.42299999999999993,0.600217578679834,1.0,ns
1b,right_left,fusion_aux,occON,CR,5,0.0,0.0,0.0,nan,nan,n/a
1b,right_left,fusion_aux,occOFF,CR,5,0.0,0.0,0.0,nan,nan,n/a
1b,right_left,fusion_aux,occON,mean_return,5,185.59787600000007,179.60836900000007,192.78768633333343,0.2791642380128288,1.0,ns
1b,right_left,fusion_aux,occOFF,mean_return,5,172.9958113333334,156.4746700000001,189.51695266666667,0.2791642380128288,1.0,ns
1b,right_left,hjb_aux,occON,SR,5,0.8293333333333333,0.7113333333333334,0.954,0.8301190399345844,1.0,ns
1b,right_left,hjb_aux,occOFF,SR,5,0.8026666666666668,0.6209999999999999,0.9583333333333333,0.8301190399345844,1.0,ns
1b,right_left,hjb_aux,occON,CR,5,0.0,0.0,0.0,nan,nan,n/a
1b,right_left,hjb_aux,occOFF,CR,5,0.0,0.0,0.0,nan,nan,n/a
1b,right_left,hjb_aux,occON,mean_return,5,304.2316420000001,272.3876673333334,336.0756166666668,0.8578910836155043,1.0,ns
1b,right_left,hjb_aux,occOFF,mean_return,5,299.3604846666668,263.2372626666669,322.73200600000007,0.8578910836155043,1.0,ns
1b,right_left,soft_hjb_aux,occON,SR,5,0.36100000000000004,0.24000000000000005,0.46833333333333327,0.6948391203316242,1.0,ns
1b,right_left,soft_hjb_aux,occOFF,SR,5,0.3913333333333333,0.34199999999999997,0.44066666666666665,0.6948391203316242,1.0,ns
1b,right_left,soft_hjb_aux,occON,CR,5,0.0,0.0,0.0,nan,nan,n/a
1b,right_left,soft_hjb_aux,occOFF,CR,5,0.0,0.0,0.0,nan,nan,n/a
1b,right_left,soft_hjb_aux,occON,mean_return,5,187.54879466666677,167.65548833333355,206.5561493666666,0.4450247857323902,1.0,ns
1b,right_left,soft_hjb_aux,occOFF,mean_return,5,177.89405833333345,176.8110196666667,179.08655066666685,0.4450247857323902,1.0,ns
1b,stem_right,cbf_aux,occON,SR,5,0.294,0.22133333333333333,0.35866666666666663,0.194090897791137,1.0,ns
