scenario,maneuver,method,occ_setting,metric,n,mean,ci_low,ci_high,raw_p_welch_on_vs_off,corrected_p_welch,marker
1b,stem_right,cbf_aux,occOFF,SR,5,0.22933333333333333,0.194,0.26466666666666666,0.194090897791137,1.0,ns
1b,stem_right,cbf_aux,occON,CR,5,0.532,0.47833333333333333,0.575,0.24236125158215108,1.0,ns
1b,stem_right,cbf_aux,occOFF,CR,5,0.6046666666666666,0.5146666666666666,0.6779999999999999,0.24236125158215108,1.0,ns
1b,stem_right,cbf_aux,occON,mean_return,5,172.58552033333348,157.64381533333358,188.2747766666667,0.14067922732508462,1.0,ns
1b,stem_right,cbf_aux,occOFF,mean_return,5,147.63434066666682,128.84635233333344,170.72939300000016,0.14067922732508462,1.0,ns
1b,stem_right,eikonal_aux,occON,SR,5,0.015,0.006,0.024,0.15675755380910922,1.0,ns
1b,stem_right,eikonal_aux,occOFF,SR,5,0.07,0.026666666666666665,0.133,0.15675755380910922,1.0,ns
1b,stem_right,eikonal_aux,occON,CR,5,0.6283333333333333,0.5656666666666667,0.6723333333333332,0.5617497799097683,1.0,ns
1b,stem_right,eikonal_aux,occOFF,CR,5,0.5860000000000001,0.4983333333333334,0.7100000000000001,0.5617497799097683,1.0,ns
1b,stem_right,eikonal_aux,occON,mean_return,5,95.79308499999999,86.29149333333321,109.48533500000008,0.8793260720725968,1.0,ns
1b,stem_right,eikonal_aux,occOFF,mean_return,5,98.06895399999992,79.39466899999994,122.20838199999984,0.8793260720725968,1.0,ns
1b,stem_right,fusion_aux,occON,SR,5,0.10133333333333334,0.03699999999999999,0.197,0.521701639302234,1.0,ns
1b,stem_right,fusion_aux,occOFF,SR,5,0.14666666666666667,0.06266666666666666,0.22533333333333333,0.521701639302234,1.0,ns
1b,stem_right,fusion_aux,occON,CR,5,0.5076666666666666,0.4086666666666667,0.598,0.986390711783276,1.0,ns
1b,stem_right,fusion_aux,occOFF,CR,5,0.5086666666666666,0.477275,0.5396666666666666,0.986390711783276,1.0,ns
1b,stem_right,fusion_aux,occON,mean_return,5,120.42551699999994,95.08278433333325,152.14568799999984,0.8226613655051754,1.0,ns
1b,stem_right,fusion_aux,occOFF,mean_return,5,125.11358999999986,101.15986433333316,144.9735419999999,0.8226613655051754,1.0,ns
1b,stem_right,hjb_aux,occON,SR,5,0.23833333333333334,0.188,0.31733333333333336,0.6601958324715882,1.0,ns
1b,stem_right,hjb_aux,occOFF,SR,5,0.2586666666666667,0.22433333333333333,0.29300000000000004,0.6601958324715882,1.0,ns
1b,stem_right,hjb_aux,occON,CR,5,0.4966666666666667,0.42833333333333334,0.5873333333333333,0.5344509493420986,1.0,ns
1b,stem_right,hjb_aux,occOFF,CR,5,0.5413333333333333,0.45099999999999996,0.6303333333333333,0.5344509493420986,1.0,ns
1b,stem_right,hjb_aux,occON,mean_return,5,154.59869933333337,144.09071766666662,167.70953199999994,0.8047292369633597,1.0,ns
1b,stem_right,hjb_aux,occOFF,mean_return,5,158.6303950000001,138.15900833333322,186.12431900000055,0.8047292369633597,1.0,ns
1b,stem_right,soft_hjb_aux,occON,SR,5,0.257,0.2286666666666667,0.2853333333333333,0.643376571336049,1.0,ns
1b,stem_right,soft_hjb_aux,occOFF,SR,5,0.242,0.19233333333333333,0.27633333333333326,0.643376571336049,1.0,ns
1b,stem_right,soft_hjb_aux,occON,CR,5,0.46866666666666673,0.44066666666666665,0.4966916666666666,0.04767643486960969,1.0,ns
1b,stem_right,soft_hjb_aux,occOFF,CR,5,0.5456666666666667,0.5006666666666666,0.5903333333333334,0.04767643486960969,1.0,ns
1b,stem_right,soft_hjb_aux,occON,mean_return,5,162.48490199999998,150.34790466666666,179.1505089999999,0.726281982546384,1.0,ns
1b,stem_right,soft_hjb_aux,occOFF,mean_return,5,158.00156400000003,140.71953533333345,170.6785826666667,0.726281982546384,1.0,ns
2_dense,right_left,cbf_aux,occON,SR,5,0.5416666666666667,0.23666666666666666,0.8346666666666668,0.2634035180813978,1.0,ns
2_dense,right_left,cbf_aux,occOFF,SR,5,0.238,0.026999999999999996,0.601,0.2634035180813978,1.0,ns
2_dense,right_left,cbf_aux,occON,CR,5,0.0003333333333333334,0.0,0.001,0.373900966300059,1.0,ns
2_dense,right_left,cbf_aux,occOFF,CR,5,0.0,0.0,0.0,0.373900966300059,1.0,ns
2_dense,right_left,cbf_aux,occON,mean_return,5,149.07276033333338,77.1795046666667,220.96601600000002,0.48151650613732433,1.0,ns
2_dense,right_left,cbf_aux,occOFF,mean_return,5,99.3068526666668,39.553250666666735,206.41035066666677,0.48151650613732433,1.0,ns
2_dense,right_left,eikonal_aux,occON,SR,5,0.08600000000000001,0.05566666666666666,0.121,0.42127778439684993,1.0,ns
2_dense,right_left,eikonal_aux,occOFF,SR,5,0.11200000000000002,0.07333333333333333,0.15499999999999997,0.42127778439684993,1.0,ns
2_dense,right_left,eikonal_aux,occON,CR,5,0.0003333333333333334,0.0,0.001,1.0,1.0,ns
2_dense,right_left,eikonal_aux,occOFF,CR,5,0.0003333333333333334,0.0,0.001,1.0,1.0,ns
2_dense,right_left,eikonal_aux,occON,mean_return,5,26.290671333333375,14.532254000000027,38.638549666666705,0.053799453668061686,1.0,ns
2_dense,right_left,eikonal_aux,occOFF,mean_return,5,45.42112900000002,39.04947699999999,51.79278100000005,0.053799453668061686,1.0,ns
2_dense,right_left,fusion_aux,occON,SR,5,0.18333333333333332,0.11666666666666665,0.25,0.8384923646671982,1.0,ns
2_dense,right_left,fusion_aux,occOFF,SR,5,0.19899999999999998,0.09633333333333334,0.30599999999999994,0.8384923646671982,1.0,ns
2_dense,right_left,fusion_aux,occON,CR,5,0.0,0.0,0.0,0.373900966300059,1.0,ns
2_dense,right_left,fusion_aux,occOFF,CR,5,0.0003333333333333334,0.0,0.001,0.373900966300059,1.0,ns
2_dense,right_left,fusion_aux,occON,mean_return,5,52.74979766666663,36.19814533333329,69.30144999999997,0.5262272389193738,1.0,ns
2_dense,right_left,fusion_aux,occOFF,mean_return,5,44.06717500000001,28.640780666666664,59.493569333333355,0.5262272389193738,1.0,ns
2_dense,right_left,hjb_aux,occON,SR,5,0.5023333333333333,0.11100000000000002,0.8936666666666666,0.6323481373419402,1.0,ns
2_dense,right_left,hjb_aux,occOFF,SR,5,0.35666666666666663,0.040999999999999995,0.7236833333333332,0.6323481373419402,1.0,ns
2_dense,right_left,hjb_aux,occON,CR,5,0.0016666666666666666,0.0,0.0036666666666666666,0.4499437157759264,1.0,ns
2_dense,right_left,hjb_aux,occOFF,CR,5,0.0006666666666666668,0.0,0.002,0.4499437157759264,1.0,ns
2_dense,right_left,hjb_aux,occON,mean_return,5,161.61302100000012,55.16055766666684,268.0654843333333,0.7048905336557528,1.0,ns
2_dense,right_left,hjb_aux,occOFF,mean_return,5,130.90656266666676,55.12925133333342,228.9255993333333,0.7048905336557528,1.0,ns
2_dense,right_left,soft_hjb_aux,occON,SR,5,0.328,0.23199999999999998,0.42400000000000004,0.6980633452819802,1.0,ns
2_dense,right_left,soft_hjb_aux,occOFF,SR,5,0.36,0.250275,0.4336666666666667,0.6980633452819802,1.0,ns
2_dense,right_left,soft_hjb_aux,occON,CR,5,0.0,0.0,0.0,nan,nan,n/a
2_dense,right_left,soft_hjb_aux,occOFF,CR,5,0.0,0.0,0.0,nan,nan,n/a
2_dense,right_left,soft_hjb_aux,occON,mean_return,5,56.65080566666673,41.68035033333344,77.88911866666669,0.3671902692261233,1.0,ns
2_dense,right_left,soft_hjb_aux,occOFF,mean_return,5,72.23925599999998,49.08810166666663,91.27374466666663,0.3671902692261233,1.0,ns
2_dense,stem_right,cbf_aux,occON,SR,5,0.13499999999999998,0.083325,0.178,0.514964502637355,1.0,ns
2_dense,stem_right,cbf_aux,occOFF,SR,5,0.16333333333333336,0.10866666666666666,0.21766666666666667,0.514964502637355,1.0,ns
2_dense,stem_right,cbf_aux,occON,CR,5,0.3436666666666667,0.29433333333333334,0.3956666666666667,0.4842465348749342,1.0,ns
2_dense,stem_right,cbf_aux,occOFF,CR,5,0.2966666666666667,0.2106666666666667,0.3923333333333333,0.4842465348749342,1.0,ns
2_dense,stem_right,cbf_aux,occON,mean_return,5,88.20972699999987,71.92638000000002,101.27626099999975,0.4708802445079392,1.0,ns
2_dense,stem_right,cbf_aux,occOFF,mean_return,5,97.51857599999985,81.91471833333323,111.15649866666647,0.4708802445079392,1.0,ns
2_dense,stem_right,eikonal_aux,occON,SR,5,0.038,0.021333333333333336,0.05433333333333333,0.024719877575907424,0.9640752254603895,ns
2_dense,stem_right,eikonal_aux,occOFF,SR,5,0.11233333333333333,0.07300000000000001,0.15166666666666667,0.024719877575907424,0.9640752254603895,ns
2_dense,stem_right,eikonal_aux,occON,CR,5,0.24833333333333335,0.164,0.3636666666666667,0.03336861742266317,1.0,ns
2_dense,stem_right,eikonal_aux,occOFF,CR,5,0.42433333333333334,0.3733333333333334,0.479,0.03336861742266317,1.0,ns
2_dense,stem_right,eikonal_aux,occON,mean_return,5,57.16399499999998,48.64289000000001,65.68509999999993,0.09610480613525733,1.0,ns
2_dense,stem_right,eikonal_aux,occOFF,mean_return,5,84.05723733333333,62.61056666666666,105.50390799999998,0.09610480613525733,1.0,ns
2_dense,stem_right,fusion_aux,occON,SR,5,0.033666666666666664,0.021,0.04701666666666658,0.5774424578413395,1.0,ns
2_dense,stem_right,fusion_aux,occOFF,SR,5,0.041999999999999996,0.028333333333333332,0.06633333333333333,0.5774424578413395,1.0,ns
2_dense,stem_right,fusion_aux,occON,CR,5,0.3223333333333333,0.256,0.4180666666666663,0.2771502916326798,1.0,ns
2_dense,stem_right,fusion_aux,occOFF,CR,5,0.2503333333333333,0.182,0.3186666666666667,0.2771502916326798,1.0,ns
2_dense,stem_right,fusion_aux,occON,mean_return,5,52.915389333333266,40.187937666666635,62.99444166666658,0.8645301405665108,1.0,ns
2_dense,stem_right,fusion_aux,occOFF,mean_return,5,54.25193999999995,48.13403100000002,60.36984899999989,0.8645301405665108,1.0,ns
2_dense,stem_right,hjb_aux,occON,SR,5,0.118,0.06733333333333333,0.16866666666666666,0.5965869777880142,1.0,ns
2_dense,stem_right,hjb_aux,occOFF,SR,5,0.095,0.044333333333333336,0.14566666666666667,0.5965869777880142,1.0,ns
2_dense,stem_right,hjb_aux,occON,CR,5,0.27166666666666667,0.22199999999999998,0.3443333333333333,0.1580338877747203,1.0,ns
2_dense,stem_right,hjb_aux,occOFF,CR,5,0.20166666666666666,0.15433333333333332,0.248,0.1580338877747203,1.0,ns
2_dense,stem_right,hjb_aux,occON,mean_return,5,89.94443866666647,75.68828166666643,101.29706566666654,0.8517635376868974,1.0,ns
2_dense,stem_right,hjb_aux,occOFF,mean_return,5,87.70644599999981,72.02681799999985,103.70059233333305,0.8517635376868974,1.0,ns
2_dense,stem_right,soft_hjb_aux,occON,SR,5,0.04466666666666667,0.041333333333333326,0.048,0.19833273316230432,1.0,ns
2_dense,stem_right,soft_hjb_aux,occOFF,SR,5,0.06566666666666668,0.044,0.09166666666666666,0.19833273316230432,1.0,ns
2_dense,stem_right,soft_hjb_aux,occON,CR,5,0.34900000000000003,0.29595,0.4013333333333334,0.08819829169129395,1.0,ns
2_dense,stem_right,soft_hjb_aux,occOFF,CR,5,0.458,0.37466666666666665,0.5450083333333334,0.08819829169129395,1.0,ns
2_dense,stem_right,soft_hjb_aux,occON,mean_return,5,38.88060933333324,30.796611999999932,46.382734024999834,0.6741507787971444,1.0,ns
2_dense,stem_right,soft_hjb_aux,occOFF,mean_return,5,31.934558999999968,5.425570175000007,56.06213199999993,0.6741507787971444,1.0,ns
3,right_left,cbf_aux,occON,SR,5,0.6566666666666666,0.3616666666666667,0.9513333333333334,0.9435460112528098,1.0,ns
3,right_left,cbf_aux,occOFF,SR,5,0.6403333333333333,0.3883333333333333,0.8923333333333334,0.9435460112528098,1.0,ns
3,right_left,cbf_aux,occON,CR,5,0.0,0.0,0.0,nan,nan,n/a
3,right_left,cbf_aux,occOFF,CR,5,0.0,0.0,0.0,nan,nan,n/a
3,right_left,cbf_aux,occON,mean_return,5,236.66363300000003,166.3258990000001,306.37900933333333,0.91120285877917,1.0,ns
3,right_left,cbf_aux,occOFF,mean_return,5,230.7643653333334,176.36367200000007,286.7255563333334,0.91120285877917,1.0,ns
3,right_left,eikonal_aux,occON,SR,5,0.15866666666666668,0.076575,0.2536666666666666,0.3833228850297243,1.0,ns
3,right_left,eikonal_aux,occOFF,SR,5,0.26399999999999996,0.11133333333333333,0.457,0.3833228850297243,1.0,ns
3,right_left,eikonal_aux,occON,CR,5,0.0,0.0,0.0,0.373900966300059,1.0,ns
3,right_left,eikonal_aux,occOFF,CR,5,0.0006666666666666668,0.0,0.002,0.373900966300059,1.0,ns
3,right_left,eikonal_aux,occON,mean_return,5,79.569065,39.587088875,122.41103099999995,0.5336413145939862,1.0,ns
3,right_left,eikonal_aux,occOFF,mean_return,5,105.81166799999994,52.537443666666626,162.02651299999994,0.5336413145939862,1.0,ns
3,right_left,fusion_aux,occON,SR,5,0.3983333333333333,0.32166666666666666,0.475,0.6296370947176386,1.0,ns
3,right_left,fusion_aux,occOFF,SR,5,0.3443333333333333,0.16033333333333333,0.5119999999999999,0.6296370947176386,1.0,ns
3,right_left,fusion_aux,occON,CR,5,0.0,0.0,0.0,nan,nan,n/a
3,right_left,fusion_aux,occOFF,CR,5,0.0,0.0,0.0,nan,nan,n/a
3,right_left,fusion_aux,occON,mean_return,5,118.86988666666664,94.80748766666666,146.4687913333333,0.9889399544279227,1.0,ns
3,right_left,fusion_aux,occOFF,mean_return,5,119.22786666666664,82.83477542499992,155.040018,0.9889399544279227,1.0,ns
3,right_left,hjb_aux,occON,SR,5,0.6406666666666666,0.398,0.8833333333333332,0.5368498733833362,1.0,ns
3,right_left,hjb_aux,occOFF,SR,5,0.7993333333333333,0.40266666666666673,0.9993333333333332,0.5368498733833362,1.0,ns
3,right_left,hjb_aux,occON,CR,5,0.001,0.0,0.003,0.846853406587381,1.0,ns
3,right_left,hjb_aux,occOFF,CR,5,0.0013333333333333335,0.0,0.004,0.846853406587381,1.0,ns
3,right_left,hjb_aux,occON,mean_return,5,210.76304133333332,148.09255466666667,273.47090155833314,0.33943923855483776,1.0,ns
3,right_left,hjb_aux,occOFF,mean_return,5,269.17582766666675,180.95969266666688,317.6908293333334,0.33943923855483776,1.0,ns
3,right_left,soft_hjb_aux,occON,SR,5,0.3516666666666667,0.2733333333333333,0.45099999999999996,0.9415241675830255,1.0,ns
3,right_left,soft_hjb_aux,occOFF,SR,5,0.3426666666666667,0.16066666666666668,0.529,0.9415241675830255,1.0,ns
3,right_left,soft_hjb_aux,occON,CR,5,0.0003333333333333334,0.0,0.001,0.373900966300059,1.0,ns
3,right_left,soft_hjb_aux,occOFF,CR,5,0.0,0.0,0.0,0.373900966300059,1.0,ns
3,right_left,soft_hjb_aux,occON,mean_return,5,104.78642533333331,77.87326,135.66156633333333,0.8997752158962729,1.0,ns
3,right_left,soft_hjb_aux,occOFF,mean_return,5,107.84042299999992,78.57962633333321,135.27500499999994,0.8997752158962729,1.0,ns
3,stem_right,cbf_aux,occON,SR,5,0.37333333333333335,0.34666666666666673,0.40499999999999997,0.6005524766183594,1.0,ns
3,stem_right,cbf_aux,occOFF,SR,5,0.385,0.362,0.41039999999999965,0.6005524766183594,1.0,ns
3,stem_right,cbf_aux,occON,CR,5,0.20700000000000002,0.17033333333333336,0.24533333333333332,0.007440721501310077,0.23810308804192246,ns
3,stem_right,cbf_aux,occOFF,CR,5,0.4096666666666667,0.33033333333333337,0.48900000000000005,0.007440721501310077,0.23810308804192246,ns
3,stem_right,cbf_aux,occON,mean_return,5,173.1232303333333,161.5983486666667,183.23621799999995,0.3708834409708176,1.0,ns
3,stem_right,cbf_aux,occOFF,mean_return,5,165.453832,155.39376266666667,171.66111666666666,0.3708834409708176,1.0,ns
3,stem_right,eikonal_aux,occON,SR,5,0.169,0.09866666666666667,0.24266666666666667,0.009994779965376975,0.399791198615079,ns
3,stem_right,eikonal_aux,occOFF,SR,5,0.34900000000000003,0.3166666666666667,0.3786666666666667,0.009994779965376975,0.399791198615079,ns
3,stem_right,eikonal_aux,occON,CR,5,0.38,0.302,0.4600000000000001,0.5989667533831752,1.0,ns
3,stem_right,eikonal_aux,occOFF,CR,5,0.325,0.16466666666666668,0.472,0.5989667533831752,1.0,ns
3,stem_right,eikonal_aux,occON,mean_return,5,118.227038,90.90148500000001,144.477843,0.02839674489170879,1.0,ns
