scenario,maneuver,method,metric,n_intent,n_nointent,intent_mean,intent_ci_low,intent_ci_high,nointent_mean,nointent_ci_low,nointent_ci_high,delta,cohens_d,raw_p_welch,corrected_p_welch,significant_welch,marker_welch
3,left_right,cbf_aux,collision_rate,7,10,0.022857,0.014048,0.032381,0.023167,0.016667,0.0305,-0.00031,-0.0241,0.9630290460596753,1.0,False,ns
3,left_right,cbf_aux,mean_return,7,10,99.133315,84.976523,115.427008,99.329958,91.570151,108.175942,-0.196642,-0.011,0.9840879549207874,1.0,False,ns
3,left_right,drppo,success_rate,10,10,0.0055,0.001167,0.010671,0.0095,0.002,0.021671,-0.004,-0.2702,0.5567204235828656,1.0,False,ns
3,left_right,drppo,collision_rate,10,10,0.018167,0.014167,0.021837,0.037,0.024329,0.049833,-0.018833,-1.1485,0.026837981383167255,1.0,False,ns
3,left_right,drppo,mean_return,10,10,106.57534,98.557238,114.850918,110.823101,100.116947,119.496288,-4.247761,-0.2674,0.5575371910544558,1.0,False,ns
3,left_right,eikonal_aux,success_rate,6,10,0.006944,0.0,0.02,0.041667,0.003,0.114671,-0.034722,-0.3785,0.36583989320880783,1.0,False,ns
3,left_right,eikonal_aux,collision_rate,6,10,0.038889,0.020278,0.065563,0.0315,0.0155,0.050008,0.007389,0.2291,0.672115715092819,1.0,False,ns
3,left_right,eikonal_aux,mean_return,6,10,61.597632,23.731356,84.17333,94.599906,84.397535,108.837475,-33.002274,-1.0593,0.13188730292001946,1.0,False,ns
3,left_right,fusion_aux,success_rate,10,10,0.025333,0.004496,0.056504,0.014167,0.003167,0.027838,0.011167,0.2999,0.5145590533655104,1.0,False,ns
3,left_right,fusion_aux,collision_rate,10,10,0.0425,0.028833,0.057008,0.034,0.026825,0.043004,0.0085,0.4057,0.3797679833718538,1.0,False,ns
3,left_right,fusion_aux,mean_return,10,10,79.815886,71.775216,87.631967,84.268116,77.882883,91.083407,-4.452229,-0.3424,0.45428551415703244,1.0,False,ns
3,left_right,hjb_aux,success_rate,7,10,0.012143,0.00119,0.029768,0.018167,0.009,0.027338,-0.006024,-0.3107,0.5710097161624907,1.0,False,ns
3,left_right,hjb_aux,collision_rate,7,10,0.031429,0.018095,0.047881,0.025667,0.016667,0.034671,0.005762,0.3068,0.5731741672914492,1.0,False,ns
3,left_right,hjb_aux,mean_return,7,10,81.799324,55.354324,105.675944,83.651973,74.47253,91.8807,-1.852649,-0.0719,0.9022342390737494,1.0,False,ns
3,left_right,soft_hjb_aux,success_rate,9,8,0.032037,0.012769,0.053523,0.036458,0.012917,0.068125,-0.004421,-0.1135,0.8224569033629883,1.0,False,ns
3,left_right,soft_hjb_aux,collision_rate,9,8,0.065741,0.036111,0.101856,0.043958,0.027286,0.060427,0.021782,0.4637,0.3403774008139504,1.0,False,ns
3,left_right,soft_hjb_aux,mean_return,9,8,45.734931,29.303435,62.538129,60.471204,49.114115,70.816018,-14.736274,-0.6305,0.20390408093235937,1.0,False,ns
3,right_left,cbf_aux,success_rate,2,10,0.994167,0.991667,0.996667,0.660833,0.452992,0.859671,0.333333,0.9849,0.016102261062299474,1.0,False,ns
3,right_left,cbf_aux,collision_rate,2,10,0.001667,0.0,0.003333,0.000333,0.0,0.001,0.001333,1.069,0.5683551208615283,1.0,False,ns
3,right_left,cbf_aux,mean_return,2,10,310.927166,309.245178,312.609153,228.06776,183.424026,275.68193,82.859406,1.0702,0.010648660557557874,0.6602169545685882,False,ns
3,right_left,drppo,success_rate,9,10,0.552593,0.349806,0.741708,0.6455,0.358158,0.8707,-0.092907,-0.2441,0.59603106597455,1.0,False,ns
3,right_left,drppo,collision_rate,9,10,0.0,0.0,0.0,0.000167,0.0,0.0005,-0.000167,-0.4346,0.34343639613791355,1.0,False,ns
3,right_left,drppo,mean_return,9,10,217.203119,164.864826,264.085756,225.510208,158.701898,279.388619,-8.307089,-0.0915,0.8426537313076682,1.0,False,ns
3,right_left,eikonal_aux,success_rate,9,10,0.219815,0.100139,0.347995,0.282667,0.197467,0.373192,-0.062852,-0.3532,0.4603961534055253,1.0,False,ns
3,right_left,eikonal_aux,collision_rate,9,10,0.000185,0.0,0.000556,0.0,0.0,0.0,0.000185,0.4859,0.34659350708733416,1.0,False,ns
3,right_left,eikonal_aux,mean_return,9,10,90.795049,54.715053,129.201415,108.595703,84.073097,133.461982,-17.800654,-0.3327,0.49003983403554996,1.0,False,ns
3,right_left,fusion_aux,success_rate,8,10,0.228333,0.106875,0.358135,0.421167,0.25215,0.619525,-0.192833,-0.709,0.13537404722217497,1.0,False,ns
3,right_left,fusion_aux,collision_rate,8,10,0.000208,0.0,0.000625,0.000333,0.0,0.000833,-0.000125,-0.1907,0.6870011814945713,1.0,False,ns
3,right_left,fusion_aux,mean_return,8,10,81.845131,51.2527,111.903966,127.860538,85.852786,177.90898,-46.015407,-0.6777,0.15215495460940737,1.0,False,ns
3,right_left,soft_hjb_aux,success_rate,9,10,0.238519,0.150551,0.346509,0.447833,0.339321,0.559021,-0.209315,-1.1713,0.01997357220887694,1.0,False,ns
3,right_left,soft_hjb_aux,collision_rate,9,10,0.00037,0.0,0.001111,0.000333,0.0,0.001,3.7e-05,0.0343,0.9416390616254628,1.0,False,ns
3,right_left,soft_hjb_aux,mean_return,9,10,95.155835,78.038985,114.554139,134.340074,120.43832,151.116836,-39.184239,-1.3585,0.009228455516268523,0.581392697524917,False,ns
4,stem_left,cbf_aux,success_rate,2,10,0.53,0.158333,0.901667,0.850167,0.764475,0.901008,-0.320167,-1.5379,0.5463972320460754,1.0,False,ns
4,stem_left,cbf_aux,collision_rate,2,10,0.149167,0.095,0.203333,0.105333,0.092496,0.1185,0.043833,1.3545,0.565847116473191,1.0,False,ns
4,stem_left,cbf_aux,mean_return,2,10,235.298147,124.17609,346.420203,347.021107,313.842691,366.284474,-111.722961,-1.6021,0.49611368776489884,1.0,False,ns
4,stem_left,drppo,success_rate,4,10,0.9025,0.878333,0.926667,0.725333,0.539667,0.902342,0.177167,0.564,0.15848813661382127,1.0,False,ns
4,stem_left,drppo,collision_rate,4,10,0.089167,0.065833,0.116667,0.104667,0.092162,0.1165,-0.0155,-0.6232,0.42090895388295857,1.0,False,ns
4,stem_left,drppo,mean_return,4,10,366.231211,358.205972,374.256451,312.96088,254.234139,366.053387,53.270331,0.5693,0.15547101500862778,1.0,False,ns
4,stem_left,fusion_aux,success_rate,5,10,0.326333,0.249667,0.403,0.3075,0.249321,0.369504,0.018833,0.1849,0.7384373095407185,1.0,False,ns
4,stem_left,fusion_aux,collision_rate,5,10,0.097667,0.088,0.109333,0.128167,0.105167,0.148838,-0.0305,-0.9148,0.04604605223165515,1.0,False,ns
4,stem_left,fusion_aux,mean_return,5,10,163.673086,138.110155,189.236016,163.241389,149.174177,179.287622,0.431696,0.0151,0.980717622358122,1.0,False,ns
4,stem_left,hjb_aux,success_rate,3,10,0.619444,0.031667,0.928333,0.6785,0.445329,0.902517,-0.059056,-0.1458,0.8654746535143584,1.0,False,ns
4,stem_left,hjb_aux,collision_rate,3,10,0.074444,0.056667,0.1,0.097167,0.070825,0.127008,-0.022722,-0.4771,0.3072148801068283,1.0,False,ns
4,stem_left,hjb_aux,mean_return,3,10,273.305176,102.776058,370.59509,277.380092,204.312568,340.129308,-4.074917,-0.0326,0.968118547226164,1.0,False,ns
4,stem_left,rule_based,success_rate,6,10,0.61,0.588889,0.633333,0.617333,0.602333,0.632675,-0.007333,-0.2622,nan,nan,False,desc
4,stem_left,rule_based,collision_rate,6,10,0.235556,0.221667,0.252778,0.233,0.222325,0.244342,0.002556,0.1232,nan,nan,False,desc
4,stem_left,rule_based,mean_return,6,10,255.125176,246.572946,264.741013,257.649987,251.424307,264.161237,-2.524811,-0.217,nan,nan,False,desc
4,stem_right,eikonal_aux,success_rate,5,10,0.214333,0.120975,0.307667,0.193,0.130154,0.261675,0.021333,0.1804,0.7594217131872328,1.0,False,ns
4,stem_right,eikonal_aux,collision_rate,5,10,0.205667,0.100667,0.314,0.338667,0.301812,0.372504,-0.133,-1.3763,0.10707885955131549,1.0,False,ns
4,stem_right,eikonal_aux,mean_return,5,10,132.326431,102.730619,161.913859,127.519896,103.169558,152.422893,4.806535,0.1158,0.8344060446605898,1.0,False,ns
4,stem_right,fusion_aux,success_rate,8,10,0.23875,0.183333,0.280422,0.230333,0.177825,0.276846,0.008417,0.1025,0.8305249451713106,1.0,False,ns
4,stem_right,fusion_aux,collision_rate,8,10,0.335417,0.302286,0.361469,0.248833,0.188833,0.309504,0.086583,1.0415,0.03357549274058301,1.0,False,ns
4,stem_right,fusion_aux,mean_return,8,10,124.257776,106.883496,138.182155,131.323266,115.769049,145.719899,-7.06549,-0.2795,0.5635725705195428,1.0,False,ns
4,stem_right,hjb_aux,success_rate,10,10,0.3465,0.293487,0.387196,0.362333,0.307325,0.408167,-0.015833,-0.1879,0.6793534604909599,1.0,False,ns
4,stem_right,hjb_aux,collision_rate,10,10,0.294333,0.219312,0.369029,0.273333,0.192608,0.353679,0.021,0.1562,0.731025090242962,1.0,False,ns
4,stem_right,hjb_aux,mean_return,10,10,165.059188,154.949858,176.334518,167.553985,151.913626,182.695626,-2.494797,-0.1107,0.8076861674827257,1.0,False,ns
4,stem_right,rule_based,success_rate,10,10,0.294333,0.28,0.307008,0.294333,0.28,0.307008,0.0,0.0,nan,nan,False,desc
4,stem_right,rule_based,collision_rate,10,10,0.541,0.531667,0.551667,0.541,0.531667,0.551667,0.0,0.0,nan,nan,False,desc
4,stem_right,rule_based,mean_return,10,10,122.986346,116.72629,128.713171,122.986346,116.72629,128.713171,0.0,0.0,nan,nan,False,desc
4,stem_right,soft_hjb_aux,success_rate,10,10,0.2755,0.206325,0.335508,0.246167,0.207162,0.281171,0.029333,0.3153,0.4919656431614423,1.0,False,ns
4,stem_right,soft_hjb_aux,collision_rate,10,10,0.366667,0.306979,0.428021,0.364167,0.316667,0.407346,0.0025,0.0268,0.9529645802461282,1.0,False,ns
4,stem_right,soft_hjb_aux,mean_return,10,10,95.534761,82.318723,107.156493,100.197085,91.402249,108.749266,-4.662325,-0.2437,0.5932602606162832,1.0,False,ns
