scenario,maneuver,method,metric,n_intent,n_nointent,intent_mean,intent_ci_low,intent_ci_high,nointent_mean,nointent_ci_low,nointent_ci_high,delta,cohens_d,raw_p_welch,corrected_p_welch,significant_welch,marker_welch
1a,stem_left,hjb_aux,success_rate,10,10,0.904333,0.879,0.927833,0.884333,0.864325,0.905667,0.02,0.5152,0.2647537185094655,1.0,False,ns
1a,stem_left,hjb_aux,collision_rate,10,10,0.094667,0.071333,0.120167,0.1155,0.093996,0.135671,-0.020833,-0.5372,0.245555913897825,1.0,False,ns
1a,stem_left,hjb_aux,mean_return,10,10,378.05218,367.950933,388.321245,372.438665,366.366225,378.529977,5.613514,0.3794,0.409852532383981,1.0,False,ns
1a,stem_left,rule_based,success_rate,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,nan,nan,False,desc
1a,stem_left,rule_based,collision_rate,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,False,desc
1a,stem_left,rule_based,mean_return,10,10,561.173514,560.879734,561.449802,561.173514,560.879734,561.449802,0.0,0.0,nan,nan,False,desc
1a,stem_left,soft_hjb_aux,success_rate,10,10,0.918167,0.891496,0.947171,0.8815,0.854829,0.911671,0.036667,0.7388,0.11586134796904488,1.0,False,ns
1a,stem_left,soft_hjb_aux,collision_rate,10,10,0.0805,0.050496,0.108004,0.1185,0.088329,0.145171,-0.038,-0.7534,0.10933593775226254,1.0,False,ns
1a,stem_left,soft_hjb_aux,mean_return,10,10,398.719147,374.408377,428.022494,372.895466,356.785325,398.933469,25.823681,0.62,0.1831493722955823,1.0,False,ns
1a,stem_right,cbf_aux,success_rate,10,10,0.968333,0.958333,0.977333,0.974167,0.962667,0.986833,-0.005833,-0.3147,0.4910034946935713,1.0,False,ns
1a,stem_right,cbf_aux,collision_rate,10,10,0.027333,0.019667,0.035333,0.025667,0.012996,0.037167,0.001667,0.0964,0.8321239395146668,1.0,False,ns
1a,stem_right,cbf_aux,mean_return,10,10,405.345671,398.773499,412.363206,439.181843,404.629396,479.241132,-33.836172,-0.7496,0.12581461769764649,1.0,False,ns
1a,stem_right,drppo,success_rate,10,10,0.962333,0.9515,0.975671,0.959,0.949833,0.967833,0.003333,0.183,0.687518307132656,1.0,False,ns
1a,stem_right,drppo,collision_rate,10,10,0.037667,0.024329,0.0485,0.038,0.028329,0.047833,-0.000333,-0.0177,0.9688593919871831,1.0,False,ns
1a,stem_right,drppo,mean_return,10,10,411.486912,395.69061,436.098607,401.64498,396.701015,407.758384,9.841931,0.3874,0.40592311163798467,1.0,False,ns
1a,stem_right,eikonal_aux,success_rate,10,10,0.984833,0.969833,0.997,0.986667,0.974658,0.996,-0.001833,-0.083,0.8548153020213877,1.0,False,ns
1a,stem_right,eikonal_aux,collision_rate,10,10,0.014167,0.0015,0.029167,0.005333,0.001333,0.0105,0.008833,0.4945,0.2925141281076937,1.0,False,ns
1a,stem_right,eikonal_aux,mean_return,10,10,486.225348,451.382623,518.391454,503.775665,484.195298,523.079254,-17.550317,-0.3677,0.4239688033907747,1.0,False,ns
1a,stem_right,fusion_aux,success_rate,10,10,0.9615,0.949996,0.974171,0.879167,0.783162,0.951333,0.082333,0.7783,0.11441423025760983,1.0,False,ns
1a,stem_right,fusion_aux,collision_rate,10,10,0.0375,0.0245,0.049671,0.034,0.018329,0.050167,0.0035,0.1376,0.7620666493734347,1.0,False,ns
1a,stem_right,fusion_aux,mean_return,10,10,418.724625,397.516787,445.37217,390.558905,353.423876,426.540675,28.16572,0.5185,0.263359452282206,1.0,False,ns
1a,stem_right,hjb_aux,success_rate,10,10,0.9625,0.954667,0.970837,0.951333,0.938167,0.961338,0.011167,0.6254,0.18214600774387435,1.0,False,ns
1a,stem_right,hjb_aux,collision_rate,10,10,0.0375,0.029163,0.045333,0.041333,0.035667,0.047338,-0.003833,-0.3172,0.48767342815400927,1.0,False,ns
1a,stem_right,hjb_aux,mean_return,10,10,403.867059,399.551257,409.137682,398.161949,394.162699,401.704188,5.70511,0.7397,0.1164239496903224,1.0,False,ns
1a,stem_right,rule_based,success_rate,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,nan,nan,False,desc
1a,stem_right,rule_based,collision_rate,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,False,desc
1a,stem_right,rule_based,mean_return,10,10,515.759289,515.312116,516.195916,515.759289,515.312116,516.195916,0.0,0.0,nan,nan,False,desc
1a,stem_right,soft_hjb_aux,success_rate,10,10,0.951833,0.948167,0.955667,0.9505,0.9445,0.956333,0.001333,0.1561,0.7317929852553886,1.0,False,ns
1a,stem_right,soft_hjb_aux,collision_rate,10,10,0.048167,0.044333,0.051833,0.0495,0.043667,0.0555,-0.001333,-0.1561,0.7317929852553613,1.0,False,ns
1a,stem_right,soft_hjb_aux,mean_return,10,10,386.160753,383.080699,388.850444,384.054368,379.857283,388.238585,2.106385,0.3413,0.4561178836131615,1.0,False,ns
1b,stem_left,cbf_aux,success_rate,10,10,0.8255,0.670275,0.945992,0.920167,0.808954,1.0,-0.094667,-0.4316,0.3496517854380252,1.0,False,ns
1b,stem_left,cbf_aux,collision_rate,10,10,0.068167,0.0155,0.132687,0.024,0.0,0.054012,0.044167,0.5458,0.2447987273556694,1.0,False,ns
1b,stem_left,cbf_aux,mean_return,10,10,351.225526,305.140151,395.37954,381.803445,337.926444,413.452416,-30.577919,-0.4219,0.35852895713655064,1.0,False,ns
1b,stem_left,drppo,success_rate,10,10,0.7495,0.566667,0.925004,0.860833,0.747492,0.966333,-0.111333,-0.4245,0.3576819513885684,1.0,False,ns
1b,stem_left,drppo,collision_rate,10,10,0.088667,0.028471,0.152833,0.046667,0.007,0.088854,0.042,0.46,0.31938797708893724,1.0,False,ns
