ho_name,method,metric,source_mean,ho_mean,delta,cohens_d
HO1_occ_to_noocc,drppo,mean_return,266.96535590766825,270.48817112094395,3.522815213275692,0.026645673902657457
HO1_occ_to_noocc,drppo,collision_rate,0.1171283255086072,0.13237463126843657,0.015246305759829368,0.08484383567622251
HO1_occ_to_noocc,drppo,success_rate,0.5929029733959311,0.6182595870206489,0.02535661362471775,0.06642640370770343
HO1_occ_to_noocc,drppo,mean_ttc,9.142710101846683,7.909138384405628,-1.2335717174410554,-0.13987609070975732
HO1_occ_to_noocc,drppo,min_ttc,0.24746296081142927,0.22920343770328389,-0.01825952310814538,-0.060172645495741535
HO1_occ_to_noocc,drppo,ttc_p10_mean,0.922123621913603,0.89573870986018,-0.02638491205342297,-0.039256509028658654
HO1_occ_to_noocc,drppo,action_entropy_mean,0.8597885029735489,0.8721344669841622,0.012345964010613275,0.02624225751512697
HO1_occ_to_noocc,drppo,hard_brakes_per_ep_mean,0.5919014084507043,0.6167256637168141,0.024824255266109874,0.06493102227306251
HO1_occ_to_noocc,drppo,row_violations_per_ep_mean,28.20387323943662,24.824572271386433,-3.379300968050188,-0.09668283769585169
HO1_occ_to_noocc,drppo,action_go_frac,0.5424429929663448,0.5428798666323309,0.0004368736659861039,0.0015882179513041677
HO1_occ_to_noocc,drppo,action_yield_frac,0.11744292283357707,0.11885038355237769,0.0014074607188006155,0.011648988463067245
HO1_occ_to_noocc,drppo,switching_rate_mean,0.2774047572438554,0.28214381949523637,0.004739062251380988,0.020534480161619226
HO1_occ_to_noocc,drppo,decision_latency_mean,8.180115778700744,5.8629794120106276,-2.317136366690116,-0.11126863661790339
HO1_occ_to_noocc,hjb_aux,mean_return,254.34610268844224,265.68820606060603,11.342103372163791,0.091793820118914
HO1_occ_to_noocc,hjb_aux,collision_rate,0.13613065326633167,0.15306818181818183,0.016937528551850156,0.0873945415339898
HO1_occ_to_noocc,hjb_aux,success_rate,0.595217755443886,0.6342348484848486,0.03901709304096257,0.10608230060730585
HO1_occ_to_noocc,hjb_aux,mean_ttc,7.731326832495396,6.984091265369782,-0.7472355671256139,-0.12618118153645577
HO1_occ_to_noocc,hjb_aux,min_ttc,0.23399865108167442,0.18999838762648838,-0.04400026345518604,-0.15382280295554565
HO1_occ_to_noocc,hjb_aux,ttc_p10_mean,0.861281268451686,0.771580087968831,-0.08970118048285491,-0.1353666969861139
HO1_occ_to_noocc,hjb_aux,action_entropy_mean,0.8074888198405539,0.8056782354692277,-0.001810584371326196,-0.0036580911156586333
HO1_occ_to_noocc,hjb_aux,hard_brakes_per_ep_mean,0.593676716917923,0.6331893939393939,0.03951267702147088,0.10702121106579864
HO1_occ_to_noocc,hjb_aux,row_violations_per_ep_mean,29.23340871021776,26.70245454545455,-2.530954164763209,-0.07211636677166403
HO1_occ_to_noocc,hjb_aux,action_go_frac,0.5606214530174568,0.5800246612934586,0.019403208276001838,0.06690272230131836
HO1_occ_to_noocc,hjb_aux,action_yield_frac,0.1123565727665974,0.11028976314402829,-0.00206680962256911,-0.016833493228727476
HO1_occ_to_noocc,hjb_aux,switching_rate_mean,0.2546899451971722,0.25732204915742657,0.0026321039602543728,0.011639346505583164
HO1_occ_to_noocc,hjb_aux,decision_latency_mean,7.597543162969447,5.718681564410006,-1.8788615985594408,-0.09775904829709764
HO1_occ_to_noocc,soft_hjb_aux,mean_return,181.89659468376064,215.12105405487804,33.224459371117405,0.24787681799361824
HO1_occ_to_noocc,soft_hjb_aux,collision_rate,0.181982905982906,0.20166666666666666,0.019683760683760654,0.08693567208733304
HO1_occ_to_noocc,soft_hjb_aux,success_rate,0.4224273504273504,0.5039024390243902,0.08147508859703984,0.2137564236645378
HO1_occ_to_noocc,soft_hjb_aux,mean_ttc,8.156688533501681,7.279103882406486,-0.8775846510951952,-0.14729607791655147
HO1_occ_to_noocc,soft_hjb_aux,min_ttc,0.24583754856472192,0.23813580400747944,-0.007701744557242485,-0.026259473653239662
HO1_occ_to_noocc,soft_hjb_aux,ttc_p10_mean,0.9934804519117113,0.9606444510857279,-0.03283600082598337,-0.048212294482114997
HO1_occ_to_noocc,soft_hjb_aux,action_entropy_mean,1.0276511066900857,0.9542800403635417,-0.073371066326544,-0.15531404616021072
HO1_occ_to_noocc,soft_hjb_aux,hard_brakes_per_ep_mean,0.41981196581196584,0.5023780487804878,0.08256608296852191,0.21659307843874612
HO1_occ_to_noocc,soft_hjb_aux,row_violations_per_ep_mean,36.2125811965812,30.6532418699187,-5.559339326662499,-0.14627122536428183
HO1_occ_to_noocc,soft_hjb_aux,action_go_frac,0.49749643767429463,0.5524857481924073,0.05498931051811262,0.22817827305668634
HO1_occ_to_noocc,soft_hjb_aux,action_yield_frac,0.14795285922638302,0.1347506296594871,-0.013202229566895929,-0.13600168752478006
HO1_occ_to_noocc,soft_hjb_aux,switching_rate_mean,0.3692282026300482,0.35090897395653725,-0.018319228673510934,-0.06715838046652305
HO1_occ_to_noocc,soft_hjb_aux,decision_latency_mean,7.272241783966443,5.715358735436302,-1.5568830485301408,-0.12300277936868896
HO1_occ_to_noocc,eikonal_aux,mean_return,236.575840496633,239.98767728547855,3.4118367888455623,0.017571061669560527
