scenario,maneuver,method,behavior,metric,n,mean,ci_low,ci_high
1a,stem_right,cbf_aux,nominal,SR,5,0.9993333333333332,0.9986666666666666,1.0
1a,stem_right,cbf_aux,nominal,CR,5,0.0006666666666666668,0.0,0.0013333333333333335
1a,stem_right,cbf_aux,nominal,mean_return,5,426.3478726666666,425.55098833333324,426.9959723333333
1a,stem_right,cbf_aux,nominal,mean_ttc,5,6.363794706813766,6.338238159244874,6.385752156437644
1a,stem_right,drppo,nominal,SR,5,0.9976666666666667,0.9936666666666667,1.0
1a,stem_right,drppo,nominal,CR,5,0.0023333333333333335,0.0,0.006333333333333334
1a,stem_right,drppo,nominal,mean_return,5,428.7372386666667,425.34007066666663,434.2999226666666
1a,stem_right,drppo,nominal,mean_ttc,5,6.569272903891293,6.332689169468426,6.953754603778469
1a,stem_right,eikonal_aux,nominal,SR,5,0.9976666666666667,0.9953333333333333,0.9996666666666666
1a,stem_right,eikonal_aux,nominal,CR,5,0.0003333333333333334,0.0,0.001
1a,stem_right,eikonal_aux,nominal,mean_return,5,520.1686303333333,495.78472481666665,534.7510073333333
1a,stem_right,eikonal_aux,nominal,mean_ttc,5,9.606978757684098,8.095889742931185,11.306825756468852
1a,stem_right,hjb_aux,nominal,SR,5,0.9923333333333334,0.9843333333333334,0.9986666666666666
1a,stem_right,hjb_aux,nominal,CR,5,0.007666666666666667,0.0013333333333333335,0.01566666666666667
1a,stem_right,hjb_aux,nominal,mean_return,5,419.2475703333333,411.9384319999999,426.57040166666656
1a,stem_right,hjb_aux,nominal,mean_ttc,5,6.495779464001013,6.292691433623422,6.794306408918163
1a,stem_right,soft_hjb_aux,nominal,SR,5,0.9796666666666667,0.9743333333333334,0.985
1a,stem_right,soft_hjb_aux,nominal,CR,5,0.020333333333333335,0.015,0.025666666666666664
1a,stem_right,soft_hjb_aux,nominal,mean_return,5,404.1245603333333,401.827504,405.95037899999994
1a,stem_right,soft_hjb_aux,nominal,mean_ttc,5,6.820283657111327,6.714189274482129,6.935464232562012
1b,stem_right,cbf_aux,nominal,SR,5,0.0,0.0,0.0
1b,stem_right,cbf_aux,nominal,CR,5,0.7056666666666667,0.6876666666666666,0.7243333333333333
1b,stem_right,cbf_aux,nominal,mean_return,5,132.357695000001,122.72844666666747,141.98694333333452
1b,stem_right,cbf_aux,nominal,mean_ttc,5,7.211284082428881,6.6381528490904245,7.7421431709457895
1b,stem_right,drppo,nominal,SR,5,0.0,0.0,0.0
1b,stem_right,drppo,nominal,CR,5,0.7786666666666666,0.695,0.8296666666666667
1b,stem_right,drppo,nominal,mean_return,5,149.2968283333345,142.4249966666679,157.24511166666787
