step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,train_time_per_iter
4096,87.60621395870568,10,0.16779667139053345,37.88666534423828,0,0.0,17.356241552453486,0.0,1.4905802011489868,464.7163407802582
45056,62.12118492669134,10,0.17628245055675507,20.129358291625977,0,0.0,11.136059284304729,0.0,1.3991031646728516,454.1267137527466
86016,54.63953474279424,10,0.03976067155599594,22.216508865356445,0,0.0,18.362362234861934,0.0,1.3373291492462158,474.5747106075287
126976,45.465248713345666,10,0.0815202072262764,15.29884147644043,0,0.0,17.891982312692924,0.0,1.3116190433502197,464.92228174209595
167936,34.043139595673765,10,0.06122734770178795,11.813447952270508,0,0.0,15.076467930562316,0.0,1.294602870941162,475.6324348449707
208896,28.19261632972811,10,0.044020459055900574,69.94259643554688,0,0.0,14.955446502859978,0.0,1.3192452192306519,466.07801389694214
249856,29.126187299575488,10,0.017211057245731354,8.19910717010498,0,0.0,16.155418670423245,0.0,1.297720193862915,477.379860162735
290816,26.006840276047903,10,-0.07219240069389343,8.293993949890137,0,0.0,16.745698422218254,0.0,1.2309484481811523,473.32339000701904
331776,27.749722150455117,10,0.029044553637504578,13.9083251953125,0,0.0,11.100254146514166,0.0,1.0900259017944336,480.53187680244446
372736,29.41769313127917,10,-0.06354378163814545,13.53993034362793,0,0.0,14.79474404666714,0.0,1.2459678649902344,484.1055543422699
