step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,cbf_residual_mean,anchor_loss,bc_loss,distill_loss,distill_gap,train_time_per_iter
4096,-72.54910146592502,10,0.032503675669431686,7.895244121551514,0,0.0,13.031255202406422,0.0,1.4877229928970337,0.04915813356637955,6.728769302368164,0.0,1.3994964361190796,1.3994964361190796,1544.1489326953888
45056,1.667383341030444,10,0.018636398017406464,48.65253448486328,0,0.0,9.951859887499015,0.0,1.4199670553207397,0.6041663885116577,34.83293914794922,0.0,19.220020294189453,19.220020294189453,1834.020495891571
86016,50.58659868075994,10,-0.16516540944576263,35.41476058959961,0,0.0,7.213263600255786,0.0,1.397542953491211,0.0,29.399070739746094,0.0,14.548155784606934,14.548155784606934,1943.464955329895
126976,47.591802515596044,10,-0.0926814153790474,27.066856384277344,0,0.0,8.341270001731981,0.0,1.3294428586959839,0.10427377372980118,23.957704544067383,0.0,14.278581619262695,14.278581619262695,1823.2997953891754
167936,51.41512540616121,10,0.03824324160814285,14.699173927307129,0,0.0,20.813819819858935,0.0,1.2899396419525146,0.2775907516479492,16.76717758178711,0.0,11.534104347229004,11.534104347229004,1792.7162098884583
208896,54.400545192172224,10,0.028663579374551773,10.328307151794434,0,0.0,8.040065089846598,0.0,1.13675856590271,0.0,12.15900993347168,0.0,7.481173515319824,7.481173515319824,1934.8803811073303
249856,56.25730323470235,10,0.026755303144454956,16.80615234375,0,0.0,8.452899152064228,0.0,1.1080238819122314,1.0347050428390503,19.963184356689453,0.0,13.270057678222656,13.270057678222656,2147.0277981758118
290816,54.91669796349728,10,0.06871441006660461,14.933161735534668,0,0.0,9.347680033305593,0.0,1.1452802419662476,0.2539258599281311,19.444656372070312,0.0,9.354212760925293,9.354212760925293,2038.1989605426788
331776,58.98526507323729,10,-0.14674639701843262,15.301175117492676,0,0.0,18.083386148191167,0.0,1.197038173675537,0.9971631765365601,17.176918029785156,0.0,21.885066986083984,21.885066986083984,1981.8638062477112
372736,58.778253193293416,10,-0.01958588883280754,51.038230895996094,0,0.0,7.325580747565946,0.0,1.2016541957855225,1.3565391302108765,46.76615524291992,0.0,21.178604125976562,21.178604125976562,2034.493833065033
