file,method,aulc_return,aulc_collision_rate
results/tier_1_combined/tier1/1a_stem_right_cbf_aux_nointent_s789/train_cbf_aux_1a_stem_right.csv,cbf_aux,449.5719522161976,0.07222222222222222
results/tier_1_combined/tier1/1a_stem_right_cbf_aux_nointent_s999/train_cbf_aux_1a_stem_right.csv,cbf_aux,391.7339016445213,0.03333333333333333
results/tier_1_combined/tier1/1a_stem_right_drppo_intent_s123/train_drppo_1a_stem_right.csv,drppo,244.23282207862306,0.03333333333333333
results/tier_1_combined/tier1/1a_stem_right_drppo_intent_s42/train_drppo_1a_stem_right.csv,drppo,426.0685922245811,0.06666666666666667
results/tier_1_combined/tier1/1a_stem_right_drppo_intent_s456/train_drppo_1a_stem_right.csv,drppo,329.88703423515216,0.06111111111111111
results/tier_1_combined/tier1/1a_stem_right_drppo_intent_s789/train_drppo_1a_stem_right.csv,drppo,395.5764736711368,0.011111111111111112
results/tier_1_combined/tier1/1a_stem_right_drppo_intent_s999/train_drppo_1a_stem_right.csv,drppo,318.63134693819813,0.044444444444444446
results/tier_1_combined/tier1/1a_stem_right_drppo_nointent_s123/train_drppo_1a_stem_right.csv,drppo,375.6397073342852,0.044444444444444446
results/tier_1_combined/tier1/1a_stem_right_drppo_nointent_s42/train_drppo_1a_stem_right.csv,drppo,256.5811850531219,0.05555555555555555
results/tier_1_combined/tier1/1a_stem_right_drppo_nointent_s456/train_drppo_1a_stem_right.csv,drppo,226.0959215338779,0.05
results/tier_1_combined/tier1/1a_stem_right_drppo_nointent_s789/train_drppo_1a_stem_right.csv,drppo,397.2977140170906,0.08333333333333333
results/tier_1_combined/tier1/1a_stem_right_drppo_nointent_s999/train_drppo_1a_stem_right.csv,drppo,268.8139233937069,0.044444444444444446
results/tier_1_combined/tier1/1b_stem_right_cbf_aux_intent_s123/train_cbf_aux_1b_stem_right.csv,cbf_aux,59.26714710335235,0.6833333333333333
results/tier_1_combined/tier1/1b_stem_right_cbf_aux_intent_s42/train_cbf_aux_1b_stem_right.csv,cbf_aux,92.01269128884259,0.6444444444444445
results/tier_1_combined/tier1/1b_stem_right_cbf_aux_intent_s456/train_cbf_aux_1b_stem_right.csv,cbf_aux,89.77844633166177,0.55
results/tier_1_combined/tier1/1b_stem_right_cbf_aux_intent_s789/train_cbf_aux_1b_stem_right.csv,cbf_aux,85.75321907915547,0.6388888888888888
results/tier_1_combined/tier1/1b_stem_right_cbf_aux_intent_s999/train_cbf_aux_1b_stem_right.csv,cbf_aux,93.53149876124543,0.6833333333333333
results/tier_1_combined/tier1/1b_stem_right_cbf_aux_nointent_s123/train_cbf_aux_1b_stem_right.csv,cbf_aux,104.26826519684708,0.7277777777777777
results/tier_1_combined/tier1/1b_stem_right_cbf_aux_nointent_s42/train_cbf_aux_1b_stem_right.csv,cbf_aux,75.00256460379872,0.8111111111111111
results/tier_1_combined/tier1/1b_stem_right_cbf_aux_nointent_s456/train_cbf_aux_1b_stem_right.csv,cbf_aux,89.17828917938346,0.6444444444444445
results/tier_1_combined/tier1/1b_stem_right_cbf_aux_nointent_s789/train_cbf_aux_1b_stem_right.csv,cbf_aux,109.31954737828484,0.7222222222222222
results/tier_1_combined/tier1/1b_stem_right_cbf_aux_nointent_s999/train_cbf_aux_1b_stem_right.csv,cbf_aux,111.61440893242349,0.6333333333333333
results/tier_1_combined/tier1/1b_stem_right_drppo_intent_s123/train_drppo_1b_stem_right.csv,drppo,78.69247018176078,0.6666666666666666
results/tier_1_combined/tier1/1b_stem_right_drppo_intent_s42/train_drppo_1b_stem_right.csv,drppo,53.54534559287101,0.85
results/tier_1_combined/tier1/1b_stem_right_drppo_intent_s456/train_drppo_1b_stem_right.csv,drppo,81.89689590653518,0.7666666666666667
results/tier_1_combined/tier1/1b_stem_right_drppo_intent_s789/train_drppo_1b_stem_right.csv,drppo,74.43972692827522,0.65
results/tier_1_combined/tier1/1b_stem_right_drppo_intent_s999/train_drppo_1b_stem_right.csv,drppo,99.34656924722701,0.65
results/tier_1_combined/tier1/1b_stem_right_drppo_nointent_s123/train_drppo_1b_stem_right.csv,drppo,51.66710991249594,0.8166666666666667
results/tier_1_combined/tier1/1b_stem_right_drppo_nointent_s42/train_drppo_1b_stem_right.csv,drppo,80.6774463974767,0.6666666666666666
results/tier_1_combined/tier1/1b_stem_right_drppo_nointent_s456/train_drppo_1b_stem_right.csv,drppo,63.40400301511353,0.8222222222222222
results/tier_1_combined/tier1/1b_stem_right_drppo_nointent_s789/train_drppo_1b_stem_right.csv,drppo,118.45270305578524,0.6222222222222222
results/tier_1_combined/tier1/1b_stem_right_drppo_nointent_s999/train_drppo_1b_stem_right.csv,drppo,97.86518417988597,0.43333333333333335
results/tier_1_combined/tier1/2_dense_right_left_cbf_aux_intent_s123/train_cbf_aux_2_dense_right_left.csv,cbf_aux,40.99281080787122,0.0
results/tier_1_combined/tier1/2_dense_right_left_cbf_aux_intent_s42/train_cbf_aux_2_dense_right_left.csv,cbf_aux,51.00760572140167,0.0
results/tier_1_combined/tier1/2_dense_right_left_cbf_aux_intent_s456/train_cbf_aux_2_dense_right_left.csv,cbf_aux,57.25837663487081,0.0
results/tier_1_combined/tier1/2_dense_right_left_cbf_aux_intent_s789/train_cbf_aux_2_dense_right_left.csv,cbf_aux,10.173517069686897,0.0
results/tier_1_combined/tier1/2_dense_right_left_cbf_aux_intent_s999/train_cbf_aux_2_dense_right_left.csv,cbf_aux,39.71752378886895,0.0
