step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,train_time_per_iter
4096,154.78562856234237,10,-0.09010113775730133,0.8648194074630737,1,0.1,107.06977934305083,0.0,1.482498049736023,464.17592573165894
45056,96.11326486243453,10,0.023148542270064354,31.943851470947266,9,0.9,137.14553893172646,0.0,1.3811492919921875,484.3623740673065
86016,63.402218241622954,10,-0.07150338590145111,42.22757339477539,10,1.0,4.709541893220847,0.0,1.4089603424072266,488.4503002166748
126976,45.6688513605021,10,0.01498026680201292,54.612281799316406,10,1.0,4.5044297178184385,0.0,1.357785701751709,478.9474997520447
167936,45.508930746603376,10,0.02096795290708542,38.55142593383789,10,1.0,4.923016729310028,0.0,1.2520793676376343,482.6107792854309
208896,40.14384834159568,10,0.025968030095100403,32.086612701416016,8,0.8,9.70767954487562,0.0,1.2775440216064453,502.59783267974854
249856,53.24852266165491,10,-0.10005836188793182,87.51972198486328,9,0.9,7.231798605981299,0.0,1.2580546140670776,508.7844614982605
290816,65.52053988129427,10,0.14653684198856354,19.139225006103516,5,0.5,86.682766929201,0.0,1.2920408248901367,485.8429262638092
331776,57.52541218604454,10,-0.03222903981804848,58.022953033447266,8,0.8,6.641362712720081,0.0,1.2283401489257812,470.76003432273865
372736,52.223249146196466,10,-0.15227095782756805,27.84813117980957,9,0.9,96.16703042534321,0.0,1.2331629991531372,467.31384468078613
