step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,L_eik,L_bc_raw,L_bc_normalized,L_ground_raw,L_ground_normalized,L_distill,mean_rho,mean_T_succ,mean_T_coll,n_grounding_points,sigma_eik,sigma_bc,sigma_ground,alm_lambda,alm_mu,L_eik_alm_contribution,n_success_buffer,n_collision_buffer,n_intermediate_buffer,train_time_per_iter
4096,369.88994418976444,10,0.030638720840215683,31.552562713623047,0,0.0,6.4166690252428005,0.0,1.4792349338531494,3.6218814849853516,0.0,0.0,0.0,0.0,0.05850191041827202,1.2740890979766846,0.0,0.0,0,0.0,0.9721748232841492,0.9721748232841492,0.0,1.0,6.5590128898620605,0,0,0,711.4067440032959
45056,424.38238830581975,10,0.11497561633586884,412.6327819824219,0,0.0,7.79815519131772,0.0,1.3502203226089478,5.376180648803711,68.17025756835938,51.0452995300293,1710.4971923828125,380.74798583984375,0.0869365856051445,1.746026635169983,8.219291687011719,0.0,128,0.0,1.1556390523910522,2.119551181793213,759.5701390448958,625.0,13115.873046875,568,0,1000,719.0102047920227
86016,471.0938547038798,10,0.01468365453183651,206.80673217773438,0,0.0,7.9812297142669655,0.36330802183331734,1.282792091369629,3.6664767265319824,343.14324951171875,254.1148223876953,1814.846435546875,402.85235595703125,0.07131552696228027,1.220625877380371,18.523969650268555,0.0,128,0.0,1.1620450019836426,2.1224966049194336,169328.34117992688,10000.0,688053.6875,1000,0,1000,741.3172538280487
126976,496.4159659257849,10,0.21451623737812042,196.52545166015625,0,0.0,25.759157492892715,0.3799382447852701,1.2483158111572266,3.0924811363220215,562.8772583007812,415.3089904785156,1392.274169921875,308.97247314453125,0.09605707973241806,1.1089922189712524,23.725004196166992,0.0,128,0.0,1.1641838550567627,2.122767925262451,388770.01645595673,10000.0,1250081.25,1000,0,1000,745.06241106987
167936,507.96022752728504,10,0.046286169439554214,125.63348388671875,0,0.0,9.843102450290159,0.5242122954207555,1.2382428646087646,2.1078169345855713,767.6968994140625,560.3171997070312,959.4925537109375,212.83274841308594,0.08971016108989716,0.7893656492233276,27.707340240478516,0.0,128,0.0,1.1705220937728882,2.1232523918151855,565857.2583211856,10000.0,1214938.0,1000,0,1000,721.1380970478058
208896,518.6889625227376,10,0.24308480322360992,74.92304992675781,0,0.0,8.167146290561222,0.5433981340156441,1.2816879749298096,2.848402500152588,279.470703125,199.44090270996094,1487.5718994140625,329.3470153808594,0.07191905379295349,0.9735701084136963,16.717361450195312,0.0,128,0.0,1.1837577819824219,2.1252617835998535,714168.0146529609,10000.0,2074804.875,1000,0,1000,696.6371567249298
249856,526.3703964480608,10,0.06042720004916191,77.35018920898438,0,0.0,10.55938653146497,0.3196269510670912,1.2428066730499268,5.528167724609375,449.48284912109375,313.0176696777344,723.959716796875,159.7351837158203,0.0540446937084198,1.7247493267059326,21.20099639892578,0.0,128,0.0,1.1983309984207153,2.1289095878601074,902859.5730903829,10000.0,5143962.0,1000,0,1000,705.2586450576782
290816,532.2191781420532,10,0.16696375608444214,38.566383361816406,0,0.0,8.363843165198878,0.32770021374476493,1.247948169708252,2.6603729724884033,616.1385498046875,360.8128662109375,1134.7200927734375,248.31027221679688,0.0472281239926815,0.9455523490905762,24.822021484375,0.0,128,0.0,1.3068137168884277,2.1377062797546387,1108732.9500736007,10000.0,2985031.25,1000,0,1000,691.8471419811249
331776,536.216161820714,10,-0.03084832802414894,31.20998764038086,0,0.0,7.534168082198507,0.06341978734929536,1.095639705657959,3.2949130535125732,514.7865600585938,189.9852294921875,1144.0350341796875,240.69686889648438,0.06446590274572372,1.1584265232086182,22.688907623291016,0.0,128,0.0,1.646274447441101,2.1801702976226807,1271606.2350044297,10000.0,4244114.5,1000,0,1000,661.8320605754852
372736,533.3638959046032,10,0.2574712932109833,58.552188873291016,0,0.0,6.962674746923052,0.27790485572285695,1.207296371459961,1.690015196800232,387.88385009765625,71.77540588378906,1435.4365234375,262.05584716796875,0.04704931005835533,0.6539174318313599,19.694766998291016,0.0,128,0.0,2.3249781131744385,2.3405508995056152,1411013.4881277839,10000.0,2398915.0,1000,0,1000,718.0095613002777
