step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,soft_residual_mean,cbf_residual_mean,anchor_loss_optimality,anchor_loss_safety,bc_loss_optimality,bc_loss_safety,distill_loss,distill_gap,actor_align_kl,train_time_per_iter
4096,27.31120329859627,10,-0.007883694022893906,3.2840304374694824,8,0.8,14.530538952764687,0.0,1.508385419845581,139.39125061035156,0.0,6.41925048828125,4.977499008178711,0.0,0.0,1.2951194047927856,1.2951194047927856,0.3469705283641815,729.6281883716583
45056,11.363770359638076,10,-0.11866523325443268,34.479713439941406,9,0.9,4.756947372013946,0.0,1.4763600826263428,4.615922451019287,1.4547139406204224,84.00274658203125,46.64208984375,0.0,0.0,16.642349243164062,16.642349243164062,0.4145936369895935,656.9755537509918
86016,70.00015137226433,10,-0.03470325469970703,158.54212951660156,3,0.3,10.475835131503162,0.0,1.448798418045044,15.434208869934082,0.3896462917327881,130.51231384277344,81.6021728515625,0.0,0.0,33.00458908081055,33.00458908081055,0.2972797751426697,633.1000492572784
126976,97.49970400824708,10,0.13024158775806427,34.281333923339844,7,0.7,7.800376247451277,0.0,1.489757776260376,4.857625484466553,0.2556326985359192,91.23614501953125,51.678688049316406,0.0,0.0,22.621536254882812,22.621536254882812,0.36031588912010193,715.8210756778717
167936,108.95496296551168,10,0.023018429055809975,175.62222290039062,7,0.7,9.075354019585886,0.0,1.4201116561889648,1.9868111610412598,0.016820814460515976,220.59967041015625,214.0567626953125,0.0,0.0,40.17279052734375,40.17279052734375,0.2787666916847229,703.9819066524506
208896,118.50833103999422,10,0.029065333306789398,211.2947235107422,6,0.6,33.45590830783016,0.0,1.3793303966522217,96.26217651367188,0.4366292357444763,237.2119598388672,210.405517578125,147.6916961669922,0.10167355835437775,30.11023712158203,30.11023712158203,0.41809260845184326,652.2057838439941
249856,123.45687956172722,10,-0.0024280305951833725,48.503597259521484,5,0.5,7.599212588573678,0.0,1.4487402439117432,2.8378634452819824,0.17476622760295868,79.7318344116211,71.21442413330078,29.281461715698242,0.41223037242889404,30.999221801757812,30.999221801757812,0.30783811211586,660.7735953330994
290816,115.65370378011701,10,0.27673402428627014,127.64793395996094,8,0.8,7.0413498150073,0.0,1.4933764934539795,1.8007720708847046,0.07386624813079834,123.17524719238281,106.09820556640625,0.0,0.0,17.281490325927734,17.281490325927734,0.25331947207450867,655.1017019748688
331776,122.0171934247925,10,0.08378354460000992,49.669090270996094,7,0.7,10.876769378843216,0.0,1.4810551404953003,1.8507497310638428,0.6918267011642456,56.0090446472168,39.17397689819336,0.0,0.0,21.641321182250977,21.641321182250977,0.2715299427509308,631.5264506340027
372736,124.30850675092411,10,-0.11235907673835754,191.77447509765625,6,0.6,10.806256612915233,0.0,1.4673866033554077,39.222084045410156,0.2516712546348572,313.68359375,258.63665771484375,0.0,0.0,94.19974517822266,94.19974517822266,0.27742999792099,659.4071178436279
