iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,239.20881605148315,239.20327138900757,15.55824875831604,62.1499924659729,62.12210488319397,18.568262780085206,-0.010723758488893509,16.028051376342773,1.472458839416504,0.0,0.004525316879153252,2.546409845352173,-813.3012084960938,500.0,8,0,0,8,0,0.159423828125,0.11083984375,0.2578125,0.288330078125,0.18359375
2,8192,545.9132990837097,239.29833889007568,15.538968324661255,46.821094274520874,46.790738344192505,91.06002366542816,0.19160601496696472,59.61623764038086,1.4548139572143555,0.0,0.2170065939426422,31.035173416137695,963.2840576171875,500.0,8,0,0,8,0,0.15234375,0.109130859375,0.25927734375,0.348876953125,0.13037109375
3,12288,773.6767983436584,227.76335072517395,15.40260100364685,53.3130145072937,53.28612661361694,69.56430091708899,-0.11236971616744995,55.713905334472656,1.4049361944198608,0.0,0.006289087235927582,13.956476211547852,3363.391357421875,500.0,8,0,0,8,0,0.1669921875,0.12890625,0.215576171875,0.364990234375,0.12353515625
4,16384,985.4138705730438,211.73694443702698,15.878052711486816,46.47426986694336,46.445770263671875,805.8308521434665,-0.05909083038568497,636.423583984375,1.3932056427001953,0.0,0.08603367209434509,169.3803253173828,10300.0029296875,424.44444444444446,9,0,7,2,0,0.1201171875,0.15673828125,0.2470703125,0.35791015625,0.1181640625
5,20480,1207.4078948497772,221.9938621520996,17.019184827804565,47.15231251716614,47.12258791923523,1678.4345247671008,0.03636636584997177,1086.7861328125,1.3859598636627197,0.0,0.05666670203208923,591.5553588867188,14191.58984375,333.8333333333333,12,0,12,0,0,0.100830078125,0.147705078125,0.22021484375,0.40625,0.125
6,24576,1439.8412156105042,232.4331328868866,16.89758586883545,47.79482650756836,47.76287126541138,1518.1000636443496,0.029934249818325043,872.164794921875,1.3460993766784668,0.0,0.0,645.9053344726562,17254.58984375,296.84615384615387,13,0,13,0,0,0.091552734375,0.12841796875,0.2080078125,0.434814453125,0.13720703125
7,28672,1666.5527369976044,226.71133613586426,17.524983167648315,48.32570719718933,48.29553532600403,1185.1351895555854,-0.05210386961698532,674.7999267578125,1.2229423522949219,0.0,0.00302828848361969,510.38433837890625,20146.765625,277.57142857142856,14,0,14,0,0,0.08642578125,0.144775390625,0.17138671875,0.466064453125,0.13134765625
8,32768,1901.55606341362,235.00314617156982,17.704981803894043,56.99202585220337,56.961424112319946,1677.6403809562325,0.031063921749591827,911.908447265625,1.189635157585144,0.0,0.15802308917045593,765.5428466796875,21722.263671875,258.6666666666667,15,0,15,0,0,0.104736328125,0.095947265625,0.182861328125,0.49072265625,0.125732421875
9,36864,2139.8041291236877,238.24791145324707,18.285529851913452,55.166624784469604,55.138431787490845,1343.694246351719,-0.11446946859359741,749.2593383789062,1.1049599647521973,0.0,0.0,594.5493774414062,22346.203125,248.0,16,0,16,0,0,0.111083984375,0.08154296875,0.145751953125,0.547607421875,0.114013671875
10,40960,2388.836766242981,249.0324730873108,18.297616720199585,48.82945466041565,48.798996686935425,749.0205054432154,0.07204963266849518,457.3588562011719,1.1074858903884888,0.0,0.0,291.589599609375,24093.982421875,230.64705882352942,17,0,17,0,0,0.12744140625,0.10302734375,0.119140625,0.55224609375,0.09814453125
